Size(A)  Probability_real    Probability_expected
0.005  0  3.94722e-48
0.015  0  4.1299e-30
0.025  0  3.44544e-23
0.035  0  3.89787e-19
0.045  0  2.2732e-16
0.055  0  2.53698e-14
0.065  0  1.00017e-12
0.075  0  1.94243e-11
0.085  0  2.26784e-10
0.095  0  1.80895e-09
0.105  0  1.07501e-08
0.115  0  5.05971e-08
0.125  0  1.97215e-07
0.135  0  6.58244e-07
0.145  0  1.93024e-06
0.155  0  5.07377e-06
0.165  0  1.21473e-05
0.175  0  2.68321e-05
0.185  0  5.52624e-05
0.195  0  0.000107049
0.205  0  0.000196459
0.215  0  0.000343682
0.225  0  0.000576097
0.235  0  0.000929439
0.245  0  0.00144876
0.255  0  0.00218912
0.265  0  0.00321583
0.275  0  0.00460439
0.285  0  0.00643985
0.295  0  0.00881581
0.305  0  0.011833
0.315  0  0.0155973
0.325  0  0.020218
0.335  0  0.025805
0.345  1  0.0324668
0.355  0  0.0403077
0.365  0  0.0494255
0.375  0  0.0599093
0.385  1  0.0718373
0.395  0  0.085275
0.405  1  0.100274
0.415  2  0.116869
0.425  0  0.135082
0.435  1  0.154913
0.445  1  0.17635
0.455  2  0.199361
0.465  0  0.2239
0.475  1  0.249903
0.485  0  0.277294
0.495  0  0.305981
0.505  1  0.335862
0.515  2  0.366824
0.525  1  0.398744
0.535  1  0.431491
0.545  0  0.46493
0.555  3  0.49892
0.565  4  0.533318
0.575  1  0.567979
0.585  2  0.602759
0.595  0  0.637515
0.605  1  0.672107
0.615  1  0.706398
0.625  2  0.740256
0.635  0  0.773555
0.645  3  0.806175
0.655  1  0.838003
0.665  0  0.868935
0.675  2  0.898872
0.685  1  0.927726
0.695  1  0.955417
0.705  2  0.981871
0.715  2  1.00703
0.725  0  1.03083
0.735  1  1.05323
0.745  1  1.07419
0.755  0  1.09368
0.765  1  1.11167
0.775  1  1.12816
0.785  1  1.14314
0.795  1  1.15659
0.805  0  1.16853
0.815  0  1.17897
0.825  1  1.18792
0.835  0  1.19541
0.845  2  1.20145
0.855  1  1.20608
0.865  1  1.20933
0.875  1  1.21123
0.885  2  1.21183
0.895  1  1.21117
0.905  0  1.20929
0.915  1  1.20624
0.925  2  1.20206
0.935  2  1.19681
0.945  2  1.19052
0.955  2  1.18326
0.965  1  1.17507
0.975  2  1.16601
0.985  2  1.15611
0.995  1  1.14545
