Energy Atoms
-3.4 0.0372966
-3.3 0.435544
-3.2 0.110138
-3.1 0.0438048
-3 0.0235294
-2.9 0.0202753
-2.8 0.016771
-2.7 0.0170213
-2.6 0.0135169
-2.5 0.00876095
-2.4 0.0135169
-2.3 0.00876095
-2.2 0.00876095
-2.1 0.0097622
-2 0.00901126
-1.9 0.0077597
-1.8 0.00901126
-1.7 0.00851064
-1.6 0.00600751
-1.5 0.00625782
-1.4 0.00826033
-1.3 0.00876095
-1.2 0.00625782
-1.1 0.00750939
-1 0.00926158
-0.9 0.00600751
-0.8 0.00550688
-0.7 0.00650814
-0.6 0.00525657
-0.5 0.00600751
-0.4 0.00725907
-0.3 0.0057572
-0.2 0.00600751
-0.1 0.00525657
-0 0.00550688
0.1 0.00700876
0.2 0.00425532
0.3 0.00525657
0.4 0.00375469
0.5 0.00400501
0.6 0.00400501
0.7 0.00275344
0.8 0.00250313
0.9 0.00375469
1 0.00625782
1.1 0.00225282
1.2 0.00175219
1.3 0.00325407
1.4 0.00225282
1.5 0.00525657
1.6 0.00225282
1.7 0.00225282
1.8 0.00225282
1.9 0.00225282
2 0.00225282
2.1 0.00150188
2.2 0.00175219
2.4 0.00175219
2.5 0.00150188
2.6 0.00150188
2.7 0.0020025
2.8 0.000250313
2.9 0.00100125
3 0.00100125
3.2 0.000250313
3.3 0.00100125
3.7 0.000250313
3.9 0.000250313
4.2 0.000250313
4.4 0.000500626
4.5 0.000250313
4.6 0.000250313
4.7 0.000500626
5 0.000250313
5.3 0.000250313
5.9 0.000250313
6.1 0.000250313
6.2 0.000250313
7.1 0.000250313
