Size(A)  Probability_real    Probability_expected
0.0125  0  5.54128e-36
0.0375  0  9.40591e-21
0.0625  0  3.95818e-15
0.0875  0  6.26079e-12
0.1125  0  8.39927e-10
0.1375  0  2.89954e-08
0.1625  0  4.30391e-07
0.1875  0  3.62025e-06
0.2125  0  2.03312e-05
0.2375  0  8.46305e-05
0.2625  0  0.000280129
0.2875  0  0.000774556
0.3125  0  0.00185407
0.3375  0  0.00394579
0.3625  0  0.00761889
0.3875  0  0.0135598
0.4125  0  0.0225235
0.4375  0  0.0352687
0.4625  0  0.0524865
0.4875  0  0.0747335
0.5125  0  0.102378
0.5375  0  0.135564
0.5625  0  0.174194
0.5875  0  0.217937
0.6125  0  0.266245
0.6375  0  0.318392
0.6625  0  0.373511
0.6875  0  0.430644
0.7125  0  0.488785
0.7375  0  0.546926
0.7625  0  0.604095
0.7875  0  0.659381
0.8125  0  0.711969
0.8375  0  0.761147
0.8625  0.4  0.806323
0.8875  0  0.847026
0.9125  0  0.882908
0.9375  0  0.913736
0.9625  0  0.939389
0.9875  0.4  0.959843
1.0125  0.4  0.975161
1.0375  0  0.985483
1.0625  0  0.991012
1.0875  0.8  0.992
1.1125  0.4  0.988739
1.1375  1.2  0.981551
1.1625  0.4  0.970775
1.1875  0.8  0.956762
1.2125  0.4  0.939865
1.2375  0.4  0.920435
1.2625  0.4  0.898813
1.2875  0.4  0.875329
1.3125  0.8  0.850296
1.3375  1.2  0.824011
1.3625  0.4  0.796747
1.3875  0.8  0.768761
1.4125  0.8  0.740284
1.4375  0.8  0.711528
1.4625  1.2  0.682683
1.4875  0.4  0.653918
1.5125  0.4  0.625383
1.5375  1.6  0.597209
1.5625  0.4  0.569507
1.5875  0.8  0.542374
1.6125  0.4  0.51589
1.6375  0.8  0.490123
1.6625  0.8  0.465124
1.6875  0  0.440938
1.7125  0.4  0.417594
1.7375  0.4  0.395114
1.7625  0.4  0.373513
1.7875  0  0.352797
1.8125  0.4  0.332966
1.8375  0  0.314013
1.8625  0.8  0.29593
1.8875  0.4  0.278701
1.9125  1.2  0.262309
1.9375  0.8  0.246733
1.9625  0.4  0.231951
1.9875  0  0.217938
2.0125  0.8  0.204668
2.0375  0  0.192115
2.0625  0  0.180251
2.0875  1.2  0.169047
2.1125  0.4  0.158477
2.1375  0.8  0.148511
2.1625  1.2  0.139123
2.1875  0  0.130285
2.2125  0.8  0.12197
2.2375  0.8  0.114151
2.2625  0.4  0.106805
2.2875  0  0.0999049
2.3125  0  0.093428
2.3375  0.4  0.087351
2.3625  1.2  0.0816519
2.3875  0.4  0.0763095
2.4125  0.4  0.0713033
2.4375  0.8  0.0666141
2.4625  0.4  0.0622233
2.4875  0  0.0581133
2.5125  0.4  0.0542673
2.5375  0  0.0506695
2.5625  0.4  0.0473047
2.5875  0  0.0441586
2.6125  0.4  0.0412178
2.6375  0  0.0384695
2.6625  0.8  0.0359016
2.6875  0.4  0.0335028
2.7125  0.4  0.0312622
2.7375  0  0.0291699
2.7625  0  0.0272163
2.7875  0.4  0.0253925
2.8125  0  0.0236901
2.8375  0  0.0221013
2.8625  0.4  0.0206185
2.8875  0  0.0192349
2.9125  0  0.017944
2.9375  0  0.0167396
2.9625  0.4  0.015616
2.9875  0.8  0.014568
3.0125  0.4  0.0135904
3.0375  0.4  0.0126786
3.0625  0  0.0118281
3.0875  0  0.011035
3.1125  0  0.0102954
3.1375  0  0.00960556
3.1625  0  0.00896229
3.1875  0.4  0.00836241
3.2125  0.4  0.00780301
3.2375  0  0.00728135
3.2625  0  0.00679488
3.2875  0  0.00634124
3.3125  0  0.00591819
3.3375  0.4  0.00552368
3.3625  0  0.00515577
3.3875  0  0.00481265
3.4125  0  0.00449266
3.4375  0  0.00419422
3.4625  0  0.00391586
3.4875  0  0.00365624
3.5125  0  0.00341408
3.5375  0  0.00318819
3.5625  0  0.00297747
3.5875  0  0.0027809
3.6125  0  0.0025975
3.6375  0  0.0024264
3.6625  0  0.00226676
3.6875  0  0.0021178
3.7125  0  0.00197879
3.7375  0  0.00184907
3.7625  0  0.00172801
3.7875  0  0.00161502
3.8125  0  0.00150955
3.8375  0  0.0014111
3.8625  0  0.00131919
3.8875  0  0.00123338
3.9125  0  0.00115326
3.9375  0  0.00107846
3.9625  0  0.0010086
3.9875  0  0.000943354
4.0125  0  0.000882418
4.0375  0  0.0008255
4.0625  0  0.000772331
4.0875  0  0.000722658
4.1125  0  0.000676249
4.1375  0  0.000632884
4.1625  0  0.00059236
4.1875  0  0.000554488
4.2125  0  0.000519091
4.2375  0  0.000486004
4.2625  0  0.000455073
4.2875  0  0.000426156
4.3125  0  0.000399117
4.3375  0  0.000373834
4.3625  0  0.000350189
4.3875  0  0.000328075
4.4125  0  0.00030739
4.4375  0  0.00028804
4.4625  0  0.000269936
4.4875  0  0.000252998
4.5125  0  0.000237148
4.5375  0  0.000222315
4.5625  0  0.000208432
4.5875  0  0.000195437
4.6125  0  0.000183272
4.6375  0  0.000171883
4.6625  0  0.000161219
4.6875  0  0.000151233
4.7125  0  0.000141881
4.7375  0  0.000133122
4.7625  0  0.000124917
4.7875  0  0.000117231
4.8125  0  0.000110029
4.8375  0  0.000103282
4.8625  0  9.69581e-05
4.8875  0  9.10316e-05
4.9125  0  8.54768e-05
4.9375  0  8.02696e-05
4.9625  0  7.53878e-05
4.9875  0  7.08106e-05
5.0125  0  6.65185e-05
5.0375  0  6.24934e-05
5.0625  0  5.87182e-05
5.0875  0  5.5177e-05
5.1125  0  5.18551e-05
5.1375  0  4.87383e-05
5.1625  0  4.58139e-05
5.1875  0  4.30696e-05
5.2125  0  4.04941e-05
5.2375  0  3.80766e-05
5.2625  0  3.58074e-05
5.2875  0  3.3677e-05
5.3125  0  3.16767e-05
5.3375  0  2.97984e-05
5.3625  0  2.80345e-05
5.3875  0  2.63779e-05
5.4125  0  2.48218e-05
5.4375  0  2.33599e-05
5.4625  0  2.19865e-05
5.4875  0  2.06961e-05
5.5125  0  1.94834e-05
5.5375  0  1.83438e-05
5.5625  0  1.72726e-05
5.5875  0  1.62657e-05
5.6125  0  1.53191e-05
5.6375  0  1.44291e-05
5.6625  0  1.35922e-05
5.6875  0  1.28052e-05
5.7125  0  1.2065e-05
5.7375  0  1.13688e-05
5.7625  0  1.07139e-05
5.7875  0  1.00977e-05
5.8125  0  9.518e-06
5.8375  0  8.97248e-06
5.8625  0  8.45909e-06
5.8875  0  7.9759e-06
5.9125  0  7.52108e-06
5.9375  0  7.09292e-06
5.9625  0  6.68981e-06
5.9875  0  6.31025e-06
6.0125  0  5.95284e-06
6.0375  0  5.61623e-06
6.0625  0  5.29919e-06
6.0875  0  5.00056e-06
6.1125  0  4.71922e-06
6.1375  0  4.45416e-06
6.1625  0  4.20441e-06
6.1875  0  3.96905e-06
6.2125  0  3.74724e-06
6.2375  0  3.53818e-06
6.2625  0  3.34111e-06
6.2875  0  3.15533e-06
6.3125  0  2.98017e-06
6.3375  0  2.81502e-06
6.3625  0  2.65927e-06
6.3875  0  2.51238e-06
6.4125  0  2.37384e-06
6.4375  0  2.24316e-06
6.4625  0  2.11987e-06
6.4875  0  2.00356e-06
6.5125  0  1.89381e-06
6.5375  0  1.79024e-06
6.5625  0  1.6925e-06
6.5875  0  1.60024e-06
6.6125  0  1.51316e-06
6.6375  0  1.43095e-06
6.6625  0  1.35334e-06
6.6875  0  1.28006e-06
6.7125  0  1.21085e-06
6.7375  0  1.1455e-06
6.7625  0  1.08378e-06
6.7875  0  1.02547e-06
6.8125  0  9.70396e-07
6.8375  0  9.18362e-07
6.8625  0  8.69199e-07
6.8875  0  8.22743e-07
6.9125  0  7.78841e-07
6.9375  0  7.3735e-07
6.9625  0  6.98132e-07
6.9875  0  6.6106e-07
7.0125  0  6.26014e-07
7.0375  0  5.92879e-07
7.0625  0  5.61548e-07
7.0875  0  5.31921e-07
7.1125  0  5.03902e-07
7.1375  0  4.77402e-07
7.1625  0  4.52335e-07
7.1875  0  4.28623e-07
7.2125  0  4.06189e-07
7.2375  0  3.84964e-07
7.2625  0  3.64879e-07
7.2875  0  3.45873e-07
7.3125  0  3.27886e-07
7.3375  0  3.10861e-07
7.3625  0  2.94745e-07
7.3875  0  2.7949e-07
7.4125  0  2.65046e-07
7.4375  0  2.51371e-07
7.4625  0  2.38422e-07
7.4875  0  2.26159e-07
7.5125  0  2.14545e-07
7.5375  0  2.03545e-07
7.5625  0  1.93125e-07
7.5875  0  1.83254e-07
7.6125  0  1.73902e-07
7.6375  0  1.65041e-07
7.6625  0  1.56645e-07
7.6875  0  1.48688e-07
7.7125  0  1.41147e-07
7.7375  0  1.34e-07
7.7625  0  1.27225e-07
7.7875  0  1.20803e-07
7.8125  0  1.14714e-07
7.8375  0  1.08941e-07
7.8625  0  1.03467e-07
7.8875  0  9.82762e-08
7.9125  0  9.33532e-08
7.9375  0  8.8684e-08
7.9625  0  8.42552e-08
7.9875  0  8.00539e-08
8.0125  0  7.60682e-08
8.0375  0  7.22867e-08
8.0625  0  6.86986e-08
8.0875  0  6.52938e-08
8.1125  0  6.20627e-08
8.1375  0  5.89961e-08
8.1625  0  5.60854e-08
8.1875  0  5.33225e-08
8.2125  0  5.06997e-08
8.2375  0  4.82097e-08
8.2625  0  4.58454e-08
8.2875  0  4.36005e-08
8.3125  0  4.14688e-08
8.3375  0  3.94442e-08
8.3625  0  3.75214e-08
8.3875  0  3.56951e-08
8.4125  0  3.39602e-08
8.4375  0  3.23121e-08
8.4625  0  3.07463e-08
8.4875  0  2.92586e-08
8.5125  0  2.78449e-08
8.5375  0  2.65016e-08
8.5625  0  2.52249e-08
8.5875  0  2.40116e-08
8.6125  0  2.28583e-08
8.6375  0  2.1762e-08
8.6625  0  2.07198e-08
8.6875  0  1.97289e-08
8.7125  0  1.87869e-08
8.7375  0  1.78911e-08
8.7625  0  1.70393e-08
8.7875  0  1.62292e-08
8.8125  0  1.54587e-08
8.8375  0  1.47259e-08
8.8625  0  1.40288e-08
8.8875  0  1.33657e-08
8.9125  0  1.27348e-08
8.9375  0  1.21346e-08
8.9625  0  1.15635e-08
8.9875  0  1.10201e-08
9.0125  0  1.05029e-08
9.0375  0  1.00107e-08
9.0625  0  9.54226e-09
9.0875  0  9.09636e-09
9.1125  0  8.6719e-09
9.1375  0  8.26783e-09
9.1625  0  7.88313e-09
9.1875  0  7.51685e-09
9.2125  0  7.16808e-09
9.2375  0  6.83597e-09
9.2625  0  6.51968e-09
9.2875  0  6.21846e-09
9.3125  0  5.93156e-09
9.3375  0  5.65828e-09
9.3625  0  5.39795e-09
9.3875  0  5.14995e-09
9.4125  0  4.91368e-09
9.4375  0  4.68856e-09
9.4625  0  4.47405e-09
9.4875  0  4.26964e-09
9.5125  0  4.07484e-09
9.5375  0  3.88918e-09
9.5625  0  3.71223e-09
9.5875  0  3.54357e-09
9.6125  0  3.38279e-09
9.6375  0  3.22951e-09
9.6625  0  3.08338e-09
9.6875  0  2.94406e-09
9.7125  0  2.81121e-09
9.7375  0  2.68453e-09
9.7625  0  2.56373e-09
9.7875  0  2.44852e-09
9.8125  0  2.33863e-09
9.8375  0  2.23382e-09
9.8625  0  2.13385e-09
9.8875  0  2.03847e-09
9.9125  0  1.94749e-09
9.9375  0  1.86068e-09
9.9625  0  1.77785e-09
9.9875  0  1.69882e-09
10.0125  0  1.6234e-09
10.0375  0  1.55143e-09
10.0625  0  1.48274e-09
10.0875  0  1.41718e-09
10.1125  0  1.3546e-09
10.1375  0  1.29487e-09
10.1625  0  1.23784e-09
10.1875  0  1.1834e-09
10.2125  0  1.13142e-09
10.2375  0  1.08179e-09
10.2625  0  1.03441e-09
10.2875  0  9.89153e-10
10.3125  0  9.45937e-10
10.3375  0  9.04664e-10
10.3625  0  8.65244e-10
10.3875  0  8.2759e-10
10.4125  0  7.91623e-10
10.4375  0  7.57264e-10
10.4625  0  7.24439e-10
10.4875  0  6.93078e-10
10.5125  0  6.63114e-10
10.5375  0  6.34483e-10
10.5625  0  6.07123e-10
10.5875  0  5.80978e-10
10.6125  0  5.5599e-10
10.6375  0  5.32109e-10
10.6625  0  5.09282e-10
10.6875  0  4.87463e-10
10.7125  0  4.66606e-10
10.7375  0  4.46667e-10
10.7625  0  4.27604e-10
10.7875  0  4.09379e-10
10.8125  0  3.91952e-10
10.8375  0  3.75289e-10
10.8625  0  3.59355e-10
10.8875  0  3.44116e-10
10.9125  0  3.29543e-10
10.9375  0  3.15604e-10
10.9625  0  3.02272e-10
10.9875  0  2.89519e-10
11.0125  0  2.7732e-10
11.0375  0  2.65649e-10
11.0625  0  2.54484e-10
11.0875  0  2.43801e-10
11.1125  0  2.3358e-10
11.1375  0  2.238e-10
11.1625  0  2.14441e-10
11.1875  0  2.05484e-10
11.2125  0  1.96912e-10
11.2375  0  1.88709e-10
11.2625  0  1.80856e-10
11.2875  0  1.7334e-10
11.3125  0  1.66145e-10
11.3375  0  1.59258e-10
11.3625  0  1.52664e-10
11.3875  0  1.46351e-10
11.4125  0  1.40306e-10
11.4375  0  1.34518e-10
11.4625  0  1.28976e-10
11.4875  0  1.23669e-10
11.5125  0  1.18586e-10
11.5375  0  1.13719e-10
11.5625  0  1.09056e-10
11.5875  0  1.04591e-10
11.6125  0  1.00313e-10
11.6375  0  9.62156e-11
11.6625  0  9.22902e-11
11.6875  0  8.85295e-11
11.7125  0  8.49264e-11
11.7375  0  8.14742e-11
11.7625  0  7.81663e-11
11.7875  0  7.49965e-11
11.8125  0  7.1959e-11
11.8375  0  6.9048e-11
11.8625  0  6.62581e-11
11.8875  0  6.35841e-11
11.9125  0  6.10212e-11
11.9375  0  5.85645e-11
11.9625  0  5.62095e-11
11.9875  0  5.3952e-11
12.0125  0  5.17877e-11
12.0375  0  4.97127e-11
12.0625  0  4.77231e-11
12.0875  0  4.58155e-11
12.1125  0  4.39864e-11
12.1375  0  4.22323e-11
12.1625  0  4.05501e-11
12.1875  0  3.89369e-11
12.2125  0  3.73897e-11
12.2375  0  3.59057e-11
12.2625  0  3.44823e-11
12.2875  0  3.31169e-11
12.3125  0  3.18071e-11
12.3375  0  3.05506e-11
12.3625  0  2.93452e-11
12.3875  0  2.81887e-11
12.4125  0  2.7079e-11
12.4375  0  2.60143e-11
12.4625  0  2.49926e-11
12.4875  0  2.40122e-11
12.5125  0  2.30713e-11
12.5375  0  2.21683e-11
12.5625  0  2.13017e-11
12.5875  0  2.047e-11
12.6125  0  1.96716e-11
12.6375  0  1.89053e-11
12.6625  0  1.81696e-11
12.6875  0  1.74634e-11
12.7125  0  1.67854e-11
12.7375  0  1.61345e-11
12.7625  0  1.55095e-11
