Size(A)  Probability_real    Probability_expected
0.0125  0  2.28442e-46
0.0375  0  8.42337e-29
0.0625  0  4.327e-22
0.0875  0  3.55672e-18
0.1125  0  1.63398e-15
0.1375  0  1.50728e-13
0.1625  0  5.0708e-12
0.1875  0  8.59707e-11
0.2125  0  8.91282e-10
0.2375  0  6.39697e-09
0.2625  0  3.45699e-08
0.2875  0  1.49247e-07
0.3125  0  5.37456e-07
0.3375  0  1.66748e-06
0.3625  0  4.56901e-06
0.3875  0  1.12732e-05
0.4125  0  2.54343e-05
0.4375  0  5.31295e-05
0.4625  0  0.000103801
0.4875  0  0.000191271
0.5125  0  0.00033475
0.5375  0  0.000559718
0.5625  0  0.000898596
0.5875  0  0.00139111
0.6125  0  0.00208429
0.6375  0  0.00303205
0.6625  0  0.00429438
0.6875  0  0.00593619
0.7125  0  0.00802575
0.7375  0  0.010633
0.7625  0  0.0138275
0.7875  0  0.0176766
0.8125  0  0.0222434
0.8375  0  0.027585
0.8625  0  0.0337506
0.8875  0  0.0407802
0.9125  0  0.0487034
0.9375  0  0.0575386
0.9625  0  0.0672922
0.9875  0  0.0779587
1.0125  0  0.0895206
1.0375  0  0.101948
1.0625  0  0.115202
1.0875  0  0.12923
1.1125  0  0.143972
1.1375  0  0.159361
1.1625  0  0.17532
1.1875  0  0.191769
1.2125  0  0.20862
1.2375  0  0.225786
1.2625  0  0.243175
1.2875  0.4  0.260694
1.3125  0  0.278252
1.3375  0  0.295758
1.3625  0  0.313124
1.3875  0  0.330266
1.4125  0.4  0.347102
1.4375  0.4  0.363555
1.4625  0  0.379554
1.4875  0.4  0.395032
1.5125  0  0.409929
1.5375  0  0.42419
1.5625  1.6  0.437767
1.5875  0  0.450618
1.6125  0.8  0.462705
1.6375  0.4  0.473999
1.6625  0.8  0.484476
1.6875  2  0.494117
1.7125  1.2  0.502908
1.7375  1.2  0.510842
1.7625  1.6  0.517915
1.7875  1.2  0.524128
1.8125  2.4  0.529488
1.8375  0.4  0.534004
1.8625  0.4  0.537689
1.8875  0.8  0.540559
1.9125  1.2  0.542634
1.9375  0  0.543935
1.9625  1.2  0.544487
1.9875  1.6  0.544316
2.0125  1.6  0.543449
2.0375  0.8  0.541915
2.0625  2  0.539744
2.0875  0.4  0.536967
2.1125  0.4  0.533616
2.1375  1.2  0.529722
2.1625  1.2  0.525318
2.1875  0.8  0.520436
2.2125  1.2  0.515107
2.2375  0.8  0.509364
2.2625  0.4  0.503237
2.2875  0.4  0.496757
2.3125  1.2  0.489955
2.3375  0.4  0.482859
2.3625  0.4  0.475497
2.3875  0.8  0.467898
2.4125  1.2  0.460088
2.4375  0.4  0.452092
2.4625  0.8  0.443935
2.4875  0.4  0.435641
2.5125  0.4  0.427232
2.5375  0.4  0.418728
2.5625  0.4  0.410152
2.5875  0.4  0.401521
2.6125  0.4  0.392854
2.6375  0  0.384169
2.6625  0  0.37548
2.6875  0  0.366804
2.7125  0.4  0.358153
2.7375  0  0.349542
2.7625  0  0.340982
2.7875  0.4  0.332485
2.8125  0  0.324061
2.8375  0  0.315719
2.8625  0  0.307468
2.8875  0  0.299316
2.9125  0  0.29127
2.9375  0  0.283337
2.9625  0  0.275522
2.9875  0  0.26783
3.0125  0  0.260266
3.0375  0  0.252835
3.0625  0  0.245538
3.0875  0  0.23838
3.1125  0  0.231362
3.1375  0  0.224487
3.1625  0  0.217756
3.1875  0  0.21117
3.2125  0  0.20473
3.2375  0  0.198436
3.2625  0  0.192288
3.2875  0  0.186287
3.3125  0  0.180432
3.3375  0  0.174721
3.3625  0  0.169155
3.3875  0  0.163732
3.4125  0  0.15845
3.4375  0  0.153309
3.4625  0  0.148306
3.4875  0  0.14344
3.5125  0  0.138708
3.5375  0  0.134109
3.5625  0  0.129641
3.5875  0  0.125301
3.6125  0  0.121087
3.6375  0  0.116997
3.6625  0  0.113028
3.6875  0  0.109178
3.7125  0  0.105445
3.7375  0  0.101825
3.7625  0  0.098317
3.7875  0  0.0949175
3.8125  0  0.0916243
3.8375  0  0.0884349
3.8625  0  0.0853466
3.8875  0  0.082357
3.9125  0  0.0794635
3.9375  0  0.0766637
3.9625  0  0.0739551
3.9875  0  0.0713352
4.0125  0  0.0688016
4.0375  0  0.0663519
4.0625  0  0.0639838
4.0875  0  0.061695
4.1125  0  0.0594831
4.1375  0  0.057346
4.1625  0  0.0552814
4.1875  0  0.0532872
4.2125  0  0.0513613
4.2375  0  0.0495016
4.2625  0  0.047706
4.2875  0  0.0459727
4.3125  0  0.0442996
4.3375  0  0.0426848
4.3625  0  0.0411266
4.3875  0  0.0396231
4.4125  0  0.0381725
4.4375  0  0.0367732
4.4625  0  0.0354234
4.4875  0  0.0341216
4.5125  0  0.0328662
4.5375  0  0.0316556
4.5625  0  0.0304884
4.5875  0  0.029363
4.6125  0  0.0282782
4.6375  0  0.0272324
4.6625  0  0.0262244
4.6875  0  0.025253
4.7125  0  0.0243167
4.7375  0  0.0234145
4.7625  0  0.0225451
4.7875  0  0.0217075
4.8125  0  0.0209004
4.8375  0  0.0201229
4.8625  0  0.0193739
4.8875  0  0.0186523
4.9125  0  0.0179573
4.9375  0  0.0172879
4.9625  0  0.0166431
4.9875  0  0.0160222
5.0125  0  0.0154242
5.0375  0  0.0148483
5.0625  0  0.0142937
5.0875  0  0.0137597
5.1125  0  0.0132455
5.1375  0  0.0127505
5.1625  0  0.0122738
5.1875  0  0.0118149
5.2125  0  0.011373
5.2375  0  0.0109476
5.2625  0  0.0105381
5.2875  0  0.0101439
5.3125  0  0.00976441
5.3375  0  0.0093991
5.3625  0  0.00904746
5.3875  0  0.00870897
5.4125  0  0.00838315
5.4375  0  0.00806954
5.4625  0  0.00776769
5.4875  0  0.00747715
5.5125  0  0.00719751
5.5375  0  0.00692836
5.5625  0  0.00666931
5.5875  0  0.00641999
5.6125  0  0.00618004
5.6375  0  0.00594909
5.6625  0  0.00572683
5.6875  0  0.00551292
5.7125  0  0.00530705
5.7375  0  0.00510892
5.7625  0  0.00491824
5.7875  0  0.00473473
5.8125  0  0.00455812
5.8375  0  0.00438816
5.8625  0  0.00422458
5.8875  0  0.00406716
5.9125  0  0.00391566
5.9375  0  0.00376986
5.9625  0  0.00362954
5.9875  0  0.0034945
6.0125  0  0.00336454
6.0375  0  0.00323946
6.0625  0  0.00311909
6.0875  0  0.00300324
6.1125  0  0.00289174
6.1375  0  0.00278444
6.1625  0  0.00268117
6.1875  0  0.00258177
6.2125  0  0.00248611
6.2375  0  0.00239404
6.2625  0  0.00230542
6.2875  0  0.00222014
6.3125  0  0.00213805
6.3375  0  0.00205904
6.3625  0  0.00198299
6.3875  0  0.00190979
6.4125  0  0.00183934
6.4375  0  0.00177152
6.4625  0  0.00170624
6.4875  0  0.00164341
6.5125  0  0.00158293
6.5375  0  0.0015247
6.5625  0  0.00146866
6.5875  0  0.00141471
6.6125  0  0.00136277
6.6375  0  0.00131278
6.6625  0  0.00126465
6.6875  0  0.00121831
6.7125  0  0.00117371
6.7375  0  0.00113076
6.7625  0  0.00108941
6.7875  0  0.00104961
6.8125  0  0.00101128
6.8375  0  0.000974381
6.8625  0  0.000938852
6.8875  0  0.000904643
6.9125  0  0.000871705
6.9375  0  0.000839988
6.9625  0  0.000809448
6.9875  0  0.000780039
7.0125  0  0.000751721
7.0375  0  0.00072445
7.0625  0  0.000698188
7.0875  0  0.000672898
7.1125  0  0.000648542
7.1375  0  0.000625086
7.1625  0  0.000602495
7.1875  0  0.000580738
7.2125  0  0.000559782
7.2375  0  0.000539599
7.2625  0  0.000520159
7.2875  0  0.000501433
7.3125  0  0.000483397
7.3375  0  0.000466023
7.3625  0  0.000449286
7.3875  0  0.000433164
7.4125  0  0.000417633
7.4375  0  0.000402671
7.4625  0  0.000388257
7.4875  0  0.00037437
7.5125  0  0.000360991
7.5375  0  0.000348101
7.5625  0  0.000335681
7.5875  0  0.000323714
7.6125  0  0.000312184
7.6375  0  0.000301074
7.6625  0  0.000290368
7.6875  0  0.000280051
