Step  Penalty
32  0.527121
64  0.512895
96  0.507926
128  0.501054
160  0.498312
192  0.496541
224  0.493647
256  0.492187
288  0.490294
320  0.489303
352  0.487893
384  0.487752
416  0.487149
448  0.486286
480  0.486127
512  0.485236
544  0.48499
576  0.48499
608  0.484815
640  0.484403
672  0.483756
704  0.483243
736  0.483004
768  0.482983
800  0.482793
832  0.482493
864  0.481903
896  0.481642
928  0.481161
960  0.480907
992  0.480225
1024  0.480004
1056  0.479672
1088  0.479672
1120  0.479244
1152  0.478014
1184  0.477541
1216  0.47754
1248  0.477476
1280  0.477476
1312  0.477386
1344  0.477386
1376  0.477155
1408  0.476401
1440  0.476234
1472  0.475187
1504  0.474604
1536  0.474604
1568  0.474604
1600  0.47456
1632  0.47456
1664  0.474358
1696  0.474358
1728  0.474358
1760  0.47432
1792  0.474076
1824  0.47381
1856  0.473601
1888  0.473601
1920  0.473287
1952  0.472301
1984  0.472061
2016  0.471322
2048  0.471322
2080  0.471322
2112  0.471322
2144  0.471322
2176  0.471322
2208  0.471169
2240  0.470873
2272  0.470873
2304  0.470747
2336  0.470747
2368  0.470747
2400  0.47021
2432  0.47021
2464  0.47021
2496  0.47021
2528  0.469918
2560  0.469918
2592  0.469918
2624  0.469731
2656  0.469731
2688  0.469549
2720  0.469549
2752  0.469549
2784  0.469549
2816  0.469265
2848  0.469265
2880  0.469265
2912  0.469062
2944  0.468918
2976  0.468918
3008  0.468918
3040  0.468918
3072  0.468918
3104  0.468918
3136  0.468888
3168  0.468618
3200  0.468618
3232  0.467875
3264  0.467655
3296  0.467655
3328  0.467655
3360  0.467574
3392  0.467475
3424  0.466724
3456  0.466724
3488  0.466724
3520  0.466724
3552  0.466395
3584  0.466395
3616  0.466395
3648  0.466395
3680  0.466364
3712  0.466364
3744  0.465389
3776  0.465389
3808  0.465389
3840  0.46479
3872  0.46479
3904  0.46479
3936  0.46479
3968  0.46479
4000  0.46479
4032  0.46479
4064  0.464592
4096  0.464592
4128  0.464592
4160  0.464592
4192  0.464592
4224  0.464467
4256  0.464209
4288  0.464209
4320  0.464209
4352  0.463764
4384  0.463607
4416  0.463607
4448  0.463607
4480  0.463607
4512  0.463588
4544  0.463588
4576  0.463588
4608  0.463588
4640  0.463588
4672  0.463588
4704  0.463588
4736  0.463588
4768  0.463588
4800  0.463588
4832  0.463588
4864  0.463588
4896  0.463588
4928  0.463403
4960  0.463403
4992  0.463403
5024  0.463403
5056  0.463321
5088  0.463321
5120  0.463321
5152  0.463321
5184  0.463321
5216  0.463321
5248  0.462829
5280  0.462829
5312  0.462829
5344  0.462829
5376  0.462829
5408  0.462829
5440  0.462829
5472  0.462829
5504  0.462829
5536  0.462829
5568  0.462829
5600  0.462829
5632  0.462522
5664  0.46247
5696  0.46247
5728  0.46247
5760  0.46221
5792  0.46221
5824  0.46221
5856  0.46221
5888  0.46221
5920  0.461984
5952  0.461984
5984  0.461984
6016  0.461894
6048  0.461794
6080  0.461794
6112  0.461794
6144  0.461794
6176  0.461794
6208  0.461794
6240  0.461794
6272  0.461794
6304  0.46173
6336  0.46173
6368  0.46173
6400  0.46173
6432  0.46173
6464  0.461091
6496  0.461091
6528  0.461091
6560  0.461091
6592  0.461091
6624  0.461091
6656  0.461091
6688  0.460838
6720  0.460838
6752  0.460838
6784  0.460838
6816  0.460793
6848  0.460593
6880  0.460593
6912  0.460593
6944  0.460593
6976  0.460593
7008  0.460593
7040  0.460593
7072  0.460593
7104  0.460593
7136  0.460593
7168  0.460593
7200  0.460593
7232  0.460593
7264  0.460593
7296  0.460593
7328  0.460593
7360  0.460593
7392  0.460593
7424  0.460593
7456  0.460593
7488  0.460593
7520  0.460593
7552  0.460542
7584  0.460542
7616  0.460542
7648  0.460542
7680  0.460542
7712  0.460542
7744  0.460542
7776  0.460542
7808  0.460542
7840  0.460542
7872  0.460542
7904  0.460542
7936  0.460542
7968  0.460542
8000  0.460237
8032  0.460237
8064  0.460237
8096  0.460237
8128  0.460172
8160  0.460172
8192  0.459974
8224  0.459974
8256  0.459974
8288  0.459966
8320  0.459966
8352  0.459966
8384  0.459966
8416  0.459966
8448  0.459966
8480  0.459966
8512  0.459966
8544  0.459966
8576  0.459966
8608  0.459966
8640  0.459966
8672  0.459966
8704  0.459966
8736  0.459966
8768  0.459966
8800  0.459966
8832  0.459966
8864  0.459966
8896  0.459966
8928  0.459966
8960  0.459966
8992  0.459966
9024  0.459798
9056  0.459498
9088  0.459498
9120  0.459498
9152  0.459498
9184  0.459395
9216  0.459395
9248  0.459395
9280  0.459395
9312  0.459395
9344  0.459395
9376  0.459395
9408  0.459204
9440  0.459204
9472  0.459204
9504  0.459204
9536  0.459204
9568  0.459204
9600  0.459204
9632  0.459204
9664  0.459204
9696  0.459204
9728  0.459204
9760  0.459204
9792  0.459204
9824  0.459114
9856  0.458866
9888  0.458866
9920  0.458866
9952  0.458866
9984  0.458866
10016  0.458866
10048  0.458866
10080  0.458866
10112  0.458866
10144  0.458866
10176  0.458866
10208  0.458866
10240  0.458866
10272  0.458866
10304  0.458866
10336  0.458866
10368  0.458866
10400  0.458866
10432  0.458866
10464  0.458866
10496  0.458866
10528  0.458866
10560  0.458866
10592  0.458866
10624  0.458866
10656  0.458866
10688  0.458755
10720  0.458755
10752  0.458755
10784  0.458755
10816  0.458755
10848  0.458755
10880  0.458755
10912  0.458755
10944  0.458755
10976  0.458755
11008  0.458755
11040  0.458755
11072  0.458755
11104  0.458755
11136  0.458755
11168  0.458755
11200  0.458755
11232  0.458755
11264  0.458755
11296  0.458755
11328  0.458755
11360  0.458755
11392  0.458755
11424  0.458725
11456  0.458725
11488  0.458725
11520  0.458725
11552  0.458725
11584  0.458725
11616  0.458725
11648  0.458725
11680  0.458725
11712  0.458725
11744  0.458725
11776  0.458725
11808  0.458725
11840  0.458725
11872  0.458725
11904  0.458725
11936  0.458725
11968  0.458725
12000  0.458725
12032  0.458725
12064  0.458725
12096  0.458725
12128  0.458725
12160  0.458725
12192  0.458725
12224  0.458725
12256  0.458725
12288  0.458462
12320  0.458462
12352  0.458462
12384  0.458462
12416  0.458462
12448  0.458462
12480  0.458462
12512  0.458462
12544  0.458462
12576  0.458462
12608  0.458462
12640  0.458462
12672  0.458462
12704  0.458462
12736  0.458462
12768  0.458462
12800  0.458462
12832  0.458462
12864  0.458462
12896  0.458462
12928  0.458462
12960  0.458462
12992  0.458422
13024  0.458157
13056  0.458157
13088  0.458144
13120  0.458144
13152  0.458144
13184  0.458144
13216  0.458144
13248  0.458144
13280  0.458144
13312  0.458144
13344  0.458144
13376  0.458144
13408  0.458144
13440  0.458144
13472  0.458144
13504  0.458144
13536  0.458144
13568  0.458144
13600  0.458144
13632  0.458144
13664  0.458144
13696  0.458144
13728  0.458144
13760  0.458144
13792  0.458144
13824  0.458144
13856  0.458144
13888  0.458144
13920  0.457712
13952  0.457712
13984  0.457712
14016  0.457712
14048  0.457712
14080  0.457712
14112  0.457712
14144  0.457712
14176  0.457712
14208  0.457712
14240  0.457712
14272  0.457712
14304  0.457712
14336  0.457712
14368  0.457712
14400  0.457712
14432  0.457712
14464  0.457712
14496  0.45768
14528  0.45768
14560  0.45768
