Step  Penalty
32  0.494159
64  0.486037
96  0.483731
128  0.480138
160  0.480138
192  0.480138
224  0.480138
256  0.480138
288  0.474847
320  0.474847
352  0.46494
384  0.46494
416  0.46494
448  0.46494
480  0.46494
512  0.46494
544  0.46494
576  0.46494
608  0.46494
640  0.46494
672  0.46494
704  0.46494
736  0.46494
768  0.46494
800  0.46494
832  0.46494
864  0.46494
896  0.46494
928  0.46494
960  0.46494
992  0.46494
1024  0.46494
1056  0.46494
1088  0.46494
1120  0.46494
1152  0.46494
1184  0.46494
1216  0.46494
1248  0.46494
1280  0.46494
1312  0.46494
1344  0.46494
1376  0.46494
1408  0.46494
1440  0.46494
1472  0.450801
1504  0.450801
1536  0.450801
1568  0.450801
1600  0.450801
1632  0.450801
1664  0.450801
1696  0.450801
1728  0.450801
1760  0.450801
1792  0.450801
1824  0.450801
1856  0.450801
1888  0.450801
1920  0.450801
1952  0.450801
1984  0.450801
2016  0.450801
2048  0.450801
2080  0.450801
2112  0.450801
2144  0.450801
2176  0.450801
2208  0.450801
2240  0.450801
2272  0.450801
2304  0.450801
2336  0.450801
2368  0.450801
2400  0.450801
2432  0.450801
2464  0.450801
2496  0.450801
2528  0.450801
2560  0.450801
2592  0.450801
2624  0.450801
2656  0.450801
2688  0.450801
2720  0.450801
2752  0.450801
2784  0.450801
2816  0.450801
2848  0.450801
2880  0.450801
2912  0.450801
2944  0.450801
2976  0.450801
3008  0.450801
3040  0.450801
3072  0.450801
3104  0.450801
3136  0.450801
3168  0.450801
3200  0.450801
3232  0.450801
3264  0.450801
3296  0.450801
3328  0.450801
3360  0.450801
3392  0.450801
3424  0.450801
3456  0.450801
3488  0.450801
3520  0.450801
3552  0.450801
3584  0.450801
3616  0.450801
3648  0.450801
3680  0.450801
3712  0.450801
3744  0.440273
3776  0.440273
3808  0.440273
3840  0.440273
3872  0.440273
3904  0.440273
3936  0.440273
3968  0.440273
4000  0.440273
4032  0.440273
4064  0.440273
4096  0.440273
4128  0.440273
4160  0.440273
4192  0.440273
4224  0.440273
4256  0.440273
4288  0.440273
4320  0.440273
4352  0.440273
4384  0.440273
4416  0.440273
4448  0.440273
4480  0.440273
4512  0.440273
4544  0.440273
4576  0.440273
4608  0.440273
4640  0.440273
4672  0.440273
4704  0.440273
4736  0.440273
4768  0.440273
4800  0.440273
4832  0.440273
4864  0.440273
4896  0.440273
4928  0.440273
4960  0.440273
4992  0.440273
5024  0.440273
5056  0.440273
5088  0.440273
5120  0.440273
5152  0.440273
5184  0.440273
5216  0.440273
5248  0.440273
5280  0.440273
5312  0.440273
5344  0.440273
5376  0.440273
5408  0.440273
5440  0.440273
5472  0.440273
5504  0.440273
5536  0.440273
5568  0.440273
5600  0.440273
5632  0.440273
5664  0.440273
5696  0.440273
5728  0.440273
5760  0.440273
5792  0.440273
5824  0.440273
5856  0.440273
5888  0.440273
5920  0.440273
5952  0.440273
5984  0.440273
6016  0.440273
6048  0.440273
6080  0.440273
6112  0.440273
6144  0.440273
6176  0.440273
6208  0.440273
6240  0.440273
6272  0.440273
6304  0.440273
6336  0.440273
6368  0.440273
6400  0.440273
6432  0.440273
6464  0.440273
6496  0.440273
6528  0.440273
6560  0.440273
6592  0.440273
6624  0.440273
6656  0.440273
6688  0.440273
6720  0.440273
6752  0.440273
6784  0.440273
6816  0.440273
6848  0.440273
6880  0.440273
6912  0.440273
6944  0.440273
6976  0.440273
7008  0.440273
7040  0.440273
7072  0.440273
7104  0.440273
7136  0.440273
7168  0.440273
7200  0.440273
7232  0.440273
7264  0.440273
7296  0.440273
7328  0.440273
7360  0.440273
7392  0.440273
7424  0.440273
7456  0.440273
7488  0.440273
7520  0.440273
7552  0.440273
7584  0.440273
7616  0.440273
7648  0.440273
7680  0.440273
7712  0.440273
7744  0.440273
7776  0.440273
7808  0.440273
7840  0.440273
7872  0.440273
7904  0.440273
7936  0.440273
7968  0.440273
8000  0.440273
8032  0.440273
8064  0.440273
8096  0.440273
8128  0.440273
8160  0.440273
8192  0.440273
8224  0.440273
8256  0.440273
8288  0.440273
8320  0.440273
8352  0.440273
8384  0.440273
8416  0.440273
8448  0.440273
8480  0.440273
8512  0.440273
8544  0.440273
8576  0.440273
8608  0.440273
8640  0.440273
8672  0.440273
8704  0.440273
8736  0.440273
8768  0.440273
8800  0.440273
8832  0.440273
8864  0.440273
8896  0.440273
8928  0.440273
8960  0.440273
8992  0.440273
9024  0.440273
9056  0.440273
9088  0.440273
9120  0.440273
9152  0.440273
9184  0.440273
9216  0.440273
9248  0.440273
9280  0.440273
9312  0.440273
9344  0.440273
9376  0.440273
9408  0.440273
9440  0.440273
9472  0.440273
9504  0.440273
9536  0.440273
9568  0.440273
9600  0.440273
9632  0.440273
9664  0.440273
9696  0.440273
9728  0.440273
9760  0.440273
9792  0.440273
9824  0.440273
9856  0.440273
9888  0.440273
9920  0.440273
9952  0.440273
9984  0.440273
10016  0.440273
10048  0.440273
10080  0.440273
10112  0.440273
