Step  Penalty
32  0.526659
64  0.507964
96  0.489469
128  0.470651
160  0.438578
192  0.409638
224  0.379292
256  0.352355
288  0.328855
320  0.314678
352  0.300716
384  0.290241
416  0.282469
448  0.276412
480  0.271587
512  0.26786
544  0.264514
576  0.261501
608  0.258405
640  0.256643
672  0.255245
704  0.254369
736  0.252612
768  0.251263
800  0.250611
832  0.249105
864  0.248403
896  0.247391
928  0.246971
960  0.246361
992  0.245926
1024  0.245664
1056  0.245431
1088  0.245063
1120  0.244845
1152  0.244411
1184  0.244185
1216  0.244015
1248  0.243373
1280  0.243252
1312  0.242937
1344  0.242908
1376  0.242715
1408  0.242621
1440  0.242267
1472  0.242002
1504  0.241715
1536  0.241485
1568  0.241351
1600  0.241336
1632  0.241336
1664  0.241307
1696  0.241021
1728  0.240864
1760  0.240742
1792  0.240504
1824  0.240447
1856  0.240337
1888  0.240304
1920  0.240269
1952  0.240269
1984  0.240201
2016  0.240201
2048  0.240201
2080  0.240176
2112  0.24006
2144  0.24006
2176  0.24006
2208  0.24006
2240  0.239679
2272  0.239675
2304  0.239645
2336  0.239645
2368  0.239645
2400  0.239645
2432  0.239579
2464  0.23957
2496  0.239568
2528  0.239483
2560  0.239483
2592  0.239483
2624  0.239472
2656  0.239333
2688  0.239289
2720  0.239083
2752  0.239083
2784  0.239044
2816  0.238924
2848  0.238914
2880  0.238733
2912  0.238733
2944  0.238733
2976  0.238733
3008  0.238659
3040  0.238659
3072  0.238659
3104  0.238659
3136  0.238659
3168  0.238659
3200  0.238659
3232  0.238606
3264  0.238606
3296  0.238606
3328  0.238606
3360  0.238565
3392  0.238438
3424  0.238438
3456  0.238141
3488  0.238141
3520  0.238141
3552  0.238141
3584  0.238141
3616  0.238104
3648  0.238104
3680  0.23808
3712  0.23808
3744  0.23808
3776  0.238062
3808  0.238062
3840  0.237977
3872  0.237916
3904  0.237916
3936  0.237916
3968  0.237916
4000  0.237916
4032  0.237916
4064  0.237916
4096  0.237916
4128  0.237916
4160  0.237848
4192  0.237848
4224  0.237848
4256  0.237848
4288  0.237848
4320  0.237848
4352  0.237848
4384  0.237848
4416  0.237848
4448  0.237848
4480  0.237848
4512  0.237814
4544  0.237814
4576  0.237763
4608  0.237763
4640  0.237746
4672  0.237746
4704  0.237746
4736  0.237746
4768  0.237713
4800  0.237713
4832  0.237713
4864  0.237713
4896  0.237658
4928  0.237658
4960  0.237658
4992  0.237615
5024  0.237615
5056  0.237615
5088  0.237615
5120  0.237615
5152  0.237615
5184  0.237615
5216  0.237615
5248  0.237615
5280  0.237615
5312  0.237615
5344  0.237554
5376  0.237554
5408  0.237554
5440  0.237554
5472  0.237554
5504  0.237509
5536  0.237509
5568  0.237509
5600  0.237509
5632  0.237487
5664  0.237487
5696  0.237487
5728  0.237487
5760  0.237487
5792  0.237487
5824  0.237487
5856  0.237453
5888  0.237453
5920  0.237453
5952  0.237414
5984  0.237254
6016  0.237254
6048  0.237254
6080  0.237254
6112  0.237254
6144  0.237254
6176  0.237254
6208  0.237254
6240  0.237204
6272  0.237204
6304  0.237204
6336  0.237151
6368  0.237151
6400  0.237151
6432  0.237151
6464  0.237151
6496  0.237151
6528  0.237151
6560  0.237151
6592  0.237151
6624  0.237151
6656  0.237151
6688  0.237151
6720  0.237151
6752  0.237117
6784  0.237117
6816  0.237117
6848  0.237117
6880  0.237117
6912  0.237117
6944  0.237087
6976  0.237087
7008  0.237087
7040  0.237049
7072  0.237049
7104  0.237049
7136  0.237049
