Step  Penalty
32  0.526125
64  0.511138
96  0.504694
128  0.499234
160  0.494772
192  0.48987
224  0.484997
256  0.480037
288  0.474802
320  0.469939
352  0.459423
384  0.450816
416  0.435359
448  0.42281
480  0.411021
512  0.399511
544  0.39063
576  0.383022
608  0.373682
640  0.364574
672  0.354095
704  0.343815
736  0.337221
768  0.33253
800  0.325211
832  0.317431
864  0.309803
896  0.30177
928  0.294434
960  0.288229
992  0.281734
1024  0.274955
1056  0.26559
1088  0.25634
1120  0.248958
1152  0.244004
1184  0.239843
1216  0.236488
1248  0.232493
1280  0.229075
1312  0.225172
1344  0.222482
1376  0.219764
1408  0.216401
1440  0.212112
1472  0.208661
1504  0.205743
1536  0.204056
1568  0.202042
1600  0.200713
1632  0.199833
1664  0.19845
1696  0.197138
1728  0.195904
1760  0.194469
1792  0.193163
1824  0.19201
1856  0.19098
1888  0.189628
1920  0.188794
1952  0.187954
1984  0.186956
2016  0.186122
2048  0.185334
2080  0.184763
2112  0.18414
2144  0.183593
2176  0.183104
2208  0.18279
2240  0.182067
2272  0.181797
2304  0.181436
2336  0.181037
2368  0.180584
2400  0.180054
2432  0.179746
2464  0.179398
2496  0.179021
2528  0.178697
2560  0.178464
2592  0.178251
2624  0.177793
2656  0.177579
2688  0.177225
2720  0.176701
2752  0.176342
2784  0.176051
2816  0.175537
2848  0.175414
2880  0.175148
2912  0.174998
2944  0.174847
2976  0.174762
3008  0.17467
3040  0.174593
3072  0.174484
3104  0.174447
3136  0.174404
3168  0.174307
3200  0.174286
3232  0.174157
3264  0.174033
3296  0.173942
3328  0.173704
3360  0.17365
3392  0.173581
3424  0.173501
3456  0.173444
3488  0.173402
3520  0.173334
3552  0.173195
3584  0.173172
3616  0.173072
3648  0.172945
3680  0.172909
3712  0.172769
3744  0.17273
3776  0.172675
3808  0.172617
3840  0.172471
3872  0.172249
3904  0.17207
3936  0.17202
3968  0.171878
4000  0.171789
4032  0.171735
4064  0.171666
4096  0.171484
4128  0.171478
4160  0.171403
4192  0.171301
4224  0.171172
4256  0.171131
