Step  Penalty
32  0.58253
64  0.526781
96  0.512343
128  0.506913
160  0.501004
192  0.489801
224  0.482457
256  0.472563
288  0.460748
320  0.44944
352  0.440444
384  0.431495
416  0.423878
448  0.42022
480  0.412327
512  0.406714
544  0.401678
576  0.394469
608  0.38997
640  0.387709
672  0.383514
704  0.380833
736  0.376063
768  0.371903
800  0.362911
832  0.356084
864  0.350144
896  0.344954
928  0.342327
960  0.334831
992  0.330974
1024  0.327715
1056  0.325402
1088  0.32308
1120  0.321046
1152  0.315893
1184  0.31398
1216  0.311694
1248  0.309499
1280  0.307044
1312  0.303617
1344  0.301075
1376  0.297796
1408  0.29447
1440  0.29007
1472  0.28774
1504  0.28591
1536  0.284526
1568  0.283008
1600  0.282016
1632  0.281071
1664  0.278936
1696  0.277337
1728  0.275853
1760  0.274494
1792  0.2743
1824  0.272924
1856  0.271625
1888  0.271127
1920  0.270053
1952  0.269135
1984  0.268265
2016  0.267602
2048  0.267355
2080  0.266785
2112  0.266326
2144  0.265832
2176  0.26534
2208  0.264884
2240  0.264596
2272  0.264288
2304  0.264051
2336  0.263911
2368  0.263516
2400  0.26327
2432  0.263104
2464  0.262638
2496  0.262467
2528  0.262467
2560  0.262249
2592  0.2621
2624  0.261443
2656  0.261403
2688  0.260932
2720  0.260772
2752  0.260772
2784  0.260772
2816  0.260772
2848  0.260772
2880  0.260772
2912  0.260181
2944  0.260181
2976  0.260181
3008  0.260048
3040  0.259995
3072  0.259995
3104  0.259712
3136  0.259677
3168  0.259304
3200  0.259304
3232  0.259304
3264  0.258829
3296  0.258829
3328  0.258748
3360  0.258705
3392  0.258705
3424  0.258348
3456  0.258345
3488  0.258306
3520  0.258306
3552  0.258134
3584  0.258134
3616  0.258134
3648  0.258134
3680  0.257648
3712  0.257514
3744  0.257514
3776  0.25751
3808  0.25751
3840  0.257407
3872  0.257407
3904  0.257407
3936  0.257407
3968  0.257407
4000  0.257374
4032  0.257268
4064  0.257309
4096  0.257309
4128  0.257309
4160  0.257309
4192  0.257309
4224  0.257064
4256  0.257055
4288  0.257055
4320  0.256884
4352  0.256838
4384  0.256563
4416  0.256209
4448  0.256209
4480  0.256153
4512  0.256153
4544  0.256153
4576  0.256129
4608  0.255749
4640  0.255628
4672  0.255569
4704  0.255556
4736  0.255058
4768  0.255058
4800  0.255015
4832  0.255015
4864  0.254975
4896  0.254887
4928  0.254717
4960  0.254713
4992  0.254713
5024  0.254713
5056  0.254697
5088  0.254697
5120  0.254697
5152  0.254697
5184  0.254697
5216  0.254513
5248  0.254487
5280  0.254487
5312  0.254428
5344  0.254428
5376  0.254342
5408  0.253968
5440  0.253847
5472  0.253553
5504  0.253553
5536  0.25349
5568  0.253417
5600  0.253417
5632  0.253192
5664  0.253192
5696  0.252504
5728  0.252327
5760  0.25229
5792  0.25203
5824  0.25203
5856  0.25203
5888  0.25203
5920  0.25203
5952  0.25203
5984  0.25203
6016  0.251986
6048  0.251948
6080  0.251914
6112  0.251914
6144  0.251914
6176  0.251914
6208  0.251914
6240  0.251914
6272  0.251827
6304  0.251827
6336  0.251827
6368  0.251827
6400  0.251827
6432  0.251823
6464  0.251823
6496  0.251722
6528  0.251722
6560  0.251672
6592  0.251672
6624  0.251672
6656  0.251672
6688  0.251672
6720  0.251672
6752  0.251512
6784  0.251346
6816  0.251346
6848  0.251346
6880  0.251346
6912  0.251346
6944  0.251248
6976  0.251248
7008  0.250836
7040  0.250836
7072  0.250836
7104  0.250814
7136  0.25062
7168  0.25062
7200  0.25062
7232  0.25062
7264  0.25062
7296  0.25062
7328  0.25062
7360  0.250554
7392  0.250554
7424  0.250554
7456  0.250418
7488  0.250412
7520  0.250412
7552  0.250412
7584  0.250396
7616  0.250396
7648  0.250396
7680  0.250396
7712  0.250396
7744  0.250396
7776  0.250396
7808  0.250396
7840  0.250396
7872  0.250396
7904  0.250278
7936  0.250278
7968  0.250278
8000  0.250278
8032  0.250278
8064  0.250278
8096  0.250278
8128  0.250278
8160  0.250278
8192  0.250278
8224  0.250146
8256  0.249947
8288  0.249828
8320  0.249828
8352  0.249828
8384  0.249828
8416  0.249828
8448  0.249828
8480  0.24974
8512  0.24974
8544  0.2497
8576  0.2497
8608  0.249536
8640  0.249536
8672  0.249536
8704  0.249528
8736  0.249528
8768  0.249433
8800  0.249433
8832  0.249433
8864  0.249433
8896  0.249368
8928  0.249368
8960  0.249368
8992  0.249368
9024  0.249368
9056  0.249368
9088  0.249368
9120  0.249368
9152  0.249368
9184  0.249368
9216  0.249352
9248  0.249352
9280  0.249352
9312  0.249352
