Step  Penalty
32  0.492521
64  0.478323
96  0.471479
128  0.423038
160  0.393617
192  0.366509
224  0.333589
256  0.325187
288  0.313295
320  0.301907
352  0.285212
384  0.267817
416  0.267817
448  0.267195
480  0.257915
512  0.257096
544  0.253936
576  0.248084
608  0.242752
640  0.242752
672  0.242636
704  0.237445
736  0.237445
768  0.237445
800  0.236386
832  0.236386
864  0.236386
896  0.235979
928  0.233623
960  0.233027
992  0.233027
1024  0.233027
1056  0.233027
1088  0.232992
1120  0.232992
1152  0.232992
1184  0.232992
1216  0.232992
1248  0.232992
1280  0.232992
1312  0.232992
1344  0.232992
1376  0.232992
1408  0.232992
1440  0.232992
1472  0.232636
1504  0.232636
1536  0.230948
1568  0.230948
1600  0.230948
1632  0.230948
1664  0.230948
1696  0.230948
1728  0.230948
1760  0.230948
1792  0.230948
1824  0.230948
1856  0.230948
1888  0.230948
1920  0.230948
1952  0.230948
1984  0.230948
2016  0.230948
2048  0.230948
2080  0.230948
2112  0.230948
2144  0.230948
2176  0.230948
2208  0.230948
2240  0.230948
2272  0.230948
2304  0.230948
2336  0.230948
2368  0.230948
2400  0.230948
2432  0.230948
2464  0.230948
2496  0.230948
2528  0.230948
2560  0.230948
2592  0.230948
2624  0.230948
2656  0.230948
2688  0.230948
2720  0.230948
2752  0.230948
2784  0.230948
2816  0.230895
2848  0.230895
2880  0.230895
2912  0.230895
2944  0.230895
2976  0.230734
3008  0.230734
3040  0.230734
3072  0.230734
3104  0.23014
3136  0.227212
3168  0.227212
3200  0.227212
3232  0.227212
3264  0.227212
3296  0.227212
3328  0.227212
3360  0.227212
3392  0.227212
3424  0.227212
3456  0.227212
3488  0.227212
3520  0.227212
3552  0.227212
3584  0.227212
3616  0.227212
3648  0.227212
3680  0.227212
3712  0.227212
3744  0.227212
3776  0.227212
3808  0.227212
3840  0.227212
3872  0.227212
3904  0.227212
3936  0.227212
3968  0.227212
4000  0.227212
4032  0.227212
4064  0.227212
4096  0.227212
4128  0.227212
4160  0.227212
4192  0.227212
4224  0.227212
4256  0.227212
4288  0.227212
4320  0.227212
4352  0.227212
4384  0.227212
4416  0.227212
4448  0.227212
4480  0.227212
4512  0.227212
4544  0.227212
4576  0.227212
4608  0.227212
4640  0.227212
4672  0.227212
4704  0.227212
4736  0.227212
4768  0.227212
4800  0.227212
4832  0.227212
4864  0.227212
4896  0.227212
4928  0.227212
4960  0.227212
4992  0.227212
5024  0.227212
5056  0.227212
5088  0.227212
5120  0.227212
5152  0.227212
5184  0.227212
5216  0.227212
5248  0.227212
5280  0.227212
5312  0.227212
5344  0.227212
5376  0.227212
5408  0.227212
5440  0.227212
5472  0.227212
5504  0.227212
5536  0.227212
5568  0.227212
5600  0.227212
5632  0.227212
5664  0.227212
5696  0.227212
5728  0.227212
5760  0.227212
5792  0.227212
5824  0.227212
5856  0.227212
5888  0.227212
5920  0.227212
5952  0.227212
5984  0.227212
6016  0.227212
6048  0.227212
6080  0.227212
6112  0.227212
6144  0.227212
6176  0.227212
6208  0.227212
6240  0.227212
6272  0.227212
6304  0.227212
6336  0.227212
6368  0.227212
6400  0.227212
6432  0.227212
6464  0.227212
6496  0.227212
6528  0.227212
6560  0.227212
6592  0.227212
6624  0.227212
6656  0.227212
6688  0.227212
6720  0.227212
6752  0.227212
6784  0.227212
6816  0.227212
6848  0.227212
6880  0.227212
6912  0.227212
6944  0.227212
6976  0.227212
7008  0.227212
7040  0.227212
7072  0.227212
7104  0.227212
7136  0.227212
7168  0.227212
7200  0.227212
7232  0.227212
7264  0.227212
7296  0.227212
7328  0.227212
7360  0.227212
7392  0.227212
7424  0.227212
7456  0.227212
7488  0.227212
7520  0.227212
7552  0.227212
7584  0.227212
7616  0.227212
7648  0.227212
7680  0.227212
7712  0.227212
7744  0.227212
7776  0.227212
7808  0.227212
7840  0.227212
7872  0.227212
7904  0.227212
7936  0.227212
7968  0.227212
8000  0.227212
8032  0.227212
8064  0.227212
8096  0.227212
8128  0.227212
8160  0.227212
8192  0.227212
8224  0.227212
8256  0.227212
8288  0.227212
8320  0.227212
8352  0.227212
8384  0.227212
8416  0.226467
8448  0.226467
8480  0.226467
8512  0.226467
8544  0.226467
8576  0.226467
8608  0.226467
8640  0.226467
8672  0.226467
8704  0.226467
8736  0.226467
8768  0.226467
8800  0.226467
8832  0.226467
8864  0.226467
8896  0.226467
8928  0.226467
8960  0.226467
8992  0.226467
9024  0.226467
9056  0.226467
9088  0.226467
9120  0.226467
9152  0.226467
9184  0.226467
9216  0.226467
9248  0.226467
9280  0.226467
9312  0.226467
9344  0.226467
9376  0.226467
9408  0.226467
9440  0.226467
9472  0.226467
9504  0.226467
9536  0.226467
9568  0.226467
9600  0.226467
9632  0.226467
