Step  Penalty
32  0.531846
64  0.514315
96  0.505272
128  0.498517
160  0.494611
192  0.491944
224  0.490692
256  0.488483
288  0.48698
320  0.486663
352  0.485407
384  0.484802
416  0.484314
448  0.48347
480  0.483077
512  0.482599
544  0.48167
576  0.481585
608  0.479445
640  0.479445
672  0.479264
704  0.47919
736  0.478976
768  0.478976
800  0.478802
832  0.478031
864  0.477147
896  0.477118
928  0.476705
960  0.476692
992  0.476413
1024  0.476352
1056  0.476352
1088  0.475852
1120  0.475852
1152  0.475425
1184  0.475226
1216  0.475099
1248  0.475099
1280  0.475099
1312  0.474855
1344  0.474855
1376  0.474732
1408  0.474732
1440  0.474091
1472  0.474091
1504  0.473943
1536  0.473757
1568  0.473337
1600  0.473187
1632  0.473187
1664  0.473156
1696  0.473156
1728  0.473076
1760  0.473076
1792  0.473076
1824  0.47298
1856  0.47298
1888  0.47298
1920  0.47298
1952  0.47298
1984  0.47298
2016  0.472935
2048  0.472935
2080  0.472935
2112  0.472935
2144  0.472685
2176  0.472685
2208  0.472685
2240  0.472685
2272  0.472685
2304  0.472347
2336  0.472347
2368  0.472347
2400  0.471307
2432  0.471307
2464  0.471307
2496  0.471307
2528  0.471302
2560  0.471302
2592  0.470818
2624  0.470818
2656  0.469827
2688  0.469827
2720  0.469827
2752  0.469827
2784  0.469648
2816  0.469648
2848  0.469648
2880  0.469648
2912  0.469648
2944  0.469648
2976  0.469648
3008  0.469648
3040  0.469648
3072  0.469648
3104  0.469648
3136  0.469648
3168  0.469648
3200  0.469648
3232  0.469648
3264  0.469569
3296  0.469569
3328  0.469569
3360  0.469569
3392  0.469569
3424  0.468841
3456  0.468841
3488  0.468841
3520  0.468841
3552  0.468826
3584  0.468826
3616  0.468826
3648  0.468826
3680  0.468826
3712  0.468826
3744  0.468623
3776  0.468351
3808  0.468351
3840  0.468351
3872  0.468351
3904  0.468222
3936  0.467998
3968  0.467887
4000  0.467827
4032  0.467827
4064  0.467827
4096  0.467827
4128  0.467827
4160  0.467774
4192  0.467774
4224  0.467774
4256  0.467774
4288  0.467774
4320  0.46712
4352  0.46712
4384  0.46712
4416  0.46712
4448  0.46712
4480  0.46712
4512  0.46712
4544  0.46712
4576  0.46712
4608  0.46712
4640  0.46673
4672  0.46673
4704  0.46673
4736  0.466648
4768  0.466648
4800  0.466639
4832  0.466116
4864  0.466116
4896  0.466116
4928  0.466116
4960  0.466116
4992  0.466116
5024  0.466116
5056  0.466116
5088  0.466116
5120  0.466116
5152  0.466116
5184  0.465811
5216  0.465811
5248  0.465811
5280  0.465811
5312  0.465811
5344  0.465811
5376  0.465811
5408  0.465164
5440  0.465164
5472  0.465164
5504  0.465164
5536  0.465164
5568  0.465164
5600  0.465164
5632  0.465164
5664  0.465164
5696  0.465164
5728  0.465164
5760  0.465164
5792  0.465105
5824  0.465105
5856  0.465105
5888  0.465078
5920  0.465078
5952  0.465078
5984  0.465078
6016  0.465078
6048  0.465078
6080  0.465078
6112  0.465078
6144  0.465078
6176  0.465078
