Step  Penalty
32  0.481472
64  0.479679
96  0.478277
128  0.478277
160  0.478277
192  0.478277
224  0.478277
256  0.478277
288  0.478277
320  0.475155
352  0.475155
384  0.475155
416  0.471441
448  0.471441
480  0.471441
512  0.471441
544  0.471441
576  0.471441
608  0.471441
640  0.471441
672  0.471441
704  0.471441
736  0.471441
768  0.464118
800  0.464118
832  0.464118
864  0.464118
896  0.464118
928  0.464118
960  0.464118
992  0.464118
1024  0.464118
1056  0.464118
1088  0.464118
1120  0.464118
1152  0.464118
1184  0.464118
1216  0.464118
1248  0.464118
1280  0.464118
1312  0.464118
1344  0.464118
1376  0.464118
1408  0.464118
1440  0.464118
1472  0.464118
1504  0.464118
1536  0.464118
1568  0.464118
1600  0.464118
1632  0.464118
1664  0.464118
1696  0.464118
1728  0.464118
1760  0.464118
1792  0.460804
1824  0.460804
1856  0.460804
1888  0.460804
1920  0.460804
1952  0.460804
1984  0.460804
2016  0.460804
2048  0.460804
2080  0.460804
2112  0.460804
2144  0.460804
2176  0.460804
2208  0.455762
2240  0.455762
2272  0.455762
2304  0.455762
2336  0.455762
2368  0.455762
2400  0.455762
2432  0.455762
2464  0.455762
2496  0.455762
2528  0.455762
2560  0.455762
2592  0.455762
2624  0.455762
2656  0.455762
2688  0.455762
2720  0.455762
2752  0.455762
2784  0.455762
2816  0.455762
2848  0.455762
2880  0.455762
2912  0.455762
2944  0.455762
2976  0.455762
3008  0.455762
3040  0.455762
3072  0.455762
3104  0.455762
3136  0.455762
3168  0.455762
3200  0.455762
3232  0.455762
3264  0.455762
3296  0.455762
3328  0.455762
3360  0.455762
3392  0.455762
3424  0.455762
3456  0.455762
3488  0.455762
3520  0.455762
3552  0.455762
3584  0.455762
3616  0.455762
3648  0.455762
3680  0.455762
3712  0.455762
3744  0.455762
3776  0.455762
3808  0.455762
3840  0.455762
3872  0.455762
3904  0.455762
3936  0.455762
3968  0.455762
4000  0.455762
4032  0.455762
4064  0.455762
4096  0.455762
4128  0.455762
4160  0.455762
4192  0.455762
4224  0.455762
4256  0.455762
4288  0.455762
4320  0.455762
4352  0.455762
4384  0.455762
4416  0.455762
4448  0.455762
4480  0.454837
4512  0.454837
4544  0.434825
4576  0.434825
4608  0.434825
4640  0.434825
4672  0.434825
4704  0.434825
4736  0.434825
4768  0.434825
4800  0.434825
4832  0.434825
4864  0.434825
4896  0.434825
4928  0.434825
4960  0.434825
4992  0.434825
5024  0.434825
5056  0.434825
5088  0.434825
5120  0.434825
