Step  Penalty
32  0.52838
64  0.523817
96  0.520593
128  0.51748
160  0.512454
192  0.503299
224  0.490391
256  0.472986
288  0.440589
320  0.40592
352  0.378433
384  0.353944
416  0.331789
448  0.31516
480  0.305163
512  0.292531
544  0.282514
576  0.27454
608  0.267951
640  0.263998
672  0.258645
704  0.254396
736  0.252064
768  0.250315
800  0.249114
832  0.247867
864  0.246933
896  0.246474
928  0.245825
960  0.245498
992  0.245145
1024  0.244813
1056  0.244607
1088  0.24455
1120  0.244453
1152  0.24435
1184  0.244213
1216  0.244065
1248  0.243932
1280  0.243748
1312  0.243365
1344  0.243068
1376  0.242913
1408  0.242913
1440  0.242741
1472  0.242612
1504  0.242314
1536  0.242314
1568  0.242292
1600  0.242103
1632  0.24192
1664  0.241877
1696  0.241861
1728  0.241861
1760  0.241793
1792  0.241793
1824  0.241745
1856  0.241745
1888  0.241706
1920  0.241706
1952  0.241625
1984  0.241625
2016  0.241589
2048  0.241589
2080  0.241574
2112  0.241574
2144  0.241253
2176  0.241215
2208  0.241215
2240  0.241215
2272  0.24117
2304  0.24117
2336  0.241117
2368  0.241117
2400  0.241101
2432  0.241101
2464  0.24097
2496  0.240971
2528  0.240971
2560  0.240971
2592  0.240906
2624  0.240766
2656  0.240766
2688  0.240766
2720  0.240737
2752  0.240569
2784  0.240569
2816  0.240569
2848  0.240569
2880  0.240569
2912  0.240562
2944  0.240562
2976  0.240562
3008  0.240562
3040  0.240562
3072  0.24051
3104  0.24051
3136  0.24051
3168  0.24051
3200  0.24051
3232  0.24051
3264  0.24051
3296  0.240461
3328  0.240461
3360  0.240461
3392  0.240461
3424  0.240461
3456  0.240461
3488  0.240461
3520  0.240461
3552  0.240461
3584  0.240461
3616  0.240461
3648  0.240458
3680  0.240458
3712  0.240458
3744  0.240458
3776  0.240458
3808  0.240458
3840  0.240442
3872  0.240379
3904  0.240343
3936  0.240343
3968  0.240262
4000  0.240261
4032  0.240261
4064  0.240255
4096  0.240229
4128  0.240229
4160  0.240229
4192  0.240149
4224  0.240149
4256  0.240149
4288  0.240078
4320  0.240059
4352  0.24001
4384  0.24
4416  0.24
4448  0.24
4480  0.24
4512  0.24
4544  0.24
4576  0.24
4608  0.24
4640  0.24
4672  0.24
4704  0.24
4736  0.24
4768  0.24
4800  0.24
4832  0.24
4864  0.23996
4896  0.23996
4928  0.23996
4960  0.23996
4992  0.23996
5024  0.239953
5056  0.239953
5088  0.239953
5120  0.239953
5152  0.239953
5184  0.239953
5216  0.239953
5248  0.239953
5280  0.239916
5312  0.239916
5344  0.239916
5376  0.239916
5408  0.239916
5440  0.239916
5472  0.239916
5504  0.239916
5536  0.239916
5568  0.239916
5600  0.239916
5632  0.239916
5664  0.239916
5696  0.239916
5728  0.239916
5760  0.239916
5792  0.239916
5824  0.239826
5856  0.239826
5888  0.239826
5920  0.239826
5952  0.239807
5984  0.239807
6016  0.239803
6048  0.239803
6080  0.239803
6112  0.239803
6144  0.239803
6176  0.239803
6208  0.239803
6240  0.239803
6272  0.239795
6304  0.239795
6336  0.239795
6368  0.239795
6400  0.239795
6432  0.239795
6464  0.239562
6496  0.239562
6528  0.239562
6560  0.239562
6592  0.239562
6624  0.239562
6656  0.239562
6688  0.239562
6720  0.239493
6752  0.239493
6784  0.239493
6816  0.239387
6848  0.239387
6880  0.239377
6912  0.239377
6944  0.239377
6976  0.239377
7008  0.239377
7040  0.23933
7072  0.23933
7104  0.23933
7136  0.239208
7168  0.239208
7200  0.239208
7232  0.239208
7264  0.23919
7296  0.23919
7328  0.23919
7360  0.23919
7392  0.23919
7424  0.23919
7456  0.23919
7488  0.23919
7520  0.23919
7552  0.23919
7584  0.23919
7616  0.23919
7648  0.23919
7680  0.23919
7712  0.23919
7744  0.23919
7776  0.23919
7808  0.23919
7840  0.23919
7872  0.239136
7904  0.239136
7936  0.239136
7968  0.239136
8000  0.239136
8032  0.239136
8064  0.239111
8096  0.239111
8128  0.239111
8160  0.239047
8192  0.239047
8224  0.239047
8256  0.239006
8288  0.239006
8320  0.239006
8352  0.239006
8384  0.239006
8416  0.239006
8448  0.239006
8480  0.239006
8512  0.239006
8544  0.239006
8576  0.239006
8608  0.239006
8640  0.239006
8672  0.239006
8704  0.239006
8736  0.239006
8768  0.239006
8800  0.239006
8832  0.239006
8864  0.239006
8896  0.238995
8928  0.238995
8960  0.238995
8992  0.238995
9024  0.238995
9056  0.238995
9088  0.238995
9120  0.238995
9152  0.238995
9184  0.238995
9216  0.238995
9248  0.238995
9280  0.238995
9312  0.238995
9344  0.238988
9376  0.238988
9408  0.238981
9440  0.238981
9472  0.238981
9504  0.238981
9536  0.238981
9568  0.238981
9600  0.238981
9632  0.238981
9664  0.238981
9696  0.238981
9728  0.238981
9760  0.238981
9792  0.238981
9824  0.238857
9856  0.238857
9888  0.238857
9920  0.238857
9952  0.238857
9984  0.238857
10016  0.238857
10048  0.238829
10080  0.238829
10112  0.238829
10144  0.238829
10176  0.238829
10208  0.238811
10240  0.238811
10272  0.238811
10304  0.238811
10336  0.238811
10368  0.238811
10400  0.238811
10432  0.238811
10464  0.238811
10496  0.238811
10528  0.238811
10560  0.238809
10592  0.238809
10624  0.238809
10656  0.238809
10688  0.238809
10720  0.238809
10752  0.238809
10784  0.238776
10816  0.238776
10848  0.238776
10880  0.238776
10912  0.238776
10944  0.238776
10976  0.238776
11008  0.238776
11040  0.238776
11072  0.238776
11104  0.238776
11136  0.238776
11168  0.238776
11200  0.238776
11232  0.238776
11264  0.238776
11296  0.238776
11328  0.238776
11360  0.238776
11392  0.238776
11424  0.238776
11456  0.238776
11488  0.238776
11520  0.238776
11552  0.238776
11584  0.238776
11616  0.238776
11648  0.238776
11680  0.238776
11712  0.238763
11744  0.238763
11776  0.238763
11808  0.238763
11840  0.238763
11872  0.238763
11904  0.238763
11936  0.238763
11968  0.238763
12000  0.238763
12032  0.238763
12064  0.238763
12096  0.238763
12128  0.238763
12160  0.238763
12192  0.238763
12224  0.238757
12256  0.238757
12288  0.238757
12320  0.238757
12352  0.238757
12384  0.238757
12416  0.238757
12448  0.238757
12480  0.238757
12512  0.238754
12544  0.238754
12576  0.238754
12608  0.238754
12640  0.238754
12672  0.238754
12704  0.238754
12736  0.238709
12768  0.238709
12800  0.238709
12832  0.238695
12864  0.238695
12896  0.238695
12928  0.238695
12960  0.238695
12992  0.238695
13024  0.238695
13056  0.238695
13088  0.238695
13120  0.238695
13152  0.238695
13184  0.238695
13216  0.238695
13248  0.238695
13280  0.238695
13312  0.238695
13344  0.238695
13376  0.238695
13408  0.238695
13440  0.238695
13472  0.238695
13504  0.238658
13536  0.238658
13568  0.238658
13600  0.238596
13632  0.238596
13664  0.238596
13696  0.238596
13728  0.238542
13760  0.238542
13792  0.238542
13824  0.238542
13856  0.238542
13888  0.238542
13920  0.238495
13952  0.238495
13984  0.238495
14016  0.238495
14048  0.238495
14080  0.238495
14112  0.238495
14144  0.238495
14176  0.238495
14208  0.238495
14240  0.238495
14272  0.238495
14304  0.238495
14336  0.238495
14368  0.238495
14400  0.238495
14432  0.238495
14464  0.238495
14496  0.238495
14528  0.238495
14560  0.238495
14592  0.238495
14624  0.238495
14656  0.238495
14688  0.238495
14720  0.238495
14752  0.238495
14784  0.238421
14816  0.238421
14848  0.238421
14880  0.238421
14912  0.238421
14944  0.238421
14976  0.238421
15008  0.238421
15040  0.238421
15072  0.238421
15104  0.238421
15136  0.238421
15168  0.238421
15200  0.238421
15232  0.238421
15264  0.238421
15296  0.238421
15328  0.238421
15360  0.238421
15392  0.238421
15424  0.238421
15456  0.238421
15488  0.238421
15520  0.238378
15552  0.238356
15584  0.238356
15616  0.238356
15648  0.238356
15680  0.238356
15712  0.238356
15744  0.238262
15776  0.238262
15808  0.238262
15840  0.238262
15872  0.238262
15904  0.238262
15936  0.238262
15968  0.238262
16000  0.238262
16032  0.238262
16064  0.238262
16096  0.238262
16128  0.238262
16160  0.238262
16192  0.238262
16224  0.238208
16256  0.238208
16288  0.238208
16320  0.238208
16352  0.238208
16384  0.238208
16416  0.238208
16448  0.238208
16480  0.238208
16512  0.238208
16544  0.238208
16576  0.238208
16608  0.238208
16640  0.238208
16672  0.238208
16704  0.238208
16736  0.238208
16768  0.238208
16800  0.238208
16832  0.238208
16864  0.238208
16896  0.238208
16928  0.238208
16960  0.238208
16992  0.238208
17024  0.238208
17056  0.238162
17088  0.238162
17120  0.238162
17152  0.238162
17184  0.238162
17216  0.238162
17248  0.238162
17280  0.238162
17312  0.238162
17344  0.238162
17376  0.238162
17408  0.238162
17440  0.238162
17472  0.238162
17504  0.238162
17536  0.238162
17568  0.238162
17600  0.238162
17632  0.238162
17664  0.238162
17696  0.238162
17728  0.238162
17760  0.238162
17792  0.238162
17824  0.238162
17856  0.238162
17888  0.238162
17920  0.238162
17952  0.238162
17984  0.238162
18016  0.238162
18048  0.238162
18080  0.238162
18112  0.238162
18144  0.238162
18176  0.238162
18208  0.238162
18240  0.238162
18272  0.238162
18304  0.238162
18336  0.238162
18368  0.238162
18400  0.238162
18432  0.238162
18464  0.238162
18496  0.238162
18528  0.238162
18560  0.238162
18592  0.238162
18624  0.238162
18656  0.238162
18688  0.238162
18720  0.238162
18752  0.238162
18784  0.238162
18816  0.238162
18848  0.238162
18880  0.238154
18912  0.238154
18944  0.238154
18976  0.238154
19008  0.238154
19040  0.238154
19072  0.238154
19104  0.238154
19136  0.238154
19168  0.238154
19200  0.238154
19232  0.238154
19264  0.238154
19296  0.238154
19328  0.238154
19360  0.238154
19392  0.238154
19424  0.238154
19456  0.238154
19488  0.238154
19520  0.238154
19552  0.238154
19584  0.238154
19616  0.238154
19648  0.238154
19680  0.238154
19712  0.238154
19744  0.238154
19776  0.238154
19808  0.238154
19840  0.238154
19872  0.238154
19904  0.238154
19936  0.238154
19968  0.238154
20000  0.238154
20032  0.238154
20064  0.238154
20096  0.238154
20128  0.238154
20160  0.238027
20192  0.238027
20224  0.238027
20256  0.238027
20288  0.238027
20320  0.238027
20352  0.238027
20384  0.238027
20416  0.238027
20448  0.238027
20480  0.238027
20512  0.238027
20544  0.238027
20576  0.238027
20608  0.238027
20640  0.238027
20672  0.238027
20704  0.238027
20736  0.238027
20768  0.238027
20800  0.237949
20832  0.237949
20864  0.237949
20896  0.237817
20928  0.237817
20960  0.237817
20992  0.237817
21024  0.237817
21056  0.237817
21088  0.237817
21120  0.237817
21152  0.237817
21184  0.237817
21216  0.237817
21248  0.237817
21280  0.237817
21312  0.237817
21344  0.237817
21376  0.237817
21408  0.237817
21440  0.237817
21472  0.237817
21504  0.237817
21536  0.237817
21568  0.237817
21600  0.237817
21632  0.237817
21664  0.237817
21696  0.237817
21728  0.237817
21760  0.237817
21792  0.237817
21824  0.237817
21856  0.237817
21888  0.237817
21920  0.237817
21952  0.237817
21984  0.237817
22016  0.237712
22048  0.237712
22080  0.237712
22112  0.237712
22144  0.237712
22176  0.237674
22208  0.237674
22240  0.237674
22272  0.237674
22304  0.237674
22336  0.237674
22368  0.237674
22400  0.237674
22432  0.237674
22464  0.237674
22496  0.237674
22528  0.237674
22560  0.237674
22592  0.237674
22624  0.237674
22656  0.237674
22688  0.237674
22720  0.237674
22752  0.237674
22784  0.237674
22816  0.237638
22848  0.237638
22880  0.237638
22912  0.237638
22944  0.237638
22976  0.237638
23008  0.237638
23040  0.237638
23072  0.237638
23104  0.237638
23136  0.237638
23168  0.237638
23200  0.237638
23232  0.237638
23264  0.237625
23296  0.237625
23328  0.237625
23360  0.237625
23392  0.237625
23424  0.237625
23456  0.237625
23488  0.237625
23520  0.237625
23552  0.237625
23584  0.237625
23616  0.237625
23648  0.237625
23680  0.237625
23712  0.237625
23744  0.237625
23776  0.237625
23808  0.237614
23840  0.237614
23872  0.237614
23904  0.237614
23936  0.237614
23968  0.237614
24000  0.237614
24032  0.237614
24064  0.237614
24096  0.237614
24128  0.237614
24160  0.237614
24192  0.237614
24224  0.237614
24256  0.237614
24288  0.237614
24320  0.237614
24352  0.237614
24384  0.237614
24416  0.237614
24448  0.237614
24480  0.237614
24512  0.237614
24544  0.237614
24576  0.237614
24608  0.237614
24640  0.237614
24672  0.237614
24704  0.237614
24736  0.237614
24768  0.237614
24800  0.237614
24832  0.237507
24864  0.237457
