Step  Penalty
32  0.562524
64  0.544427
96  0.540246
128  0.53409
160  0.530596
192  0.526545
224  0.520244
256  0.501545
288  0.470069
320  0.430414
352  0.400738
384  0.371436
416  0.352089
448  0.331561
480  0.316163
512  0.302944
544  0.291456
576  0.282671
608  0.272924
640  0.266912
672  0.262459
704  0.258384
736  0.254682
768  0.251208
800  0.249168
832  0.24729
864  0.24603
896  0.244801
928  0.244124
960  0.242973
992  0.242466
1024  0.241614
1056  0.241246
1088  0.241114
1120  0.240631
1152  0.240424
1184  0.240017
1216  0.239682
1248  0.239605
1280  0.239458
1312  0.239332
1344  0.239213
1376  0.238976
1408  0.23864
1440  0.23864
1472  0.238601
1504  0.238601
1536  0.238368
1568  0.238324
1600  0.238231
1632  0.238078
1664  0.238006
1696  0.237839
1728  0.237643
1760  0.237541
1792  0.237541
1824  0.237413
1856  0.237411
1888  0.237342
1920  0.237112
1952  0.236918
1984  0.236918
2016  0.236918
2048  0.236918
2080  0.236728
2112  0.236648
2144  0.236648
2176  0.236648
2208  0.236524
2240  0.236524
2272  0.236396
2304  0.2363
2336  0.236279
2368  0.236237
2400  0.236136
2432  0.236135
2464  0.236051
2496  0.236051
2528  0.236046
2560  0.236046
2592  0.236046
2624  0.235855
2656  0.235855
2688  0.235828
2720  0.235828
2752  0.235828
2784  0.235828
2816  0.235828
2848  0.235828
2880  0.235828
2912  0.235828
2944  0.235533
2976  0.235533
3008  0.235533
3040  0.235533
3072  0.235533
3104  0.235514
3136  0.235514
3168  0.235514
3200  0.235409
3232  0.235409
3264  0.235409
3296  0.235409
3328  0.235409
3360  0.235409
3392  0.235409
3424  0.235409
3456  0.235409
3488  0.235409
3520  0.235409
3552  0.235409
3584  0.235388
3616  0.235388
3648  0.235264
3680  0.235209
3712  0.235189
3744  0.235189
3776  0.235189
3808  0.235045
3840  0.235045
3872  0.235045
3904  0.235045
3936  0.235045
3968  0.234801
4000  0.234801
4032  0.234801
4064  0.234801
4096  0.234756
4128  0.234756
4160  0.234656
4192  0.234656
4224  0.234656
4256  0.234656
4288  0.234656
4320  0.234656
4352  0.234656
