Step  Penalty
32  0.530197
64  0.51871
96  0.514536
128  0.511973
160  0.50896
192  0.508145
224  0.507462
256  0.50671
288  0.505239
320  0.505181
352  0.504814
384  0.50391
416  0.50246
448  0.502121
480  0.500933
512  0.500933
544  0.50084
576  0.500374
608  0.500374
640  0.499696
672  0.499696
704  0.49926
736  0.497362
768  0.497138
800  0.497044
832  0.496453
864  0.495873
896  0.49436
928  0.493614
960  0.493614
992  0.493134
1024  0.493134
1056  0.493134
1088  0.492928
1120  0.492928
1152  0.492315
1184  0.492074
1216  0.492074
1248  0.491962
1280  0.491888
1312  0.491751
1344  0.491054
1376  0.491054
1408  0.490945
1440  0.490712
1472  0.490437
1504  0.489457
1536  0.489457
1568  0.489457
1600  0.48943
1632  0.489227
1664  0.489227
1696  0.489227
1728  0.489206
1760  0.489206
1792  0.489206
1824  0.489206
1856  0.488722
1888  0.488722
1920  0.488689
1952  0.488328
1984  0.488328
2016  0.488125
2048  0.48778
2080  0.487181
2112  0.486928
2144  0.486928
2176  0.486928
2208  0.486928
2240  0.486928
2272  0.486928
2304  0.486928
2336  0.486928
2368  0.486928
2400  0.486827
2432  0.486827
2464  0.486827
2496  0.486792
2528  0.486746
2560  0.486443
2592  0.486309
2624  0.486309
2656  0.486309
2688  0.486309
2720  0.486202
2752  0.485984
2784  0.485984
2816  0.485984
2848  0.48583
2880  0.485442
2912  0.485062
2944  0.485062
2976  0.484321
3008  0.484099
3040  0.48396
3072  0.48396
3104  0.48396
3136  0.48396
3168  0.48396
3200  0.48396
3232  0.483958
3264  0.483958
3296  0.483958
3328  0.483958
3360  0.483958
3392  0.483958
3424  0.483889
3456  0.483889
3488  0.483889
3520  0.483889
3552  0.483889
3584  0.483889
3616  0.483889
3648  0.483889
3680  0.483889
3712  0.483889
3744  0.483145
3776  0.483145
3808  0.483145
3840  0.483113
3872  0.482894
3904  0.482894
3936  0.482716
3968  0.482716
4000  0.482716
4032  0.482716
4064  0.482539
4096  0.482539
4128  0.482539
4160  0.482539
4192  0.48223
4224  0.48223
4256  0.48223
4288  0.48223
4320  0.48223
4352  0.48223
4384  0.48223
4416  0.48223
4448  0.48223
4480  0.48223
4512  0.48223
4544  0.482065
4576  0.481665
4608  0.481565
4640  0.481505
4672  0.481505
4704  0.481505
4736  0.481505
4768  0.481505
4800  0.481505
4832  0.481505
4864  0.481324
4896  0.481246
4928  0.481246
4960  0.481246
4992  0.48077
5024  0.48077
5056  0.48077
5088  0.480601
5120  0.480601
5152  0.480601
5184  0.480601
5216  0.480468
5248  0.480468
5280  0.480468
5312  0.480468
5344  0.480468
5376  0.480468
5408  0.480206
5440  0.480206
5472  0.480206
5504  0.479882
5536  0.479864
5568  0.479864
5600  0.479864
5632  0.479683
5664  0.479683
5696  0.479683
5728  0.479683
5760  0.479683
5792  0.479683
5824  0.479508
5856  0.479508
5888  0.479508
5920  0.479508
5952  0.479462
5984  0.479462
6016  0.479462
6048  0.479462
6080  0.479462
6112  0.479044
6144  0.479044
6176  0.479044
6208  0.479044
6240  0.479044
6272  0.479044
6304  0.479044
6336  0.47861
6368  0.47861
6400  0.47861
6432  0.47861
6464  0.47861
6496  0.47861
6528  0.47861
6560  0.478567
6592  0.478567
6624  0.478567
6656  0.478567
6688  0.478567
6720  0.478567
6752  0.478567
