Step  Penalty
32  0.579292
64  0.536952
96  0.531626
128  0.527067
160  0.523755
192  0.520971
224  0.516717
256  0.516512
288  0.513936
320  0.510737
352  0.510032
384  0.509408
416  0.507728
448  0.506665
480  0.506513
512  0.505235
544  0.505235
576  0.505235
608  0.504578
640  0.504391
672  0.503962
704  0.503888
736  0.503888
768  0.503354
800  0.503091
832  0.502948
864  0.502538
896  0.502355
928  0.50173
960  0.501347
992  0.501168
1024  0.501168
1056  0.501168
1088  0.501014
1120  0.501014
1152  0.500959
1184  0.498704
1216  0.498452
1248  0.496924
1280  0.495642
1312  0.495642
1344  0.495477
1376  0.495477
1408  0.495477
1440  0.495461
1472  0.49528
1504  0.49528
1536  0.49528
1568  0.494756
1600  0.494707
1632  0.494707
1664  0.494707
1696  0.494707
1728  0.494654
1760  0.494654
1792  0.494654
1824  0.494654
1856  0.494654
1888  0.493811
1920  0.493811
1952  0.493513
1984  0.493513
2016  0.493513
2048  0.493513
2080  0.493427
2112  0.493427
2144  0.493427
2176  0.493284
2208  0.493109
2240  0.493109
2272  0.493109
2304  0.493109
2336  0.493014
2368  0.492329
2400  0.49207
2432  0.49207
2464  0.49207
2496  0.49207
2528  0.491606
2560  0.491606
2592  0.491606
2624  0.491606
2656  0.491606
2688  0.491606
2720  0.491606
2752  0.491606
2784  0.491346
2816  0.491346
2848  0.49128
2880  0.491084
2912  0.491084
2944  0.491084
2976  0.491084
3008  0.491084
3040  0.491084
3072  0.491084
3104  0.491084
3136  0.491084
3168  0.491084
3200  0.491084
3232  0.491084
3264  0.491084
3296  0.491084
3328  0.491084
3360  0.489997
3392  0.489997
3424  0.489952
3456  0.489952
3488  0.489952
3520  0.489952
3552  0.489952
3584  0.489952
3616  0.489952
3648  0.489952
3680  0.489952
3712  0.489952
3744  0.489952
3776  0.489952
3808  0.489952
3840  0.489952
3872  0.489952
3904  0.489826
3936  0.489826
3968  0.489532
4000  0.489532
4032  0.489369
4064  0.489369
4096  0.48888
4128  0.48888
4160  0.48888
4192  0.48888
4224  0.48888
4256  0.48888
4288  0.48888
4320  0.48888
4352  0.48888
4384  0.48888
4416  0.48888
4448  0.48888
4480  0.48888
4512  0.488716
4544  0.488716
4576  0.488505
4608  0.488505
4640  0.488505
4672  0.488134
4704  0.488134
4736  0.488134
4768  0.488134
4800  0.488134
4832  0.488134
4864  0.488134
4896  0.487647
4928  0.487647
4960  0.487647
4992  0.487485
5024  0.487485
5056  0.487485
5088  0.487485
5120  0.487278
5152  0.487278
5184  0.487278
5216  0.487278
5248  0.487278
5280  0.487278
5312  0.487278
5344  0.487278
5376  0.487098
5408  0.486812
5440  0.486812
5472  0.486812
5504  0.486428
5536  0.486428
5568  0.486428
5600  0.486428
5632  0.486428
5664  0.486428
5696  0.486428
5728  0.486428
5760  0.486428
5792  0.486428
5824  0.486428
5856  0.486428
5888  0.48584
5920  0.48548
5952  0.48548
5984  0.48548
6016  0.48548
6048  0.485376
6080  0.485376
6112  0.485376
6144  0.485359
6176  0.485359
6208  0.485359
6240  0.485359
6272  0.485359
6304  0.485359
6336  0.485359
6368  0.485359
6400  0.485252
6432  0.485252
6464  0.485252
6496  0.485252
6528  0.485252
6560  0.485252
6592  0.485252
6624  0.485119
6656  0.485119
6688  0.485119
6720  0.485119
6752  0.485119
6784  0.485119
6816  0.485119
6848  0.485119
6880  0.485119
6912  0.485119
6944  0.485119
6976  0.485119
7008  0.485119
7040  0.485119
7072  0.485119
7104  0.484865
7136  0.484865
7168  0.484865
7200  0.484819
7232  0.484819
7264  0.484819
7296  0.484819
7328  0.484819
7360  0.484819
7392  0.484819
7424  0.484636
7456  0.484399
7488  0.484399
7520  0.484399
7552  0.484399
7584  0.484399
7616  0.484399
7648  0.484399
7680  0.484399
7712  0.484399
7744  0.484399
7776  0.484399
7808  0.484399
7840  0.484399
7872  0.484399
7904  0.484399
7936  0.484399
7968  0.484109
8000  0.484109
8032  0.484109
8064  0.484109
8096  0.48408
8128  0.48408
8160  0.483926
8192  0.483926
8224  0.483926
8256  0.483926
8288  0.483644
8320  0.483644
8352  0.483644
8384  0.483644
8416  0.483644
8448  0.483644
8480  0.483644
8512  0.483644
8544  0.483644
8576  0.483644
8608  0.483644
8640  0.483644
8672  0.483644
8704  0.483644
8736  0.483644
8768  0.483644
8800  0.483644
8832  0.483644
8864  0.483644
8896  0.483644
8928  0.483644
8960  0.483644
8992  0.483644
9024  0.483625
9056  0.483625
9088  0.483625
9120  0.483625
9152  0.483625
9184  0.483625
9216  0.483625
9248  0.483625
9280  0.483625
9312  0.483625
9344  0.483625
9376  0.483625
9408  0.483334
9440  0.483334
9472  0.483334
9504  0.483334
9536  0.483334
