Step  Penalty
32  0.585577
64  0.550757
96  0.546242
128  0.545493
160  0.541656
192  0.541195
224  0.536942
256  0.534139
288  0.534082
320  0.534082
352  0.530948
384  0.528535
416  0.523377
448  0.514317
480  0.509341
512  0.505264
544  0.500659
576  0.494368
608  0.491518
640  0.484859
672  0.483021
704  0.480181
736  0.476533
768  0.474218
800  0.472114
832  0.47106
864  0.470693
896  0.466714
928  0.464379
960  0.464181
992  0.462362
1024  0.461786
1056  0.460088
1088  0.458482
1120  0.456717
1152  0.454035
1184  0.453592
1216  0.452868
1248  0.452078
1280  0.451796
1312  0.449384
1344  0.448384
1376  0.447078
1408  0.446238
1440  0.444793
1472  0.441933
1504  0.440799
1536  0.439145
1568  0.438726
1600  0.437564
1632  0.436678
1664  0.433734
1696  0.432699
1728  0.432537
1760  0.431926
1792  0.431811
1824  0.431044
1856  0.430531
1888  0.429494
1920  0.427062
1952  0.426607
1984  0.424756
2016  0.424225
2048  0.424144
2080  0.423995
2112  0.42287
2144  0.421644
2176  0.421329
2208  0.420796
2240  0.420229
2272  0.419309
2304  0.418335
2336  0.417366
2368  0.416141
2400  0.414762
2432  0.414381
2464  0.412988
2496  0.412456
2528  0.412011
2560  0.411624
2592  0.410701
2624  0.410307
2656  0.410188
2688  0.409318
2720  0.408387
2752  0.407332
2784  0.405185
2816  0.404436
2848  0.403943
2880  0.403037
2912  0.402353
2944  0.401232
2976  0.400762
3008  0.400442
3040  0.399147
3072  0.398753
3104  0.398323
3136  0.397707
3168  0.397051
3200  0.39615
3232  0.395892
3264  0.395661
3296  0.39553
3328  0.395252
3360  0.394422
3392  0.39388
3424  0.393519
3456  0.39325
3488  0.392806
3520  0.391934
3552  0.391627
3584  0.390768
3616  0.390476
3648  0.390429
3680  0.389814
3712  0.388912
3744  0.38807
3776  0.386777
3808  0.386231
3840  0.38599
3872  0.383989
3904  0.382746
3936  0.382238
3968  0.382168
4000  0.381692
4032  0.381494
4064  0.381275
4096  0.380453
4128  0.378763
4160  0.378269
4192  0.377443
4224  0.377021
4256  0.376986
4288  0.37649
4320  0.375612
4352  0.374278
4384  0.373894
4416  0.373682
4448  0.373428
4480  0.372561
4512  0.372419
4544  0.371409
4576  0.370973
4608  0.370874
4640  0.370632
4672  0.370413
4704  0.370377
4736  0.369671
4768  0.369318
4800  0.368903
4832  0.368903
4864  0.36772
4896  0.367122
4928  0.367122
4960  0.367122
4992  0.367122
5024  0.367122
5056  0.366471
5088  0.365636
5120  0.365636
5152  0.365636
5184  0.365312
5216  0.365201
5248  0.365201
5280  0.365003
5312  0.36446
5344  0.364337
5376  0.364276
5408  0.364105
5440  0.363974
5472  0.363748
5504  0.363235
5536  0.361908
5568  0.361671
5600  0.361558
5632  0.361232
5664  0.360006
5696  0.360006
5728  0.359552
5760  0.358953
5792  0.358796
5824  0.358284
5856  0.357977
5888  0.357913
5920  0.357695
5952  0.357345
5984  0.357232
6016  0.355829
6048  0.355829
6080  0.354699
6112  0.354413
6144  0.354392
6176  0.35389
6208  0.353443
6240  0.35308
6272  0.353037
6304  0.352465
6336  0.351881
6368  0.351355
6400  0.351355
6432  0.351347
6464  0.350969
6496  0.350717
6528  0.350585
6560  0.350287
6592  0.34976
6624  0.349358
6656  0.349134
6688  0.349101
6720  0.348758
6752  0.348263
6784  0.348079
6816  0.347646
6848  0.347328
6880  0.347072
6912  0.346994
6944  0.346337
6976  0.345661
7008  0.345434
7040  0.345161
7072  0.345161
7104  0.344756
7136  0.344429
7168  0.344181
7200  0.343922
7232  0.343714
7264  0.343532
7296  0.342491
7328  0.342104
7360  0.341421
7392  0.34114
7424  0.340774
7456  0.340356
7488  0.34013
7520  0.339291
7552  0.339171
7584  0.339149
7616  0.339134
7648  0.339052
7680  0.338854
7712  0.338854
7744  0.33855
7776  0.33826
7808  0.337643
7840  0.337323
7872  0.336956
7904  0.336821
7936  0.336483
7968  0.33631
8000  0.336003
8032  0.335945
8064  0.335945
8096  0.335945
8128  0.335893
8160  0.335688
8192  0.335197
8224  0.335197
8256  0.33502
8288  0.33493
8320  0.334813
8352  0.333921
8384  0.333472
8416  0.333286
8448  0.333286
8480  0.33305
8512  0.332871
8544  0.332871
8576  0.332398
8608  0.332311
8640  0.331944
8672  0.331766
8704  0.331766
8736  0.331766
8768  0.331402
8800  0.33128
8832  0.33128
8864  0.331097
8896  0.330748
8928  0.330658
8960  0.330413
8992  0.330346
9024  0.330222
9056  0.330222
9088  0.330216
9120  0.330216
9152  0.330027
9184  0.330027
9216  0.330027
9248  0.330027
9280  0.330027
9312  0.330027
9344  0.329763
9376  0.329677
9408  0.329677
9440  0.329599
9472  0.329592
9504  0.32957
9536  0.329356
9568  0.329231
9600  0.329231
9632  0.329204
9664  0.329204
9696  0.329204
9728  0.329204
9760  0.329204
9792  0.329204
9824  0.329005
9856  0.328843
9888  0.328843
9920  0.328467
9952  0.328467
9984  0.328178
10016  0.328178
10048  0.32799
10080  0.327977
10112  0.327977
10144  0.327836
10176  0.327748
10208  0.327582
10240  0.327503
10272  0.327503
10304  0.327503
10336  0.327503
10368  0.327481
10400  0.327421
10432  0.327055
10464  0.326681
10496  0.326284
10528  0.326232
10560  0.326117
10592  0.32603
10624  0.3258
10656  0.325565
10688  0.325358
10720  0.324495
10752  0.324495
10784  0.324495
10816  0.324332
10848  0.323939
10880  0.323864
10912  0.323241
10944  0.323201
10976  0.323181
11008  0.323049
11040  0.323049
11072  0.322966
11104  0.322717
11136  0.322717
11168  0.322506
11200  0.322299
11232  0.322213
11264  0.322182
