Step  Penalty
32  0.533213
64  0.532606
96  0.530919
128  0.530165
160  0.529021
192  0.528226
224  0.527761
256  0.526682
288  0.526011
320  0.523588
352  0.521201
384  0.520209
416  0.518235
448  0.515128
480  0.510173
512  0.505039
544  0.500316
576  0.495439
608  0.490408
640  0.486632
672  0.483573
704  0.479999
736  0.477416
768  0.473524
800  0.471885
832  0.468956
864  0.468055
896  0.466502
928  0.465118
960  0.464344
992  0.463587
1024  0.462186
1056  0.460624
1088  0.459157
1120  0.459089
1152  0.457755
1184  0.456322
1216  0.454515
1248  0.451976
1280  0.450885
1312  0.448768
1344  0.445492
1376  0.44147
1408  0.439062
1440  0.435211
1472  0.432122
1504  0.431013
1536  0.428674
1568  0.426532
1600  0.425635
1632  0.424268
1664  0.42298
1696  0.422359
1728  0.421534
1760  0.420087
1792  0.419478
1824  0.419062
1856  0.419062
1888  0.418538
1920  0.418165
1952  0.417641
1984  0.417169
2016  0.416469
2048  0.416321
2080  0.415761
2112  0.415761
2144  0.414568
2176  0.414429
2208  0.413365
2240  0.412932
2272  0.412739
2304  0.412473
2336  0.412094
2368  0.411894
2400  0.411805
2432  0.411634
2464  0.411393
2496  0.410996
2528  0.410793
2560  0.409685
2592  0.409533
2624  0.408772
2656  0.408468
2688  0.407193
2720  0.406901
2752  0.406488
2784  0.406326
2816  0.40631
2848  0.405136
2880  0.404895
2912  0.404553
2944  0.404071
2976  0.40368
3008  0.403589
3040  0.403392
3072  0.403392
3104  0.403392
3136  0.403038
3168  0.40247
3200  0.40209
3232  0.402003
3264  0.402003
3296  0.401104
3328  0.400313
3360  0.400188
3392  0.400034
3424  0.400034
3456  0.399588
3488  0.398146
3520  0.398146
3552  0.397889
3584  0.397426
3616  0.397426
3648  0.397215
3680  0.396509
3712  0.396509
3744  0.395397
3776  0.395238
3808  0.394407
3840  0.394086
3872  0.393569
3904  0.392496
3936  0.392116
3968  0.391801
4000  0.391275
4032  0.391022
4064  0.390339
4096  0.39013
4128  0.389252
4160  0.38916
4192  0.38895
4224  0.388512
4256  0.388135
4288  0.387687
4320  0.387311
4352  0.386716
4384  0.386127
4416  0.385275
4448  0.384926
4480  0.384893
4512  0.384734
4544  0.384404
4576  0.382992
4608  0.382782
4640  0.382257
4672  0.381966
4704  0.381423
4736  0.380896
4768  0.380613
4800  0.380254
4832  0.379915
4864  0.378945
4896  0.377625
4928  0.377421
4960  0.376903
4992  0.376611
5024  0.375797
5056  0.374938
5088  0.374899
5120  0.373974
5152  0.373518
5184  0.373033
5216  0.372783
5248  0.372552
5280  0.372552
5312  0.371785
5344  0.371196
5376  0.371018
5408  0.370558
5440  0.370516
5472  0.370343
5504  0.370003
5536  0.369609
5568  0.369596
5600  0.369179
5632  0.368802
5664  0.368802
5696  0.368616
5728  0.368295
5760  0.368295
5792  0.367883
5824  0.367229
5856  0.367229
5888  0.366793
5920  0.366793
5952  0.366793
5984  0.366701
6016  0.366701
6048  0.366596
6080  0.366043
6112  0.365919
6144  0.365919
6176  0.365919
6208  0.365916
6240  0.365683
6272  0.365385
6304  0.365328
6336  0.365197
6368  0.365163
6400  0.365134
6432  0.364651
6464  0.364601
6496  0.364601
6528  0.364601
6560  0.364478
6592  0.364205
6624  0.363982
6656  0.363607
6688  0.363607
6720  0.363444
6752  0.363444
6784  0.363234
6816  0.363056
6848  0.36305
6880  0.36292
6912  0.362732
6944  0.362537
6976  0.361733
7008  0.361353
7040  0.361193
7072  0.360876
7104  0.360726
7136  0.360079
7168  0.359922
7200  0.359811
7232  0.359581
7264  0.358909
7296  0.358681
7328  0.358489
7360  0.35812
7392  0.357998
7424  0.357998
7456  0.357694
7488  0.35748
7520  0.35741
7552  0.357096
7584  0.356463
7616  0.355881
7648  0.355524
7680  0.35547
7712  0.355253
7744  0.354616
7776  0.354238
7808  0.35392
7840  0.353732
7872  0.353703
7904  0.353626
7936  0.353525
7968  0.353481
8000  0.352901
8032  0.352453
8064  0.352453
8096  0.352072
8128  0.35163
8160  0.351327
8192  0.351116
8224  0.350777
8256  0.350693
8288  0.350693
8320  0.350475
8352  0.349969
8384  0.349777
8416  0.349596
8448  0.349596
8480  0.349315
8512  0.349192
8544  0.349192
8576  0.349033
8608  0.349
8640  0.348993
8672  0.34892
8704  0.348895
8736  0.348895
8768  0.348788
8800  0.348788
8832  0.348788
8864  0.34871
8896  0.348705
8928  0.348705
8960  0.348588
8992  0.348407
9024  0.348385
9056  0.348156
9088  0.347858
9120  0.347403
9152  0.347403
9184  0.347248
9216  0.346998
9248  0.346901
9280  0.346901
9312  0.346901
9344  0.34604
9376  0.345864
9408  0.345782
9440  0.345651
9472  0.345601
9504  0.345154
9536  0.344967
9568  0.344956
9600  0.344619
9632  0.344245
9664  0.343868
9696  0.343525
9728  0.343416
9760  0.342935
9792  0.342611
9824  0.34229
9856  0.341987
9888  0.341987
9920  0.341289
9952  0.3407
9984  0.340337
10016  0.339859
10048  0.339456
10080  0.339105
10112  0.338967
10144  0.338159
10176  0.338046
10208  0.338001
10240  0.337334
10272  0.336844
10304  0.336216
10336  0.335486
10368  0.335239
10400  0.335222
10432  0.334345
10464  0.33425
10496  0.333498
10528  0.33288
10560  0.332232
10592  0.331839
10624  0.331839
10656  0.331801
10688  0.331632
10720  0.331572
10752  0.331028
10784  0.331009
10816  0.331009
10848  0.330936
10880  0.330398
10912  0.330398
10944  0.330398
10976  0.330215
11008  0.33015
11040  0.33013
11072  0.33013
11104  0.329985
11136  0.3299
11168  0.3299
11200  0.329562
11232  0.32948
11264  0.329223
11296  0.329177
11328  0.329172
11360  0.329169
11392  0.328929
11424  0.328929
11456  0.328881
11488  0.328668
11520  0.328225
11552  0.328142
11584  0.328055
11616  0.327917
11648  0.327917
11680  0.327862
11712  0.327657
11744  0.327657
11776  0.327275
11808  0.327094
11840  0.326939
11872  0.326806
11904  0.326618
11936  0.326578
11968  0.326441
12000  0.326194
12032  0.326074
12064  0.325985
12096  0.32537
12128  0.325115
12160  0.325112
12192  0.32482
12224  0.32482
12256  0.32467
12288  0.32467
12320  0.324643
12352  0.324535
12384  0.32405
12416  0.32367
12448  0.323333
12480  0.323289
12512  0.323081
12544  0.323081
12576  0.323081
12608  0.323059
12640  0.322549
12672  0.32199
12704  0.321981
12736  0.321847
12768  0.321283
12800  0.321222
12832  0.321222
12864  0.321222
12896  0.321023
12928  0.321023
12960  0.320075
12992  0.319871
13024  0.318983
13056  0.31884
13088  0.318575
13120  0.318143
13152  0.317464
13184  0.317432
13216  0.317236
13248  0.317098
13280  0.316866
13312  0.316866
13344  0.316233
13376  0.31576
13408  0.315684
13440  0.315542
