Step  Penalty
10  0.501103
20  0.501103
30  0.489196
40  0.489196
50  0.483475
60  0.483475
70  0.483475
80  0.483475
90  0.467583
100  0.467583
110  0.467583
120  0.467583
130  0.445568
140  0.445568
150  0.445568
160  0.445568
170  0.445568
180  0.445568
190  0.445568
200  0.445568
210  0.444691
220  0.433041
230  0.433041
240  0.433041
250  0.433041
260  0.433041
270  0.426296
280  0.426296
290  0.426296
300  0.426296
310  0.426296
320  0.426296
330  0.426296
340  0.426296
350  0.425281
360  0.420966
370  0.420966
380  0.419657
390  0.415822
400  0.408762
410  0.408762
420  0.404256
430  0.404256
440  0.399456
450  0.391509
460  0.391509
470  0.391509
480  0.391509
490  0.391509
500  0.388589
510  0.388589
520  0.388589
530  0.388589
540  0.388589
550  0.388589
560  0.388589
570  0.384771
580  0.384771
590  0.384771
600  0.384771
610  0.383618
620  0.382609
630  0.382609
640  0.382609
650  0.372935
660  0.372935
670  0.372935
680  0.372935
690  0.369203
700  0.369203
710  0.369203
720  0.359709
730  0.359709
740  0.359709
750  0.359709
760  0.359709
770  0.359709
780  0.359709
790  0.359709
800  0.359709
810  0.359709
820  0.359709
830  0.359709
840  0.359709
850  0.359709
860  0.359709
870  0.359709
880  0.359709
890  0.359709
900  0.359709
910  0.356089
920  0.356089
930  0.356089
940  0.346889
950  0.346889
960  0.346889
970  0.346889
980  0.346889
990  0.346889
1000  0.346889
1010  0.346889
1020  0.346889
1030  0.346889
1040  0.346889
1050  0.346889
1060  0.346889
1070  0.346889
1080  0.346889
1090  0.346889
1100  0.346889
1110  0.346889
1120  0.346889
1130  0.346889
1140  0.346889
1150  0.346889
1160  0.346889
1170  0.346889
1180  0.346889
1190  0.346889
1200  0.346889
1210  0.346889
1220  0.346889
1230  0.346889
1240  0.346889
1250  0.346889
1260  0.346889
1270  0.346889
1280  0.343332
1290  0.341022
1300  0.341022
1310  0.341022
1320  0.341022
1330  0.341022
1340  0.341022
1350  0.341022
1360  0.341022
1370  0.341022
1380  0.341022
1390  0.336532
1400  0.336532
1410  0.336532
1420  0.336532
1430  0.336532
1440  0.336532
1450  0.336532
1460  0.336532
1470  0.336532
1480  0.336532
1490  0.336532
1500  0.336532
1510  0.336532
1520  0.335943
1530  0.335943
1540  0.335943
1550  0.335943
1560  0.335943
1570  0.335943
1580  0.335943
1590  0.335943
1600  0.335943
1610  0.335943
1620  0.335943
1630  0.335943
1640  0.335943
1650  0.335943
1660  0.335943
1670  0.335943
1680  0.335943
1690  0.335943
1700  0.335943
1710  0.335943
1720  0.335943
1730  0.335943
1740  0.335943
1750  0.335943
1760  0.335943
1770  0.335943
1780  0.335943
1790  0.335943
1800  0.335943
1810  0.335943
1820  0.335943
1830  0.335943
1840  0.335943
1850  0.324825
1860  0.324825
1870  0.324825
1880  0.324825
1890  0.324825
1900  0.324825
1910  0.324825
1920  0.324825
1930  0.324825
1940  0.324825
1950  0.324825
1960  0.324825
1970  0.324825
1980  0.324825
1990  0.324825
2000  0.324825
2010  0.324825
2020  0.324825
2030  0.320315
2040  0.320315
2050  0.320315
2060  0.320315
2070  0.320315
2080  0.320315
2090  0.320315
2100  0.320315
2110  0.320315
2120  0.320315
2130  0.320315
2140  0.320315
2150  0.320315
2160  0.320315
2170  0.320315
2180  0.320315
2190  0.320315
2200  0.320315
2210  0.320315
2220  0.320315
2230  0.320315
2240  0.320315
2250  0.320315
2260  0.320315
2270  0.320315
2280  0.320315
2290  0.320315
2300  0.320315
2310  0.320315
2320  0.320315
2330  0.320315
2340  0.320315
2350  0.320315
2360  0.320315
2370  0.320315
2380  0.320315
2390  0.320315
2400  0.320315
2410  0.320315
2420  0.320315
2430  0.320315
2440  0.320315
2450  0.320315
2460  0.320315
2470  0.320315
2480  0.320315
2490  0.320315
2500  0.320315
2510  0.320315
2520  0.320315
2530  0.320315
2540  0.320315
2550  0.320315
2560  0.320315
2570  0.320315
2580  0.320315
2590  0.320315
2600  0.320315
2610  0.320315
2620  0.320315
2630  0.320315
2640  0.320315
2650  0.320315
2660  0.320315
2670  0.320315
2680  0.320315
2690  0.320315
2700  0.320315
2710  0.320315
2720  0.320315
2730  0.320315
2740  0.320315
2750  0.320315
2760  0.320315
2770  0.320315
2780  0.320315
2790  0.320315
2800  0.320315
2810  0.320315
2820  0.320315
2830  0.320315
2840  0.320315
2850  0.320315
2860  0.320315
2870  0.320315
2880  0.320315
2890  0.320315
2900  0.320315
2910  0.320315
2920  0.320315
2930  0.320315
2940  0.320315
2950  0.320315
2960  0.320315
2970  0.320315
2980  0.320315
2990  0.320315
3000  0.320315
3010  0.320315
3020  0.320315
3030  0.320315
3040  0.320315
3050  0.320315
3060  0.320315
3070  0.320315
3080  0.320315
3090  0.320315
3100  0.320315
3110  0.320315
3120  0.320315
3130  0.320315
3140  0.320315
3150  0.320315
3160  0.320315
3170  0.320315
3180  0.320315
3190  0.320315
3200  0.320315
3210  0.320315
3220  0.320315
3230  0.320315
3240  0.320315
3250  0.320315
3260  0.320315
3270  0.320315
3280  0.320315
3290  0.320315
3300  0.320315
3310  0.320315
3320  0.320315
3330  0.320315
3340  0.320315
3350  0.320315
3360  0.320315
3370  0.320315
3380  0.320315
3390  0.318905
3400  0.318905
3410  0.318905
3420  0.318905
3430  0.318905
3440  0.318905
3450  0.318905
3460  0.318905
3470  0.318905
3480  0.318647
3490  0.318647
3500  0.318647
3510  0.318647
3520  0.318647
3530  0.318647
3540  0.318647
3550  0.318647
3560  0.318647
3570  0.318647
3580  0.312232
3590  0.312232
3600  0.312232
3610  0.312232
3620  0.312232
3630  0.312232
3640  0.312232
3650  0.312232
3660  0.312232
3670  0.312232
3680  0.312232
3690  0.312232
3700  0.312232
3710  0.312232
3720  0.312232
3730  0.312232
3740  0.312232
3750  0.312232
3760  0.312232
3770  0.312232
3780  0.312232
3790  0.312232
3800  0.312232
3810  0.312232
3820  0.312232
3830  0.312232
3840  0.312232
3850  0.312232
3860  0.312232
3870  0.312232
3880  0.312232
3890  0.312232
3900  0.312232
3910  0.312232
3920  0.312232
3930  0.312232
3940  0.312232
3950  0.312232
3960  0.312232
3970  0.312232
3980  0.312232
3990  0.312232
4000  0.312232
4010  0.312232
4020  0.312232
4030  0.312232
4040  0.312232
4050  0.312232
4060  0.312232
4070  0.312232
4080  0.312232
4090  0.312232
4100  0.312232
4110  0.312232
4120  0.312232
4130  0.308289
4140  0.308289
4150  0.308289
4160  0.308289
4170  0.308289
4180  0.308289
4190  0.308289
4200  0.308289
4210  0.308289
4220  0.308289
4230  0.308289
4240  0.308289
4250  0.308289
4260  0.308289
4270  0.308289
4280  0.308289
4290  0.308289
4300  0.308289
4310  0.308289
4320  0.308289
4330  0.308289
4340  0.308289
4350  0.308289
4360  0.308289
4370  0.308289
4380  0.308289
4390  0.308289
4400  0.308289
4410  0.308289
4420  0.308289
4430  0.308289
4440  0.308289
4450  0.308289
4460  0.308289
4470  0.308289
4480  0.308289
4490  0.308289
4500  0.308289
4510  0.308289
4520  0.308289
4530  0.308289
4540  0.308289
4550  0.308289
4560  0.308289
4570  0.308289
4580  0.308289
4590  0.308289
4600  0.308289
4610  0.308289
4620  0.308289
4630  0.308289
4640  0.308289
4650  0.308289
4660  0.308289
4670  0.307184
4680  0.307184
4690  0.307184
4700  0.307184
4710  0.307184
4720  0.307184
4730  0.307184
4740  0.307184
4750  0.307184
4760  0.307184
4770  0.307184
4780  0.307184
4790  0.307184
4800  0.307184
4810  0.307184
4820  0.307184
4830  0.307184
4840  0.307184
4850  0.307184
