Step  Penalty
10  0.512634
20  0.512439
30  0.49689
40  0.49689
50  0.48347
60  0.460534
70  0.447692
80  0.430862
90  0.416232
100  0.408562
110  0.389368
120  0.384385
130  0.370204
140  0.369699
150  0.345466
160  0.342379
170  0.33706
180  0.324802
190  0.322361
200  0.313617
210  0.312725
220  0.295895
230  0.295895
240  0.293819
250  0.293819
260  0.287602
270  0.286493
280  0.28049
290  0.28049
300  0.277424
310  0.274293
320  0.269407
330  0.269407
340  0.269407
350  0.269243
360  0.263197
370  0.260154
380  0.254442
390  0.253294
400  0.246042
410  0.246042
420  0.241631
430  0.241631
440  0.235044
450  0.235044
460  0.235044
470  0.235044
480  0.235044
490  0.235044
500  0.235044
510  0.235035
520  0.232932
530  0.232932
540  0.232932
550  0.232932
560  0.232932
570  0.230522
580  0.230522
590  0.230522
600  0.227705
610  0.227705
620  0.227497
630  0.222683
640  0.222683
650  0.222683
660  0.222683
670  0.221595
680  0.221595
690  0.220104
700  0.220104
710  0.220104
720  0.220104
730  0.219857
740  0.217726
750  0.217726
760  0.217726
770  0.217726
780  0.217726
790  0.217726
800  0.217329
810  0.217329
820  0.217329
830  0.217329
840  0.216137
850  0.216137
860  0.216137
870  0.216137
880  0.214966
890  0.214966
900  0.214966
910  0.214966
920  0.214443
930  0.214443
940  0.213557
950  0.211836
960  0.211836
970  0.211836
980  0.211836
990  0.211836
1000  0.211836
1010  0.211836
1020  0.211836
1030  0.211836
1040  0.211836
1050  0.211836
1060  0.210102
1070  0.210102
1080  0.210102
1090  0.20764
1100  0.20764
1110  0.20764
1120  0.20764
1130  0.20764
1140  0.207282
1150  0.207282
1160  0.205227
1170  0.205227
1180  0.205227
1190  0.1979
1200  0.1979
1210  0.1979
1220  0.1979
1230  0.1979
1240  0.1979
1250  0.1979
1260  0.1979
1270  0.1979
1280  0.1979
1290  0.1979
1300  0.1979
1310  0.1979
1320  0.1979
1330  0.1979
1340  0.1979
1350  0.1979
1360  0.1979
1370  0.197514
1380  0.197514
1390  0.197514
1400  0.197514
1410  0.197514
1420  0.197514
1430  0.197514
1440  0.197514
1450  0.197514
1460  0.197514
1470  0.197514
1480  0.197514
1490  0.197408
1500  0.197408
1510  0.195436
1520  0.195436
1530  0.195436
1540  0.194789
1550  0.194789
1560  0.194789
1570  0.194789
1580  0.194789
1590  0.194789
1600  0.194789
1610  0.194789
1620  0.194789
1630  0.193994
1640  0.193994
1650  0.193994
1660  0.193994
1670  0.193994
1680  0.193994
1690  0.193994
1700  0.193994
1710  0.193994
1720  0.193994
1730  0.193994
1740  0.193994
1750  0.193994
1760  0.193715
1770  0.193715
1780  0.193715
1790  0.193715
1800  0.193715
1810  0.193715
1820  0.193715
1830  0.193715
1840  0.193715
1850  0.193715
1860  0.193715
1870  0.193715
1880  0.193715
1890  0.193715
1900  0.193715
1910  0.193715
1920  0.193715
1930  0.193715
1940  0.193715
1950  0.193715
1960  0.193715
1970  0.193715
1980  0.193715
1990  0.193715
2000  0.193715
2010  0.193715
2020  0.193715
2030  0.193715
2040  0.193715
2050  0.193715
2060  0.193715
2070  0.193715
2080  0.193715
2090  0.19322
2100  0.19322
2110  0.19322
2120  0.19322
2130  0.19322
2140  0.19322
2150  0.19322
2160  0.19322
2170  0.19322
2180  0.19322
2190  0.19322
2200  0.19322
2210  0.19322
2220  0.19322
2230  0.19322
2240  0.19322
2250  0.19322
2260  0.19322
2270  0.191528
2280  0.191528
2290  0.191528
2300  0.191528
2310  0.191528
2320  0.191528
2330  0.191528
2340  0.191528
2350  0.191528
2360  0.191528
2370  0.191528
2380  0.191528
2390  0.191528
2400  0.191528
2410  0.191528
2420  0.191528
2430  0.191528
2440  0.191528
2450  0.191528
2460  0.191528
2470  0.191528
2480  0.191528
2490  0.191528
2500  0.191528
2510  0.191528
2520  0.191528
2530  0.191528
2540  0.191298
2550  0.191038
2560  0.191038
2570  0.191038
2580  0.191038
2590  0.191038
2600  0.191038
2610  0.191038
2620  0.191038
2630  0.191038
2640  0.191038
2650  0.191038
2660  0.191038
2670  0.191038
2680  0.191038
2690  0.191038
2700  0.191038
2710  0.191038
2720  0.191038
2730  0.191038
2740  0.191038
2750  0.191038
2760  0.191038
2770  0.191038
2780  0.191038
2790  0.191038
2800  0.191038
2810  0.191038
2820  0.191038
2830  0.191038
2840  0.191038
2850  0.191038
2860  0.191038
2870  0.191038
2880  0.191038
2890  0.191038
2900  0.191038
2910  0.191038
2920  0.191038
2930  0.191038
2940  0.191038
2950  0.191038
2960  0.191038
2970  0.191038
2980  0.191038
2990  0.191038
3000  0.191038
3010  0.191038
3020  0.191038
3030  0.191038
3040  0.191038
3050  0.191038
3060  0.191038
3070  0.191038
3080  0.191038
3090  0.191038
3100  0.191038
3110  0.191038
3120  0.191038
3130  0.191038
3140  0.191038
3150  0.191038
3160  0.191038
3170  0.191038
3180  0.191038
3190  0.191038
3200  0.191038
3210  0.191038
3220  0.191038
3230  0.191038
3240  0.191038
3250  0.191038
3260  0.191038
3270  0.191038
3280  0.191038
3290  0.191038
3300  0.191038
3310  0.191038
3320  0.191038
3330  0.191038
3340  0.191038
3350  0.191038
3360  0.191038
3370  0.191038
3380  0.191038
3390  0.191038
3400  0.191038
3410  0.191038
3420  0.191038
3430  0.191038
3440  0.191038
3450  0.191038
3460  0.191038
3470  0.191038
3480  0.189841
3490  0.189841
3500  0.189841
3510  0.189841
3520  0.189841
3530  0.189841
3540  0.189841
3550  0.189841
3560  0.189841
3570  0.189841
3580  0.189841
3590  0.189841
3600  0.189841
3610  0.189841
3620  0.189841
3630  0.189841
3640  0.189841
3650  0.189841
3660  0.189841
3670  0.189841
3680  0.189841
3690  0.189841
3700  0.189841
3710  0.189841
3720  0.189841
3730  0.189841
3740  0.189841
3750  0.189841
3760  0.189841
3770  0.189841
3780  0.189841
3790  0.189841
3800  0.189841
3810  0.189841
3820  0.189841
3830  0.189841
3840  0.189841
3850  0.189841
3860  0.189841
3870  0.189841
3880  0.189841
3890  0.189841
3900  0.189841
3910  0.189841
3920  0.189841
3930  0.189841
3940  0.189841
3950  0.189841
3960  0.189841
3970  0.189841
3980  0.189841
3990  0.189841
4000  0.189841
4010  0.189841
4020  0.189841
4030  0.189841
4040  0.189841
4050  0.189841
4060  0.189841
4070  0.189841
4080  0.189841
4090  0.189841
4100  0.189841
4110  0.189841
4120  0.189841
4130  0.189841
4140  0.189841
4150  0.189841
4160  0.189841
4170  0.189841
4180  0.189841
