Step  Penalty
50  0.527551
100  0.5112
150  0.497716
200  0.48487
250  0.468013
300  0.445303
350  0.424089
400  0.402672
450  0.379211
500  0.358836
550  0.34268
600  0.331222
650  0.319492
700  0.307731
750  0.296614
800  0.286221
850  0.278729
900  0.272105
950  0.266441
1000  0.259824
1050  0.254378
1100  0.250098
1150  0.246026
1200  0.241996
1250  0.239505
1300  0.236706
1350  0.234462
1400  0.232278
1450  0.230085
1500  0.22797
1550  0.226719
1600  0.225321
1650  0.224008
1700  0.222588
1750  0.222012
1800  0.221158
1850  0.220354
1900  0.219905
1950  0.219546
2000  0.218723
2050  0.218402
2100  0.217935
2150  0.217196
2200  0.216505
2250  0.216117
2300  0.215853
2350  0.215538
2400  0.215105
2450  0.214757
2500  0.214645
2550  0.214147
2600  0.213973
2650  0.213881
2700  0.213872
2750  0.213716
2800  0.213476
2850  0.213368
2900  0.213251
2950  0.213119
3000  0.213037
3050  0.212872
3100  0.212867
3150  0.212596
3200  0.212427
3250  0.212117
3300  0.212054
3350  0.211819
3400  0.211812
3450  0.2118
3500  0.211704
3550  0.211594
3600  0.211569
3650  0.211421
3700  0.211384
3750  0.211345
3800  0.211345
3850  0.211246
3900  0.211154
3950  0.211139
4000  0.211021
4050  0.210995
4100  0.210885
4150  0.21085
4200  0.210717
4250  0.210603
4300  0.210563
4350  0.210512
4400  0.210462
4450  0.210462
4500  0.210412
4550  0.210312
4600  0.210294
4650  0.210282
4700  0.210263
4750  0.210263
4800  0.210152
4850  0.210056
4900  0.209983
4950  0.209983
5000  0.209983
5050  0.209961
5100  0.209923
5150  0.209862
5200  0.209862
5250  0.209847
5300  0.209787
5350  0.209787
5400  0.209787
5450  0.20974
5500  0.20974
5550  0.20974
5600  0.20974
5650  0.20974
5700  0.209739
5750  0.209739
5800  0.209739
5850  0.209735
5900  0.209735
5950  0.209685
6000  0.209685
6050  0.209685
6100  0.209685
6150  0.20965
6200  0.209631
6250  0.209631
6300  0.209631
6350  0.209631
6400  0.209631
6450  0.209622
6500  0.209584
6550  0.209584
6600  0.209584
6650  0.209581
6700  0.20955
6750  0.20955
6800  0.209502
6850  0.209502
6900  0.209481
6950  0.209481
7000  0.209481
7050  0.209464
7100  0.209464
7150  0.209464
7200  0.209424
7250  0.209392
7300  0.209392
7350  0.209357
7400  0.209357
7450  0.209357
7500  0.209277
7550  0.209277
7600  0.209257
7650  0.209255
7700  0.209234
7750  0.209225
7800  0.209203
7850  0.209203
7900  0.209194
7950  0.209194
8000  0.209161
8050  0.209161
8100  0.209161
8150  0.209081
8200  0.209081
8250  0.209061
8300  0.209043
8350  0.209043
8400  0.209043
8450  0.209043
8500  0.208918
8550  0.208878
8600  0.208878
8650  0.208878
8700  0.208863
8750  0.208839
8800  0.208839
8850  0.208819
8900  0.208819
8950  0.208817
9000  0.208817
9050  0.208817
9100  0.208817
9150  0.208778
9200  0.208759
9250  0.208755
9300  0.20873
9350  0.20873
9400  0.208674
9450  0.208674
9500  0.208674
9550  0.20865
9600  0.20865
9650  0.208648
9700  0.20864
9750  0.20864
9800  0.20864
9850  0.208623
9900  0.208623
9950  0.20862
10000  0.208611
10050  0.208611
10100  0.208611
10150  0.208611
10200  0.208565
10250  0.208565
10300  0.208565
10350  0.208565
10400  0.208543
10450  0.208543
10500  0.208515
10550  0.208515
10600  0.208513
10650  0.208513
10700  0.208513
10750  0.208513
10800  0.208513
10850  0.2085
10900  0.2085
10950  0.2085
11000  0.208481
11050  0.208469
11100  0.208469
11150  0.20845
11200  0.20845
11250  0.20845
11300  0.20845
11350  0.20845
11400  0.20845
11450  0.20845
11500  0.208451
11550  0.208451
