Step  Penalty
50  0.569029
100  0.523844
150  0.512911
200  0.504209
250  0.490412
300  0.474344
350  0.454041
400  0.435891
450  0.411042
500  0.390716
550  0.372891
600  0.353918
650  0.337891
700  0.325599
750  0.313173
800  0.29971
850  0.289545
900  0.283277
950  0.277347
1000  0.271025
1050  0.266485
1100  0.261044
1150  0.256144
1200  0.252319
1250  0.250001
1300  0.247724
1350  0.245277
1400  0.24231
1450  0.240067
1500  0.237474
1550  0.235734
1600  0.234373
1650  0.232901
1700  0.231567
1750  0.230338
1800  0.2294
1850  0.228493
1900  0.227766
1950  0.226663
2000  0.225811
2050  0.225179
2100  0.224659
2150  0.224192
2200  0.22398
2250  0.22363
2300  0.223268
2350  0.223007
2400  0.222786
2450  0.222524
2500  0.222198
2550  0.222065
2600  0.221846
2650  0.221366
2700  0.221129
2750  0.220813
2800  0.220562
2850  0.220488
2900  0.220122
2950  0.219997
3000  0.219694
3050  0.219406
3100  0.219343
3150  0.219258
3200  0.219001
3250  0.219199
3300  0.218848
3350  0.218789
3400  0.218704
3450  0.218704
3500  0.218655
3550  0.218489
3600  0.21826
3650  0.218061
3700  0.21831
3750  0.218061
3800  0.217933
3850  0.217933
3900  0.217933
3950  0.217851
4000  0.217805
4050  0.217745
4100  0.217709
4150  0.217475
4200  0.217425
4250  0.217368
4300  0.217196
4350  0.217176
4400  0.217176
4450  0.217176
4500  0.217176
4550  0.217103
4600  0.217103
4650  0.217184
4700  0.217103
4750  0.21693
4800  0.216871
4850  0.216871
4900  0.216759
4950  0.216759
5000  0.216759
5050  0.216759
5100  0.216759
5150  0.216745
5200  0.216745
5250  0.216745
5300  0.216572
5350  0.216777
5400  0.21662
5450  0.216516
5500  0.216485
5550  0.21644
5600  0.21644
5650  0.216429
5700  0.216429
5750  0.216429
5800  0.216429
5850  0.216388
5900  0.216255
5950  0.216193
6000  0.216432
6050  0.216193
6100  0.216193
6150  0.216185
6200  0.216185
6250  0.216185
6300  0.216185
6350  0.216117
6400  0.216117
6450  0.216117
6500  0.216117
6550  0.216117
6600  0.216117
6650  0.21612
6700  0.21612
6750  0.216124
6800  0.216124
6850  0.21603
6900  0.21602
6950  0.215978
7000  0.215978
7050  0.215978
7100  0.215978
7150  0.215941
7200  0.215879
7250  0.215879
7300  0.215734
7350  0.215723
7400  0.215723
7450  0.215582
7500  0.215582
7550  0.215546
7600  0.215574
7650  0.215529
7700  0.215502
7750  0.215449
7800  0.215449
7850  0.215462
7900  0.215694
7950  0.215773
8000  0.215624
8050  0.215624
8100  0.215624
8150  0.215624
8200  0.215306
8250  0.215306
8300  0.215132
8350  0.215132
8400  0.215091
8450  0.215091
8500  0.215091
8550  0.215061
8600  0.215049
8650  0.215049
8700  0.214872
8750  0.214872
8800  0.214818
8850  0.214818
8900  0.214772
8950  0.214772
9000  0.214761
9050  0.214734
9100  0.214734
9150  0.214659
9200  0.214743
9250  0.214725
9300  0.214725
9350  0.214725
9400  0.214659
9450  0.214659
9500  0.214637
9550  0.214637
9600  0.214637
9650  0.214637
9700  0.214613
9750  0.214598
9800  0.214593
9850  0.214593
9900  0.214593
9950  0.214593
10000  0.214777
10050  0.214719
10100  0.214499
10150  0.214499
10200  0.214496
10250  0.214496
10300  0.214496
10350  0.214496
10400  0.214496
10450  0.214496
10500  0.214404
10550  0.214263
10600  0.214263
10650  0.214256
10700  0.214385
10750  0.214385
10800  0.214207
10850  0.214207
10900  0.214207
10950  0.214207
11000  0.214146
11050  0.214079
11100  0.214061
11150  0.214061
11200  0.214061
11250  0.213992
11300  0.213985
11350  0.213966
11400  0.213966
11450  0.213966
11500  0.213966
11550  0.213966
11600  0.213966
11650  0.213966
11700  0.213966
11750  0.213916
11800  0.213912
11850  0.213912
11900  0.213801
11950  0.2138
12000  0.2138
12050  0.2138
12100  0.2138
12150  0.21376
12200  0.21376
12250  0.213674
12300  0.213753
12350  0.213674
12400  0.213753
12450  0.213686
12500  0.213686
12550  0.213686
12600  0.21373
12650  0.213686
12700  0.213572
12750  0.213572
12800  0.213572
12850  0.213572
12900  0.213543
12950  0.213543
13000  0.213738
13050  0.214261
13100  0.213527
13150  0.213505
13200  0.21337
13250  0.21337
13300  0.21337
13350  0.213286
13400  0.213269
13450  0.213269
13500  0.213269
13550  0.213269
13600  0.213269
13650  0.213177
13700  0.213113
13750  0.213071
13800  0.213084
13850  0.213106
13900  0.213071
13950  0.21316
14000  0.213072
14050  0.213042
14100  0.213042
14150  0.21308
14200  0.213042
14250  0.213409
14300  0.212928
14350  0.212928
14400  0.213047
14450  0.212916
14500  0.212848
14550  0.212848
14600  0.212848
14650  0.212848
14700  0.212848
14750  0.212848
14800  0.212803
14850  0.212789
14900  0.212789
14950  0.212789
15000  0.212667
15050  0.212667
15100  0.212785
15150  0.212731
15200  0.212632
15250  0.212632
15300  0.212582
15350  0.212577
15400  0.212577
15450  0.212489
15500  0.212462
15550  0.212462
15600  0.212462
15650  0.212462
15700  0.212423
15750  0.212351
15800  0.212213
15850  0.212598
15900  0.212194
15950  0.212119
16000  0.212101
16050  0.212067
16100  0.21194
16150  0.212037
16200  0.211833
16250  0.212034
16300  0.211892
16350  0.211679
16400  0.211975
16450  0.211679
16500  0.211679
16550  0.211679
16600  0.211679
16650  0.211882
16700  0.211639
16750  0.211537
16800  0.212883
16850  0.211482
16900  0.211476
16950  0.211688
17000  0.211503
17050  0.211435
17100  0.211326
17150  0.211285
17200  0.211239
17250  0.211239
17300  0.21151
17350  0.211085
17400  0.211
17450  0.21082
17500  0.21082
17550  0.21087
17600  0.210728
17650  0.210665
17700  0.210665
17750  0.210541
