Size(A)  Probability_real    Probability_expected
0.0125  0  8.34836e-33
0.0375  0  2.35732e-18
0.0625  0  4.30835e-13
0.0875  0  3.93431e-10
0.1125  0  3.50175e-08
0.1375  0  8.7114e-07
0.1625  0  9.84398e-06
0.1875  0  6.55512e-05
0.2125  0  0.000300094
0.2375  0  0.00104173
0.2625  0  0.00292835
0.2875  0  0.00697934
0.3125  0.04  0.0145803
0.3375  0.08  0.0273655
0.3625  0  0.0470213
0.3875  0.12  0.0750529
0.4125  0.32  0.112569
0.4375  0.64  0.160123
0.4625  0.6  0.217625
0.4875  1.04  0.284348
0.5125  0.88  0.358989
0.5375  1.08  0.439791
0.5625  1.24  0.524688
0.5875  1.36  0.611456
0.6125  1.2  0.697861
0.6375  1.76  0.781778
0.6625  1.6  0.861291
0.6875  1.44  0.934761
0.7125  1.16  1.00086
0.7375  0.92  1.0586
0.7625  1.2  1.10732
0.7875  1.08  1.14664
0.8125  0.88  1.1765
0.8375  0.8  1.19705
0.8625  1  1.20864
0.8875  0.64  1.21178
0.9125  0.52  1.20711
0.9375  0.76  1.19533
0.9625  0.44  1.1772
0.9875  0.68  1.15352
1.0125  0.64  1.12505
1.0375  0.24  1.09258
1.0625  0.8  1.05681
1.0875  0.56  1.01845
1.1125  0.68  0.978126
1.1375  0.44  0.936416
1.1625  0.44  0.89384
1.1875  0.56  0.85086
1.2125  0.64  0.807881
1.2375  0.4  0.765251
1.2625  0.4  0.723267
1.2875  0.32  0.682177
1.3125  0.72  0.642185
1.3375  0.64  0.603454
1.3625  0.52  0.56611
1.3875  0.4  0.530248
1.4125  0.64  0.495934
1.4375  0.32  0.46321
1.4625  0.28  0.432096
1.4875  0.44  0.402593
1.5125  0.44  0.374689
1.5375  0.4  0.348359
1.5625  0.48  0.323566
1.5875  0.64  0.300267
1.6125  0.36  0.278412
1.6375  0.2  0.257944
1.6625  0.52  0.238807
1.6875  0.28  0.220939
1.7125  0.16  0.204278
1.7375  0.2  0.188762
1.7625  0.28  0.174328
1.7875  0.2  0.160916
1.8125  0.16  0.148466
1.8375  0.16  0.136918
1.8625  0.2  0.126218
1.8875  0.04  0.11631
1.9125  0.16  0.107142
1.9375  0.12  0.0986658
1.9625  0.12  0.0908333
1.9875  0.08  0.0836
2.0125  0.12  0.0769238
2.0375  0.2  0.0707649
2.0625  0.08  0.0650858
2.0875  0.08  0.0598514
2.1125  0  0.0550289
2.1375  0.08  0.0505874
2.1625  0  0.0464983
2.1875  0.08  0.0427348
2.2125  0.04  0.0392719
2.2375  0.12  0.0360865
2.2625  0.12  0.033157
2.2875  0  0.0304635
2.3125  0.04  0.0279874
2.3375  0  0.0257116
2.3625  0.12  0.0236203
2.3875  0.04  0.0216987
2.4125  0.08  0.0199333
2.4375  0  0.0183116
2.4625  0  0.016822
2.4875  0  0.0154539
2.5125  0  0.0141974
2.5375  0.04  0.0130436
2.5625  0  0.011984
2.5875  0  0.0110111
2.6125  0  0.0101177
2.6375  0  0.00929739
2.6625  0  0.00854415
2.6875  0  0.00785251
2.7125  0  0.00721743
2.7375  0  0.00663426
2.7625  0  0.00609875
2.7875  0  0.00560699
2.8125  0  0.00515538
2.8375  0  0.00474062
2.8625  0  0.00435969
2.8875  0  0.0040098
2.9125  0  0.0036884
2.9375  0  0.00339316
2.9625  0  0.00312192
2.9875  0  0.00287271
3.0125  0  0.00264372
3.0375  0  0.00243329
3.0625  0  0.0022399
3.0875  0  0.00206215
3.1125  0  0.00189876
3.1375  0  0.00174855
3.1625  0  0.00161045
3.1875  0  0.00148347
3.2125  0  0.00136668
3.2375  0  0.00125928
3.2625  0  0.00116048
3.2875  0  0.00106959
3.3125  0  0.000985962
3.3375  0  0.000909009
3.3625  0  0.000838188
3.3875  0  0.000773002
3.4125  0  0.000712994
3.4375  0  0.000657745
3.4625  0  0.000606871
3.4875  0  0.000560019
3.5125  0  0.000516864
3.5375  0  0.00047711
3.5625  0  0.000440482
3.5875  0  0.000406731
3.6125  0  0.000375625
3.6375  0  0.000346954
3.6625  0  0.000320522
3.6875  0  0.000296151
3.7125  0  0.000273677
3.7375  0  0.000252949
3.7625  0  0.000233829
3.7875  0  0.000216189
3.8125  0  0.000199912
3.8375  0  0.00018489
3.8625  0  0.000171025
3.8875  0  0.000158225
3.9125  0  0.000146407
3.9375  0  0.000135494
3.9625  0  0.000125414
3.9875  0  0.000116103
4.0125  0  0.000107501
4.0375  0  9.95522e-05
4.0625  0  9.22062e-05
4.0875  0  8.54161e-05
4.1125  0  7.91388e-05
4.1375  0  7.33348e-05
4.1625  0  6.79674e-05
4.1875  0  6.3003e-05
4.2125  0  5.84106e-05
4.2375  0  5.41617e-05
4.2625  0  5.023e-05
4.2875  0  4.65911e-05
4.3125  0  4.32229e-05
4.3375  0  4.01045e-05
4.3625  0  3.72171e-05
4.3875  0  3.4543e-05
4.4125  0  3.20663e-05
4.4375  0  2.97718e-05
4.4625  0  2.76459e-05
4.4875  0  2.56759e-05
4.5125  0  2.385e-05
4.5375  0  2.21575e-05
4.5625  0  2.05883e-05
4.5875  0  1.91332e-05
4.6125  0  1.77838e-05
4.6375  0  1.65321e-05
4.6625  0  1.53709e-05
4.6875  0  1.42935e-05
4.7125  0  1.32937e-05
4.7375  0  1.23657e-05
4.7625  0  1.15043e-05
4.7875  0  1.07045e-05
4.8125  0  9.96184e-06
4.8375  0  9.27213e-06
4.8625  0  8.63149e-06
4.8875  0  8.03633e-06
4.9125  0  7.48335e-06
4.9375  0  6.96947e-06
4.9625  0  6.49185e-06
4.9875  0  6.04787e-06
