Step  Penalty
50  0.534776
100  0.513569
150  0.503056
200  0.492867
250  0.486714
300  0.481005
350  0.47753
400  0.472845
450  0.467835
500  0.464949
550  0.462206
600  0.45745
650  0.452669
700  0.447987
750  0.444572
800  0.441191
850  0.434548
900  0.430461
950  0.42629
1000  0.422171
1050  0.418018
1100  0.41365
1150  0.410015
1200  0.40655
1250  0.402669
1300  0.398862
1350  0.396067
1400  0.393258
1450  0.390731
1500  0.388628
1550  0.387259
1600  0.386071
1650  0.383825
1700  0.381622
1750  0.381089
1800  0.378715
1850  0.377415
1900  0.375902
1950  0.374967
2000  0.373378
2050  0.372139
2100  0.370511
2150  0.368645
2200  0.367968
2250  0.367278
2300  0.366718
2350  0.365431
2400  0.364299
2450  0.363641
2500  0.362077
2550  0.360395
2600  0.359095
2650  0.35801
2700  0.356434
2750  0.355451
2800  0.355117
2850  0.353663
2900  0.352631
2950  0.351221
3000  0.350501
3050  0.348469
3100  0.347684
3150  0.346507
3200  0.345643
3250  0.344766
3300  0.344393
3350  0.343427
3400  0.343013
3450  0.342112
3500  0.341412
3550  0.341024
3600  0.340361
3650  0.339334
3700  0.33828
3750  0.337184
3800  0.335684
3850  0.334637
3900  0.334052
3950  0.333486
4000  0.332809
4050  0.331855
4100  0.331495
4150  0.3303
4200  0.330221
4250  0.330085
4300  0.329407
4350  0.328897
4400  0.32867
4450  0.328225
4500  0.327737
4550  0.327079
4600  0.326139
4650  0.325915
4700  0.325213
4750  0.324408
4800  0.32423
4850  0.324072
4900  0.323648
4950  0.322924
5000  0.322882
5050  0.322468
5100  0.322207
5150  0.322045
5200  0.321355
5250  0.320447
5300  0.319901
5350  0.319173
5400  0.318849
5450  0.318501
5500  0.318097
5550  0.317946
5600  0.317774
5650  0.316938
5700  0.316739
5750  0.316251
5800  0.315996
5850  0.31572
5900  0.315637
5950  0.315225
6000  0.315079
6050  0.314877
6100  0.314649
6150  0.314389
6200  0.314349
6250  0.314071
6300  0.313684
6350  0.313395
6400  0.312785
6450  0.312579
6500  0.312557
6550  0.311988
6600  0.311884
6650  0.311452
6700  0.31112
6750  0.310931
6800  0.310553
6850  0.310312
6900  0.31002
6950  0.309577
7000  0.308936
7050  0.308704
7100  0.308068
7150  0.307957
7200  0.307856
7250  0.307698
7300  0.307367
7350  0.307269
7400  0.307106
7450  0.306851
7500  0.306685
7550  0.306554
7600  0.306278
7650  0.306055
7700  0.30585
7750  0.305522
7800  0.305438
7850  0.305244
7900  0.305244
7950  0.305004
8000  0.304908
8050  0.304903
8100  0.304813
8150  0.304566
8200  0.304476
8250  0.304358
8300  0.304358
8350  0.304198
8400  0.303989
8450  0.30375
8500  0.303673
8550  0.303673
8600  0.303579
8650  0.303488
8700  0.303488
8750  0.303353
8800  0.303331
8850  0.303137
8900  0.302912
8950  0.302912
9000  0.302883
9050  0.302695
9100  0.302681
9150  0.302666
9200  0.302274
9250  0.30211
9300  0.302035
9350  0.301643
9400  0.30131
9450  0.301223
9500  0.301144
9550  0.300842
9600  0.300551
9650  0.300321
9700  0.300204
9750  0.300194
9800  0.300144
9850  0.299961
9900  0.299739
9950  0.299317
10000  0.299051
10050  0.299007
10100  0.29895
10150  0.29893
10200  0.298824
10250  0.298709
10300  0.298634
10350  0.298559
10400  0.298505
10450  0.298327
10500  0.298243
10550  0.298163
10600  0.298019
10650  0.297971
10700  0.297841
10750  0.29763
10800  0.297538
10850  0.297409
10900  0.297409
10950  0.297319
11000  0.297201
11050  0.297201
11100  0.297183
11150  0.297183
11200  0.297026
11250  0.297008
11300  0.29686
11350  0.29686
11400  0.296808
11450  0.296808
11500  0.296756
11550  0.296756
11600  0.296756
11650  0.296687
11700  0.296643
11750  0.296509
11800  0.296401
11850  0.296376
11900  0.296376
11950  0.296376
12000  0.296358
12050  0.296317
12100  0.296138
12150  0.295993
12200  0.295993
12250  0.295993
12300  0.295984
12350  0.295982
12400  0.295982
12450  0.295982
12500  0.295982
12550  0.295982
12600  0.295961
12650  0.29589
12700  0.29589
12750  0.29589
12800  0.29589
12850  0.29589
12900  0.29589
12950  0.29589
13000  0.295694
13050  0.295694
13100  0.295694
13150  0.295671
13200  0.295523
13250  0.295523
13300  0.295523
13350  0.295482
13400  0.295451
13450  0.295451
13500  0.295445
13550  0.295381
13600  0.295286
13650  0.295286
13700  0.295233
13750  0.2952
13800  0.295084
13850  0.294859
13900  0.294787
13950  0.294713
14000  0.294702
14050  0.294702
14100  0.294608
14150  0.294608
14200  0.294608
14250  0.294484
14300  0.294484
14350  0.29435
14400  0.29422
14450  0.29422
14500  0.294209
14550  0.294209
14600  0.294012
14650  0.293969
14700  0.293969
14750  0.293864
14800  0.293864
14850  0.293864
14900  0.293639
14950  0.293522
15000  0.293522
15050  0.293428
15100  0.293428
15150  0.293373
15200  0.293284
15250  0.293245
15300  0.293138
15350  0.293138
15400  0.293138
15450  0.293138
15500  0.293138
15550  0.293058
15600  0.293058
15650  0.293
15700  0.293
15750  0.293
15800  0.293
15850  0.292961
15900  0.292744
15950  0.292583
16000  0.292583
16050  0.292583
16100  0.292519
16150  0.292504
16200  0.292504
16250  0.292363
16300  0.292282
16350  0.292282
16400  0.292183
16450  0.292151
16500  0.292151
16550  0.291957
16600  0.291957
16650  0.291758
16700  0.291758
16750  0.291758
16800  0.291758
16850  0.291758
16900  0.291651
16950  0.291604
17000  0.291602
17050  0.291575
17100  0.291575
17150  0.291575
17200  0.29146
17250  0.291376
17300  0.291322
17350  0.291322
17400  0.29129
17450  0.29129
17500  0.291249
17550  0.291249
17600  0.291184
17650  0.291184
17700  0.291184
17750  0.291054
17800  0.291038
17850  0.29097
17900  0.290894
17950  0.29076
18000  0.29076
18050  0.29076
18100  0.29076
18150  0.290747
18200  0.29071
18250  0.29067
18300  0.29067
18350  0.290567
18400  0.2904
18450  0.2904
18500  0.290298
18550  0.290298
18600  0.290298
18650  0.290238
18700  0.290073
18750  0.290073
18800  0.290073
18850  0.290073
18900  0.290073
18950  0.290073
19000  0.290073
19050  0.289954
19100  0.289954
19150  0.289737
19200  0.289705
19250  0.289419
19300  0.289192
19350  0.289192
19400  0.289012
19450  0.288975
19500  0.288953
19550  0.28894
19600  0.28894
19650  0.288854
19700  0.288721
19750  0.288721
19800  0.288685
19850  0.288685
19900  0.288657
19950  0.288635
20000  0.28854
20050  0.288481
20100  0.288481
20150  0.28837
20200  0.28835
20250  0.28835
20300  0.28835
20350  0.288335
20400  0.288203
20450  0.288203
20500  0.288203
20550  0.288156
20600  0.287965
20650  0.287867
20700  0.287867
20750  0.287867
20800  0.287867
20850  0.28785
20900  0.28777
20950  0.28777
21000  0.28777
21050  0.287758
21100  0.287747
21150  0.287694
21200  0.287694
21250  0.287656
21300  0.287532
21350  0.287532
21400  0.287532
21450  0.28752
21500  0.287218
21550  0.287084
21600  0.28706
21650  0.28706
21700  0.286941
21750  0.286902
21800  0.286893
21850  0.286828
21900  0.286828
21950  0.286678
22000  0.286678
22050  0.286641
22100  0.286639
22150  0.286639
22200  0.286615
22250  0.286615
22300  0.286585
22350  0.286555
22400  0.286555
22450  0.286555
22500  0.286555
22550  0.286547
22600  0.286547
22650  0.286547
22700  0.286517
22750  0.286373
22800  0.28632
22850  0.286232
22900  0.286179
22950  0.286179
23000  0.286114
23050  0.286114
23100  0.286021
23150  0.285982
23200  0.285982
23250  0.285982
23300  0.285934
23350  0.285934
23400  0.285901
23450  0.285857
23500  0.285857
23550  0.28584
23600  0.28584
23650  0.285684
23700  0.285684
23750  0.285684
23800  0.285684
23850  0.285668
23900  0.285668
23950  0.285668
24000  0.285668
24050  0.285613
24100  0.285613
24150  0.285595
24200  0.285595
24250  0.28551
24300  0.28551
24350  0.285457
24400  0.285457
24450  0.285457
24500  0.285457
24550  0.285457
24600  0.285457
24650  0.285457
24700  0.285457
24750  0.285457
24800  0.285447
24850  0.285386
24900  0.285377
24950  0.285234
25000  0.285234
25050  0.285234
25100  0.285234
25150  0.285234
25200  0.285234
25250  0.285126
25300  0.28508
25350  0.28508
25400  0.28508
25450  0.28508
25500  0.28508
25550  0.28508
25600  0.28508
25650  0.28508
25700  0.28508
25750  0.285081
25800  0.285081
25850  0.285081
25900  0.28508
25950  0.285076
26000  0.284905
26050  0.284905
26100  0.284905
26150  0.284902
26200  0.284902
26250  0.284902
26300  0.284902
26350  0.284847
26400  0.284847
26450  0.284735
26500  0.284656
26550  0.284656
26600  0.284608
26650  0.284608
26700  0.284339
26750  0.284054
26800  0.284054
26850  0.284054
26900  0.284054
26950  0.284022
27000  0.284015
27050  0.284015
27100  0.284015
27150  0.284004
27200  0.284004
27250  0.284004
27300  0.284004
27350  0.284004
27400  0.284004
27450  0.284004
27500  0.284004
27550  0.284004
27600  0.284004
27650  0.283976
27700  0.283927
27750  0.283927
27800  0.283927
27850  0.283927
27900  0.283882
27950  0.2838
28000  0.2838
28050  0.2838
28100  0.2838
28150  0.2838
28200  0.283751
28250  0.283751
28300  0.283751
28350  0.283751
28400  0.283751
28450  0.283751
28500  0.283715
28550  0.283715
28600  0.283715
28650  0.283715
28700  0.283715
28750  0.283715
28800  0.283715
28850  0.283711
28900  0.283711
28950  0.283711
29000  0.283677
29050  0.283497
29100  0.283497
29150  0.283497
