Step  Penalty
100  0.529674
200  0.512755
300  0.500487
400  0.491894
500  0.483582
600  0.476723
700  0.469205
800  0.458659
900  0.450695
1000  0.441466
1100  0.432612
1200  0.423288
1300  0.414867
1400  0.405316
1500  0.392192
1600  0.380412
1700  0.369472
1800  0.360456
1900  0.35122
2000  0.343185
2100  0.336386
2200  0.327433
2300  0.319471
2400  0.312891
2500  0.306817
2600  0.300355
2700  0.2938
2800  0.287176
2900  0.281802
3000  0.277959
3100  0.273691
3200  0.26891
3300  0.264363
3400  0.260175
3500  0.255972
3600  0.251117
3700  0.246072
3800  0.241949
3900  0.237293
4000  0.233076
4100  0.228532
4200  0.224619
4300  0.221563
4400  0.218509
4500  0.214935
4600  0.211769
4700  0.209324
4800  0.206757
4900  0.204191
5000  0.2014
5100  0.198949
5200  0.196943
5300  0.195163
5400  0.193543
5500  0.191961
5600  0.190665
5700  0.188727
5800  0.187211
5900  0.185659
6000  0.184594
6100  0.183937
6200  0.183249
6300  0.182563
6400  0.181818
6500  0.181323
6600  0.180877
6700  0.18024
6800  0.179404
6900  0.178733
7000  0.178354
7100  0.177992
7200  0.177485
7300  0.177112
7400  0.176462
7500  0.175885
7600  0.175439
7700  0.175049
7800  0.174737
7900  0.174452
8000  0.174102
8100  0.173664
8200  0.173169
8300  0.172776
8400  0.172643
8500  0.172369
8600  0.172296
8700  0.172028
8800  0.171841
8900  0.171586
9000  0.171311
9100  0.171128
9200  0.170663
9300  0.170333
9400  0.170191
9500  0.169813
9600  0.169435
9700  0.169133
9800  0.168726
9900  0.168242
10000  0.167775
10100  0.167517
10200  0.167088
10300  0.166643
10400  0.166175
10500  0.165687
10600  0.165295
10700  0.165
10800  0.164702
10900  0.164342
11000  0.164022
11100  0.163753
11200  0.163616
11300  0.16338
11400  0.163275
11500  0.16307
11600  0.162921
11700  0.162559
11800  0.162504
11900  0.162312
12000  0.161962
12100  0.161719
12200  0.16161
12300  0.161464
12400  0.161376
12500  0.161113
12600  0.161045
12700  0.160797
12800  0.160731
12900  0.160573
13000  0.16038
13100  0.160294
13200  0.16
13300  0.159726
13400  0.159498
13500  0.159339
13600  0.159238
13700  0.159104
13800  0.158937
13900  0.158668
14000  0.158449
14100  0.158202
14200  0.158002
14300  0.157879
14400  0.157788
14500  0.157586
14600  0.15751
14700  0.157342
14800  0.157249
14900  0.157103
15000  0.157014
15100  0.156823
15200  0.156724
15300  0.156456
15400  0.156163
15500  0.155857
15600  0.155603
15700  0.155416
15800  0.155185
15900  0.155035
16000  0.154947
16100  0.154919
16200  0.154663
16300  0.154445
16400  0.154296
16500  0.154114
16600  0.153985
16700  0.153792
16800  0.153566
16900  0.153316
17000  0.15312
17100  0.152996
17200  0.152873
17300  0.152716
17400  0.1526
17500  0.152399
17600  0.152228
17700  0.152141
17800  0.152078
17900  0.15194
18000  0.151889
18100  0.151837
18200  0.151796
18300  0.151691
18400  0.151673
18500  0.151627
18600  0.151549
18700  0.151521
18800  0.151488
18900  0.151353
19000  0.151263
19100  0.151216
19200  0.151128
19300  0.151122
19400  0.151088
19500  0.151074
19600  0.151034
19700  0.150986
19800  0.150907
19900  0.15083
20000  0.150798
20100  0.150727
20200  0.150687
20300  0.150682
20400  0.150634
20500  0.150615
20600  0.150538
20700  0.150504
20800  0.150478
20900  0.150403
21000  0.15032
21100  0.150278
21200  0.150232
21300  0.150201
21400  0.150168
21500  0.150134
21600  0.150056
21700  0.149965
21800  0.149958
21900  0.149927
22000  0.149851
22100  0.14984
22200  0.149798
22300  0.149687
22400  0.149639
22500  0.149579
22600  0.149519
22700  0.149442
22800  0.149394
22900  0.14936
23000  0.149343
23100  0.149327
23200  0.149324
23300  0.149267
23400  0.149187
23500  0.149142
23600  0.149073
23700  0.149073
