Step  Penalty
50  0.482518
100  0.482518
150  0.482518
200  0.482518
250  0.482518
300  0.482518
350  0.482518
400  0.482518
450  0.482518
500  0.482518
550  0.482518
600  0.482518
650  0.482518
700  0.482518
750  0.482518
800  0.482518
850  0.482518
900  0.482518
950  0.482518
1000  0.482518
1050  0.482518
1100  0.482518
1150  0.482518
1200  0.482518
1250  0.482518
1300  0.482518
1350  0.482518
1400  0.470378
1450  0.463328
1500  0.45417
1550  0.443121
1600  0.443121
1650  0.438569
1700  0.420461
1750  0.420295
1800  0.412154
1850  0.412154
1900  0.401987
1950  0.401424
2000  0.392573
2050  0.383813
2100  0.383813
2150  0.382033
2200  0.378296
2250  0.371639
2300  0.370835
2350  0.353587
2400  0.353587
2450  0.353587
2500  0.351348
2550  0.345397
2600  0.345397
2650  0.335238
2700  0.335238
2750  0.324214
2800  0.318751
2850  0.318751
2900  0.31626
2950  0.314017
3000  0.308033
3050  0.303735
3100  0.303735
3150  0.302772
3200  0.30064
3250  0.295553
3300  0.295316
3350  0.288159
3400  0.2878
3450  0.285113
3500  0.284809
3550  0.279262
3600  0.279262
3650  0.278293
3700  0.27353
3750  0.271114
3800  0.264331
3850  0.264331
3900  0.264331
3950  0.26077
4000  0.26077
4050  0.256844
4100  0.256725
4150  0.256383
4200  0.256383
4250  0.254482
4300  0.25224
4350  0.248367
4400  0.24753
4450  0.246178
4500  0.244916
4550  0.23885
4600  0.237249
4650  0.237249
4700  0.235814
4750  0.231666
4800  0.231666
4850  0.231666
4900  0.231346
4950  0.230912
5000  0.228171
5050  0.224617
5100  0.222561
5150  0.221769
5200  0.221083
5250  0.220984
5300  0.217556
5350  0.217448
5400  0.215097
5450  0.213218
5500  0.213218
5550  0.212931
5600  0.212482
5650  0.212482
5700  0.210197
5750  0.209808
5800  0.206639
5850  0.206639
5900  0.206639
5950  0.205735
6000  0.204039
6050  0.204039
6100  0.204039
6150  0.203563
6200  0.202861
6250  0.202861
6300  0.200772
6350  0.200587
6400  0.197769
6450  0.197769
6500  0.197769
6550  0.197769
6600  0.197769
6650  0.196758
6700  0.196758
6750  0.196758
6800  0.196758
6850  0.196758
6900  0.195152
6950  0.195152
7000  0.195152
7050  0.195152
7100  0.194383
7150  0.194383
7200  0.194383
7250  0.194383
7300  0.194383
7350  0.194383
7400  0.193025
7450  0.193025
7500  0.193025
7550  0.193025
7600  0.192971
7650  0.192548
7700  0.192371
7750  0.19001
7800  0.19001
7850  0.19001
7900  0.19001
7950  0.19001
8000  0.19001
8050  0.19001
8100  0.189949
8150  0.189949
8200  0.189949
8250  0.189949
8300  0.189949
8350  0.189949
8400  0.189949
8450  0.189949
8500  0.188323
8550  0.188323
8600  0.188323
8650  0.188323
8700  0.188323
8750  0.188323
8800  0.188323
8850  0.188323
8900  0.188323
8950  0.188323
9000  0.188323
9050  0.187966
9100  0.187557
9150  0.187557
9200  0.187557
9250  0.187557
9300  0.187557
9350  0.186787
9400  0.186035
9450  0.186035
9500  0.186035
9550  0.186035
9600  0.185889
9650  0.184525
9700  0.184525
9750  0.184525
9800  0.184525
9850  0.184525
9900  0.184525
9950  0.184525
10000  0.184525
10050  0.184525
10100  0.184525
10150  0.184525
10200  0.184525
10250  0.183601
10300  0.180434
10350  0.180434
10400  0.180434
10450  0.180434
10500  0.180434
10550  0.180434
10600  0.180434
10650  0.180434
10700  0.180434
10750  0.180434
10800  0.180434
10850  0.180434
10900  0.180434
10950  0.180434
11000  0.180434
11050  0.180434
11100  0.180434
11150  0.180434
11200  0.180434
11250  0.180434
11300  0.180434
11350  0.180434
11400  0.180434
11450  0.180434
11500  0.180434
11550  0.180434
11600  0.180434
11650  0.180434
11700  0.180434
11750  0.180434
11800  0.180434
11850  0.180434
11900  0.180434
11950  0.180434
12000  0.180434
12050  0.180434
12100  0.180434
12150  0.180434
12200  0.180434
12250  0.180434
12300  0.180434
12350  0.180434
12400  0.180434
12450  0.180434
12500  0.180434
12550  0.180434
12600  0.180434
12650  0.180434
12700  0.180434
12750  0.180434
12800  0.180434
12850  0.180434
12900  0.180434
12950  0.180434
13000  0.180434
13050  0.180434
13100  0.180434
13150  0.180434
13200  0.179915
13250  0.179915
13300  0.179915
13350  0.179792
13400  0.179792
13450  0.179792
13500  0.179792
13550  0.179792
13600  0.179792
13650  0.179792
13700  0.179792
13750  0.179792
13800  0.179792
13850  0.179792
13900  0.179491
13950  0.179491
14000  0.179491
14050  0.179491
14100  0.177599
14150  0.177599
14200  0.177599
14250  0.177599
14300  0.177599
14350  0.177599
14400  0.177599
14450  0.177599
14500  0.177599
14550  0.177599
14600  0.177599
14650  0.177599
14700  0.177599
14750  0.177599
14800  0.177599
14850  0.177599
14900  0.176427
14950  0.176427
15000  0.176427
15050  0.176427
15100  0.176427
15150  0.176427
15200  0.176401
15250  0.176401
15300  0.176401
15350  0.176401
15400  0.176401
15450  0.176401
15500  0.176401
15550  0.176401
15600  0.176401
15650  0.176401
15700  0.176401
15750  0.176401
15800  0.176401
15850  0.176401
15900  0.176401
15950  0.176401
16000  0.176401
16050  0.176401
16100  0.176401
16150  0.176401
16200  0.176401
16250  0.176401
16300  0.176401
16350  0.176401
16400  0.176401
16450  0.176401
16500  0.176401
16550  0.176332
16600  0.176332
16650  0.176332
16700  0.176332
16750  0.176332
16800  0.176332
16850  0.17621
16900  0.17621
16950  0.175873
17000  0.175873
17050  0.175873
17100  0.175873
17150  0.175873
17200  0.175873
17250  0.175873
17300  0.175873
17350  0.175873
17400  0.175873
17450  0.175873
17500  0.175873
17550  0.175873
17600  0.175873
17650  0.175873
17700  0.175873
17750  0.175873
17800  0.175873
17850  0.175036
17900  0.175036
17950  0.175036
18000  0.175036
18050  0.175036
18100  0.175036
18150  0.175036
18200  0.175036
18250  0.175036
18300  0.175036
18350  0.175036
18400  0.175036
18450  0.175036
18500  0.175036
18550  0.175036
18600  0.175036
18650  0.175036
18700  0.175036
18750  0.175036
18800  0.175036
18850  0.175036
18900  0.175036
18950  0.175036
19000  0.175036
19050  0.175036
19100  0.175036
19150  0.175036
19200  0.175036
19250  0.175036
19300  0.175036
19350  0.175036
19400  0.175036
19450  0.175036
19500  0.175036
19550  0.175036
19600  0.175036
19650  0.175036
19700  0.175036
19750  0.175036
19800  0.175036
19850  0.175036
19900  0.175036
19950  0.175036
20000  0.175036
20050  0.175036
20100  0.175036
20150  0.175036
20200  0.175036
20250  0.175036
20300  0.175036
20350  0.175036
20400  0.175036
20450  0.175036
20500  0.175036
20550  0.175036
20600  0.175036
20650  0.175036
20700  0.175036
20750  0.175036
20800  0.175036
20850  0.175036
20900  0.175036
20950  0.175036
21000  0.175036
21050  0.175036
21100  0.175036
21150  0.175036
21200  0.175036
21250  0.175036
21300  0.175036
21350  0.175036
21400  0.175036
21450  0.175036
21500  0.175036
21550  0.175036
21600  0.175036
21650  0.175036
21700  0.175036
21750  0.175036
21800  0.175036
21850  0.175036
21900  0.175036
21950  0.175036
22000  0.175036
22050  0.175036
22100  0.175036
22150  0.175036
22200  0.175036
22250  0.175036
22300  0.175036
22350  0.175036
22400  0.175036
22450  0.175036
22500  0.175036
22550  0.175036
22600  0.175036
22650  0.175036
22700  0.175036
22750  0.175036
22800  0.175036
22850  0.175036
22900  0.175036
22950  0.175036
23000  0.175036
23050  0.175036
23100  0.175036
23150  0.175036
23200  0.175036
23250  0.175036
23300  0.175036
23350  0.174792
23400  0.174792
23450  0.174792
23500  0.174792
23550  0.174792
23600  0.174792
23650  0.174548
23700  0.174548
23750  0.174548
23800  0.174548
23850  0.174548
23900  0.174548
23950  0.174548
24000  0.174548
24050  0.174548
24100  0.174548
24150  0.174548
24200  0.174548
24250  0.174548
24300  0.174548
24350  0.174548
24400  0.174548
24450  0.174548
24500  0.174548
24550  0.174548
24600  0.174548
24650  0.174548
24700  0.174548
24750  0.174548
24800  0.174464
24850  0.174464
24900  0.174464
24950  0.174464
25000  0.174464
25050  0.174464
25100  0.174464
25150  0.174464
25200  0.174464
25250  0.174464
25300  0.174464
25350  0.174464
25400  0.174464
25450  0.174464
25500  0.174464
25550  0.174464
25600  0.174464
25650  0.174464
25700  0.174464
25750  0.174464
25800  0.174464
25850  0.174464
25900  0.174464
25950  0.174464
26000  0.174464
26050  0.174464
26100  0.174464
26150  0.174464
26200  0.174464
26250  0.174464
26300  0.174464
26350  0.174464
26400  0.174464
26450  0.174464
26500  0.174464
26550  0.174464
26600  0.174464
26650  0.174464
26700  0.174464
26750  0.174464
26800  0.174464
26850  0.174464
26900  0.174464
26950  0.174464
27000  0.173369
27050  0.173369
27100  0.173369
27150  0.173369
27200  0.173369
27250  0.173369
27300  0.173369
27350  0.173369
27400  0.173369
27450  0.173369
27500  0.173369
27550  0.173369
27600  0.173369
27650  0.173369
27700  0.173369
27750  0.173369
27800  0.173369
27850  0.173369
27900  0.173369
27950  0.173369
28000  0.173369
28050  0.173369
28100  0.173369
28150  0.173369
28200  0.173369
28250  0.173369
28300  0.173369
28350  0.173369
28400  0.173369
28450  0.173369
28500  0.173369
28550  0.173369
28600  0.173369
28650  0.173369
28700  0.173369
28750  0.173369
28800  0.173369
28850  0.173369
28900  0.173369
28950  0.173369
29000  0.173239
29050  0.173239
29100  0.173239
29150  0.173239
29200  0.173239
29250  0.173239
29300  0.173239
29350  0.173239
29400  0.173239
29450  0.173239
29500  0.173239
29550  0.173239
29600  0.173239
29650  0.173239
29700  0.173239
29750  0.173239
29800  0.173239
29850  0.173239
29900  0.173239
29950  0.173239
