Step  Penalty
50  0.581506
100  0.554788
150  0.55178
200  0.545208
250  0.545207
300  0.544911
350  0.543012
400  0.541178
450  0.54027
500  0.54027
550  0.539991
600  0.539652
650  0.539274
700  0.538367
750  0.537739
800  0.536357
850  0.536357
900  0.536274
950  0.536274
1000  0.534987
1050  0.530372
1100  0.52939
1150  0.528033
1200  0.52795
1250  0.525873
1300  0.523305
1350  0.518694
1400  0.514626
1450  0.506671
1500  0.496969
1550  0.483433
1600  0.470378
1650  0.461101
1700  0.452144
1750  0.447112
1800  0.441738
1850  0.433774
1900  0.426612
1950  0.42216
2000  0.417151
2050  0.411574
2100  0.406484
2150  0.402288
2200  0.397375
2250  0.392611
2300  0.386915
2350  0.382949
2400  0.378414
2450  0.375034
2500  0.370299
2550  0.36749
2600  0.362774
2650  0.357169
2700  0.353815
2750  0.349767
2800  0.345052
2850  0.339257
2900  0.334012
2950  0.329741
3000  0.326008
3050  0.322185
3100  0.317877
3150  0.313787
3200  0.31092
3250  0.308688
3300  0.306676
3350  0.303735
3400  0.300646
3450  0.297929
3500  0.295057
3550  0.291859
3600  0.290059
3650  0.288381
3700  0.285937
3750  0.283879
3800  0.281394
3850  0.278746
3900  0.275896
3950  0.273849
4000  0.27183
4050  0.27008
4100  0.26784
4150  0.26553
4200  0.263157
4250  0.262145
4300  0.260673
4350  0.258756
4400  0.25634
4450  0.254625
4500  0.253161
4550  0.251324
4600  0.248785
4650  0.247264
4700  0.245642
4750  0.244274
4800  0.242623
4850  0.241378
4900  0.240342
4950  0.238112
5000  0.236444
5050  0.23442
5100  0.232442
5150  0.230675
5200  0.228698
5250  0.227813
5300  0.226318
5350  0.225043
5400  0.223642
5450  0.222138
5500  0.220604
5550  0.219265
5600  0.218583
5650  0.217769
5700  0.216751
5750  0.216011
5800  0.215213
5850  0.214069
5900  0.212859
5950  0.212087
6000  0.210664
6050  0.209908
6100  0.208788
6150  0.207913
6200  0.206997
6250  0.206371
6300  0.205943
6350  0.205311
6400  0.204807
6450  0.204299
6500  0.203581
6550  0.203112
6600  0.202752
6650  0.202184
6700  0.201732
6750  0.201418
6800  0.201182
6850  0.200772
6900  0.200346
6950  0.200095
7000  0.199766
7050  0.199318
7100  0.19898
7150  0.198526
7200  0.198303
7250  0.198029
7300  0.197527
7350  0.197312
7400  0.197074
7450  0.196806
7500  0.196552
7550  0.196344
7600  0.195969
7650  0.195677
7700  0.195399
7750  0.195206
7800  0.195018
7850  0.19468
7900  0.194474
7950  0.194333
8000  0.193853
8050  0.193812
