Step  Penalty
100  0.527045
200  0.522782
300  0.521346
400  0.519152
500  0.516597
600  0.511049
700  0.504088
800  0.491654
900  0.46959
1000  0.435037
1100  0.401904
1200  0.373342
1300  0.349808
1400  0.33194
1500  0.317553
1600  0.306423
1700  0.29622
1800  0.288082
1900  0.282398
2000  0.277606
2100  0.273132
2200  0.26993
2300  0.267582
2400  0.26529
2500  0.263326
2600  0.262185
2700  0.260775
2800  0.259632
2900  0.259002
3000  0.258048
3100  0.257582
3200  0.25703
3300  0.256526
3400  0.256039
3500  0.255429
3600  0.255057
3700  0.254486
3800  0.254101
3900  0.253852
4000  0.253719
4100  0.253549
4200  0.253261
4300  0.252979
4400  0.252693
4500  0.252556
4600  0.252323
4700  0.252172
4800  0.251879
4900  0.251814
5000  0.251706
5100  0.251629
5200  0.251414
5300  0.251335
5400  0.251242
5500  0.251002
5600  0.250761
5700  0.250708
5800  0.250616
5900  0.250589
6000  0.250539
6100  0.250484
6200  0.250275
6300  0.250227
6400  0.250157
6500  0.250085
6600  0.249979
6700  0.249942
6800  0.2498
6900  0.249727
7000  0.249673
7100  0.249565
7200  0.249565
7300  0.249561
7400  0.249559
7500  0.249537
7600  0.249458
7700  0.249314
7800  0.249222
7900  0.249187
8000  0.249086
8100  0.24906
8200  0.249033
8300  0.248943
8400  0.248938
8500  0.248878
8600  0.248878
8700  0.248751
8800  0.248714
8900  0.248714
9000  0.248681
9100  0.248679
9200  0.24863
9300  0.248615
9400  0.248609
9500  0.248549
9600  0.248548
9700  0.248506
9800  0.248506
9900  0.248506
10000  0.248467
10100  0.248458
10200  0.248458
10300  0.248452
10400  0.248452
10500  0.248359
10600  0.248336
10700  0.248336
10800  0.248303
10900  0.248245
11000  0.248192
11100  0.248192
11200  0.24817
11300  0.248152
11400  0.248071
11500  0.248062
11600  0.248062
11700  0.248062
11800  0.248062
11900  0.248029
12000  0.24801
12100  0.247997
12200  0.247997
12300  0.247997
12400  0.247997
12500  0.247992
12600  0.247992
12700  0.247965
12800  0.247959
12900  0.247945
13000  0.247941
13100  0.24794
13200  0.24791
13300  0.247849
13400  0.247844
13500  0.247748
13600  0.247745
13700  0.24774
13800  0.247739
13900  0.247708
14000  0.247699
14100  0.247677
14200  0.247595
14300  0.247585
14400  0.247545
14500  0.247545
14600  0.247541
14700  0.247532
14800  0.247532
14900  0.24748
15000  0.24748
15100  0.24748
15200  0.247477
15300  0.247475
15400  0.247473
15500  0.247442
15600  0.247442
15700  0.247431
15800  0.247398
15900  0.247398
16000  0.247398
16100  0.247397
16200  0.247397
16300  0.247397
16400  0.247397
16500  0.247397
16600  0.247397
16700  0.247397
16800  0.247397
16900  0.247397
17000  0.247397
17100  0.247397
17200  0.247397
17300  0.247366
17400  0.247314
17500  0.247309
17600  0.247309
17700  0.247283
17800  0.247271
17900  0.247267
18000  0.247267
18100  0.247221
18200  0.247142
18300  0.24714
18400  0.247134
18500  0.247132
18600  0.247132
18700  0.247123
18800  0.247123
18900  0.247057
19000  0.24701
19100  0.24701
19200  0.247006
19300  0.246993
19400  0.246993
19500  0.246967
19600  0.246967
19700  0.246967
19800  0.246967
19900  0.24691
20000  0.246883
20100  0.246884
20200  0.246855
20300  0.246855
20400  0.246855
20500  0.246855
20600  0.246855
20700  0.246855
20800  0.246855
20900  0.246855
21000  0.246855
21100  0.246837
21200  0.246837
21300  0.246778
21400  0.246768
21500  0.246748
21600  0.246748
21700  0.246748
21800  0.246723
21900  0.246723
22000  0.246584
22100  0.246584
22200  0.246584
22300  0.246537
22400  0.246514
22500  0.246508
22600  0.246508
22700  0.246501
22800  0.246491
22900  0.246491
23000  0.246491
23100  0.246491
23200  0.246491
23300  0.246482
23400  0.246482
23500  0.246464
23600  0.246441
23700  0.246441
23800  0.246441
23900  0.246441
24000  0.24644
24100  0.24644
24200  0.246436
24300  0.246431
24400  0.246431
24500  0.246431
24600  0.246389
24700  0.246389
24800  0.246389
24900  0.246389
25000  0.246389
25100  0.246389
25200  0.24638
25300  0.24638
25400  0.24638
25500  0.24638
25600  0.246377
