Step  Penalty
100  0.530486
200  0.519156
300  0.514466
400  0.512513
500  0.510542
600  0.509118
700  0.508255
800  0.506943
900  0.506183
1000  0.5055
1100  0.504466
1200  0.50325
1300  0.502805
1400  0.502391
1500  0.501404
1600  0.500473
1700  0.500136
1800  0.499622
1900  0.499084
2000  0.498419
2100  0.497894
2200  0.497551
2300  0.497121
2400  0.496412
2500  0.495345
2600  0.494942
2700  0.494865
2800  0.494711
2900  0.494572
3000  0.494525
3100  0.494467
3200  0.494304
3300  0.493952
3400  0.493833
3500  0.493682
3600  0.493385
3700  0.493304
3800  0.493246
3900  0.493081
4000  0.49304
4100  0.492635
4200  0.492458
4300  0.492326
4400  0.492207
4500  0.491998
4600  0.491998
4700  0.491766
4800  0.491411
4900  0.490898
5000  0.490668
5100  0.490638
5200  0.490552
5300  0.490415
5400  0.490314
5500  0.490314
5600  0.490109
5700  0.489803
5800  0.489553
5900  0.489492
6000  0.489232
6100  0.489201
6200  0.48917
6300  0.488885
6400  0.488693
6500  0.488481
6600  0.488481
6700  0.488481
6800  0.488437
6900  0.488301
7000  0.488125
7100  0.487974
7200  0.487909
7300  0.487842
7400  0.487807
7500  0.487668
7600  0.487495
7700  0.487348
7800  0.487261
7900  0.487086
8000  0.487086
8100  0.487065
8200  0.486976
8300  0.486916
8400  0.486912
8500  0.486835
8600  0.486835
8700  0.486569
8800  0.486377
8900  0.486288
9000  0.486288
9100  0.486246
9200  0.486246
9300  0.485989
9400  0.485989
9500  0.485989
9600  0.485959
9700  0.485959
9800  0.48582
9900  0.485681
10000  0.485663
10100  0.485523
10200  0.48547
10300  0.48547
10400  0.485464
10500  0.485327
10600  0.485327
10700  0.485183
10800  0.485181
10900  0.485167
11000  0.485023
11100  0.485014
11200  0.48498
11300  0.48498
11400  0.484883
11500  0.484883
11600  0.484765
11700  0.484765
11800  0.484651
11900  0.484516
12000  0.484493
12100  0.484493
12200  0.484493
12300  0.48417
12400  0.484088
12500  0.483957
12600  0.48382
12700  0.48378
12800  0.483726
12900  0.483679
13000  0.48358
13100  0.48358
13200  0.48358
13300  0.483507
13400  0.483507
13500  0.483507
13600  0.483409
13700  0.483395
13800  0.483326
13900  0.483326
14000  0.483326
14100  0.483277
14200  0.483226
14300  0.483226
14400  0.483214
14500  0.483117
14600  0.483067
14700  0.483067
14800  0.483021
14900  0.482989
15000  0.482989
15100  0.482839
15200  0.482828
15300  0.482828
15400  0.482828
15500  0.482773
15600  0.482764
15700  0.482764
15800  0.482668
15900  0.482494
16000  0.482467
16100  0.482461
16200  0.482393
16300  0.482393
16400  0.48219
16500  0.482168
16600  0.482168
16700  0.481939
16800  0.481874
16900  0.481874
17000  0.481809
17100  0.481769
17200  0.481769
17300  0.481651
17400  0.481528
17500  0.481419
17600  0.481419
17700  0.481419
17800  0.481419
17900  0.481382
18000  0.481382
18100  0.481382
18200  0.481367
18300  0.481285
18400  0.481285
18500  0.481285
18600  0.481277
18700  0.481139
18800  0.481087
18900  0.481041
19000  0.481041
19100  0.481041
19200  0.481041
19300  0.480981
19400  0.480943
