Step  Penalty
50  0.561631
100  0.528646
150  0.522894
200  0.52085
250  0.51999
300  0.518355
350  0.516583
400  0.515543
450  0.514158
500  0.511479
550  0.511042
600  0.510761
650  0.509978
700  0.509449
750  0.508764
800  0.508576
850  0.50786
900  0.507691
950  0.507274
1000  0.506313
1050  0.505884
1100  0.505242
1150  0.505183
1200  0.50423
1250  0.503925
1300  0.502877
1350  0.502473
1400  0.502362
1450  0.502247
1500  0.502163
1550  0.501808
1600  0.501654
1650  0.501478
1700  0.501478
1750  0.500973
1800  0.5007
1850  0.5007
1900  0.499792
1950  0.49974
2000  0.499737
2050  0.499737
2100  0.499737
2150  0.499219
2200  0.498207
2250  0.497904
2300  0.497821
2350  0.497767
2400  0.497579
2450  0.497579
2500  0.497581
2550  0.497491
2600  0.497491
2650  0.497491
2700  0.497491
2750  0.497328
2800  0.497229
2850  0.497229
2900  0.497229
2950  0.497229
3000  0.497229
3050  0.497198
3100  0.497117
3150  0.49657
3200  0.496325
3250  0.496315
3300  0.496315
3350  0.496315
3400  0.49625
3450  0.49625
3500  0.496042
3550  0.49581
3600  0.49581
3650  0.495785
3700  0.495785
3750  0.495424
3800  0.495145
3850  0.495135
3900  0.495135
3950  0.494652
4000  0.494652
4050  0.494163
4100  0.494028
4150  0.493833
4200  0.493478
4250  0.492832
4300  0.492832
4350  0.492582
4400  0.492582
4450  0.492582
4500  0.492582
4550  0.492582
4600  0.492582
4650  0.492516
4700  0.492508
4750  0.492508
4800  0.492508
4850  0.492268
4900  0.491916
4950  0.491916
5000  0.491916
5050  0.491913
5100  0.491913
5150  0.491912
5200  0.491912
5250  0.491737
5300  0.491737
5350  0.491737
5400  0.491737
5450  0.491622
5500  0.491622
5550  0.491409
5600  0.490499
5650  0.490499
5700  0.490145
5750  0.490099
5800  0.490099
5850  0.490099
5900  0.490099
5950  0.490099
6000  0.490099
6050  0.490099
6100  0.490099
6150  0.490099
6200  0.490064
6250  0.490064
6300  0.490064
6350  0.490064
6400  0.489961
6450  0.489961
6500  0.489801
6550  0.489801
6600  0.489801
6650  0.489801
6700  0.489648
6750  0.489648
6800  0.489578
6850  0.489578
6900  0.489532
6950  0.489513
7000  0.489513
7050  0.489513
7100  0.489325
7150  0.489325
7200  0.489325
7250  0.489207
7300  0.489207
7350  0.489207
7400  0.489207
7450  0.489155
7500  0.489155
7550  0.489155
7600  0.489155
7650  0.489155
7700  0.489155
7750  0.489155
7800  0.489155
7850  0.489155
7900  0.488949
7950  0.488949
8000  0.488949
8050  0.488949
8100  0.488949
8150  0.488634
8200  0.488535
8250  0.488361
8300  0.488361
8350  0.488361
8400  0.488361
8450  0.488361
8500  0.488361
8550  0.488361
8600  0.488361
8650  0.488351
8700  0.488351
8750  0.488288
8800  0.488288
8850  0.488288
8900  0.488288
8950  0.488102
9000  0.488102
9050  0.488038
9100  0.488038
9150  0.488038
9200  0.488038
9250  0.488038
9300  0.488038
9350  0.488038
9400  0.488038
9450  0.488038
9500  0.487933
9550  0.487933
9600  0.487803
9650  0.487803
9700  0.487559
9750  0.4875
9800  0.4875
9850  0.487388
9900  0.487388
9950  0.487388
10000  0.487362
10050  0.487263
10100  0.487263
10150  0.486902
10200  0.486902
10250  0.486902
10300  0.486902
10350  0.486725
10400  0.486617
10450  0.486617
10500  0.486617
10550  0.486617
10600  0.486617
10650  0.486617
10700  0.486617
10750  0.486153
10800  0.486153
10850  0.486153
10900  0.486059
10950  0.486059
11000  0.486059
11050  0.486059
11100  0.486059
11150  0.486059
11200  0.485974
11250  0.485974
11300  0.485974
11350  0.485468
11400  0.484963
11450  0.484963
11500  0.484811
11550  0.484811
11600  0.484811
11650  0.484811
11700  0.484811
11750  0.484784
11800  0.484412
11850  0.484412
11900  0.484412
11950  0.484412
12000  0.484412
12050  0.484412
12100  0.484412
12150  0.484412
12200  0.484412
12250  0.484412
12300  0.484412
12350  0.484245
12400  0.484245
12450  0.484245
12500  0.484245
12550  0.484245
12600  0.484163
12650  0.484163
12700  0.484163
12750  0.483856
12800  0.483856
12850  0.483768
12900  0.483426
12950  0.483426
13000  0.483426
13050  0.483426
13100  0.483426
13150  0.483426
13200  0.483426
13250  0.483426
13300  0.483426
13350  0.483426
13400  0.483426
13450  0.483426
13500  0.483426
13550  0.483426
13600  0.483426
13650  0.483426
13700  0.483426
13750  0.483396
13800  0.483396
13850  0.483392
13900  0.483392
13950  0.482971
14000  0.482971
14050  0.482971
14100  0.482971
14150  0.482971
14200  0.482885
14250  0.482885
14300  0.482885
14350  0.482885
14400  0.482885
14450  0.482885
14500  0.48287
14550  0.48287
14600  0.48287
14650  0.48287
14700  0.48287
14750  0.48287
14800  0.48287
