Step  Penalty
100  0.478236
200  0.478236
300  0.478236
400  0.478236
500  0.478236
600  0.478236
700  0.478236
800  0.478236
900  0.478236
1000  0.478236
1100  0.478236
1200  0.478236
1300  0.478236
1400  0.478236
1500  0.478236
1600  0.478236
1700  0.478236
1800  0.478236
1900  0.478236
2000  0.478236
2100  0.478236
2200  0.478236
2300  0.478236
2400  0.478236
2500  0.478236
2600  0.478236
2700  0.478122
2800  0.478122
2900  0.478122
3000  0.478122
3100  0.477701
3200  0.476396
3300  0.467575
3400  0.467575
3500  0.467575
3600  0.457865
3700  0.452953
3800  0.450158
3900  0.445728
4000  0.425392
4100  0.425392
4200  0.422507
4300  0.422507
4400  0.422507
4500  0.422507
4600  0.422507
4700  0.418741
4800  0.41577
4900  0.408044
5000  0.408044
5100  0.408044
5200  0.408044
5300  0.406352
5400  0.405339
5500  0.396771
5600  0.396771
5700  0.393564
5800  0.393564
5900  0.393564
6000  0.388559
6100  0.388559
6200  0.38031
6300  0.377348
6400  0.377348
6500  0.368187
6600  0.368187
6700  0.368187
6800  0.368187
6900  0.368187
7000  0.365037
7100  0.365037
7200  0.365037
7300  0.365037
7400  0.36262
7500  0.36262
7600  0.360961
7700  0.358567
7800  0.35817
7900  0.350518
8000  0.350518
8100  0.350518
8200  0.350518
8300  0.348122
8400  0.34492
8500  0.34492
8600  0.343905
8700  0.341483
8800  0.337232
8900  0.334778
9000  0.334778
9100  0.334778
9200  0.334778
9300  0.330775
9400  0.330775
9500  0.329929
9600  0.326145
9700  0.326145
9800  0.326145
9900  0.323558
10000  0.322086
10100  0.31677
10200  0.310397
10300  0.310397
10400  0.310397
10500  0.310397
10600  0.310397
10700  0.310397
10800  0.308207
10900  0.304524
11000  0.304524
11100  0.304524
11200  0.304524
11300  0.304524
11400  0.299125
11500  0.299125
11600  0.299125
11700  0.293425
11800  0.293425
11900  0.293425
12000  0.293425
12100  0.293425
12200  0.293425
12300  0.287626
12400  0.287626
12500  0.287626
12600  0.287626
12700  0.287626
12800  0.284779
12900  0.284779
13000  0.284694
13100  0.283815
13200  0.283815
13300  0.283815
13400  0.281738
13500  0.2817
13600  0.28066
13700  0.28066
13800  0.279667
13900  0.276312
14000  0.274018
14100  0.274018
14200  0.274018
14300  0.274018
14400  0.273556
14500  0.273556
14600  0.270109
14700  0.268775
14800  0.268775
14900  0.267084
15000  0.265074
15100  0.265074
15200  0.265074
15300  0.263532
15400  0.263532
15500  0.263532
15600  0.259907
15700  0.259907
15800  0.259907
15900  0.258138
16000  0.258136
16100  0.257099
16200  0.257099
16300  0.257099
16400  0.256303
16500  0.255514
16600  0.255031
16700  0.255031
16800  0.251296
16900  0.251296
17000  0.251296
17100  0.251296
17200  0.251296
17300  0.24999
17400  0.248002
17500  0.248002
17600  0.248002
17700  0.247294
17800  0.246453
17900  0.246453
18000  0.246453
18100  0.243988
18200  0.242872
18300  0.242872
18400  0.242872
18500  0.242872
18600  0.242872
18700  0.242872
18800  0.240979
18900  0.240044
19000  0.240044
19100  0.240044
19200  0.240044
19300  0.238538
19400  0.238538
19500  0.238538
19600  0.237174
19700  0.237174
19800  0.234951
19900  0.234951
20000  0.234951
20100  0.234951
20200  0.234951
20300  0.234424
20400  0.234424
20500  0.234012
20600  0.228784
20700  0.228784
20800  0.228784
20900  0.228784
21000  0.228784
21100  0.228784
21200  0.228784
21300  0.228784
21400  0.228784
21500  0.226532
21600  0.225956
21700  0.225956
21800  0.225956
21900  0.222614
22000  0.222614
22100  0.222614
22200  0.222614
22300  0.222614
22400  0.222614
22500  0.22229
22600  0.22229
22700  0.219706
22800  0.219706
22900  0.219649
23000  0.219649
23100  0.219649
23200  0.219649
23300  0.218274
23400  0.218274
23500  0.218274
23600  0.218274
23700  0.218274
23800  0.213083
23900  0.213083
24000  0.213083
24100  0.212967
24200  0.212967
24300  0.211816
24400  0.211816
24500  0.211816
24600  0.211816
24700  0.211816
24800  0.211816
24900  0.211816
25000  0.211816
25100  0.209707
25200  0.209707
25300  0.209707
25400  0.209707
25500  0.209707
25600  0.209707
25700  0.209707
25800  0.209707
25900  0.209707
26000  0.209707
26100  0.209707
26200  0.207201
26300  0.207201
26400  0.207201
26500  0.206701
26600  0.206701
26700  0.206701
26800  0.206701
26900  0.206701
27000  0.204709
27100  0.204709
27200  0.204709
27300  0.204709
27400  0.204709
27500  0.204709
27600  0.204709
27700  0.204709
27800  0.204709
27900  0.204709
28000  0.204709
28100  0.204105
28200  0.204105
28300  0.204105
28400  0.204105
28500  0.203281
28600  0.203281
28700  0.203281
28800  0.203281
28900  0.201716
29000  0.201716
29100  0.201716
29200  0.201716
29300  0.201716
29400  0.201716
29500  0.201716
29600  0.201716
29700  0.201716
29800  0.201716
29900  0.201716
30000  0.201716
30100  0.201716
30200  0.201716
30300  0.201716
30400  0.201716
30500  0.201716
30600  0.201716
30700  0.197392
30800  0.197392
30900  0.197392
31000  0.197392
31100  0.197392
31200  0.197392
31300  0.197392
31400  0.197392
31500  0.197392
31600  0.197392
31700  0.197392
31800  0.197392
31900  0.197392
32000  0.197392
32100  0.197392
32200  0.197392
32300  0.197251
32400  0.197251
32500  0.197251
32600  0.197251
