Step  Penalty
10  0.532321
20  0.529558
30  0.527184
40  0.519287
50  0.517953
60  0.509342
70  0.500921
80  0.491876
90  0.490837
100  0.487122
110  0.483315
120  0.480826
130  0.47204
140  0.468309
150  0.46386
160  0.453657
170  0.445195
180  0.441236
190  0.43802
200  0.431488
210  0.424391
220  0.421588
230  0.417649
240  0.412642
250  0.409854
260  0.407308
270  0.403038
280  0.399589
290  0.395548
300  0.393476
310  0.393044
320  0.391717
330  0.391368
340  0.391368
350  0.39079
360  0.390569
370  0.389458
380  0.389458
390  0.388911
400  0.388911
410  0.387582
420  0.386054
430  0.384712
440  0.383195
450  0.382222
460  0.378751
470  0.377
480  0.375788
490  0.374986
500  0.373246
510  0.371714
520  0.369922
530  0.369584
540  0.368379
550  0.368055
560  0.368055
570  0.366695
580  0.365678
590  0.362826
600  0.360813
610  0.360656
620  0.360656
630  0.360096
640  0.358948
650  0.357896
660  0.356453
670  0.354679
680  0.354658
690  0.35297
700  0.352665
710  0.352665
720  0.35142
730  0.35142
740  0.350882
750  0.350535
760  0.350535
770  0.350145
780  0.349889
790  0.349889
800  0.349654
810  0.349296
820  0.349042
830  0.348842
840  0.348743
850  0.347806
860  0.346882
870  0.343632
880  0.340108
890  0.338925
900  0.336357
910  0.334553
920  0.333136
930  0.332369
940  0.331157
950  0.329365
960  0.328651
970  0.328344
980  0.327633
990  0.326142
1000  0.325221
1010  0.325221
1020  0.325221
1030  0.324706
1040  0.324706
1050  0.324706
1060  0.324502
1070  0.324475
1080  0.324162
1090  0.323938
1100  0.323796
1110  0.323796
1120  0.323763
1130  0.323763
1140  0.323763
1150  0.323763
1160  0.323763
1170  0.323763
1180  0.323677
1190  0.323206
1200  0.323206
1210  0.322992
1220  0.322992
1230  0.322992
1240  0.322914
1250  0.32278
1260  0.32278
1270  0.32278
1280  0.321827
1290  0.321098
1300  0.320708
1310  0.320708
1320  0.319805
1330  0.319638
1340  0.319638
1350  0.318627
1360  0.316915
1370  0.315137
1380  0.314547
1390  0.313549
1400  0.312511
1410  0.312003
1420  0.31164
1430  0.310909
1440  0.310909
1450  0.310614
1460  0.310614
1470  0.310452
1480  0.310452
1490  0.310359
1500  0.31018
1510  0.309118
1520  0.309118
1530  0.308924
1540  0.308924
1550  0.308891
1560  0.308759
1570  0.308759
1580  0.308435
1590  0.308192
1600  0.308192
1610  0.307942
1620  0.307649
1630  0.307277
1640  0.306652
1650  0.306652
1660  0.306652
1670  0.306652
1680  0.306052
1690  0.306052
1700  0.306052
1710  0.306052
1720  0.306052
1730  0.305885
1740  0.305885
1750  0.305885
1760  0.305632
1770  0.305632
1780  0.305632
1790  0.305632
1800  0.304977
1810  0.304977
1820  0.304977
1830  0.30445
1840  0.303764
1850  0.303107
1860  0.302458
1870  0.301979
1880  0.301653
1890  0.301273
1900  0.301208
1910  0.301029
1920  0.300815
1930  0.300542
1940  0.300245
1950  0.300245
1960  0.300245
1970  0.300108
1980  0.299344
1990  0.298786
2000  0.297992
2010  0.297722
2020  0.29766
2030  0.29766
2040  0.297191
2050  0.296902
2060  0.296902
2070  0.296902
2080  0.296883
2090  0.296493
2100  0.296166
2110  0.295257
2120  0.295259
2130  0.294387
2140  0.294084
2150  0.293638
2160  0.293638
2170  0.293638
2180  0.293638
2190  0.292805
2200  0.292546
2210  0.292099
2220  0.291317
2230  0.291025
2240  0.291025
2250  0.290892
2260  0.290066
2270  0.290066
2280  0.289985
2290  0.289985
2300  0.289357
2310  0.28932
2320  0.288999
2330  0.288817
2340  0.288565
2350  0.288565
2360  0.287215
2370  0.286693
2380  0.286056
2390  0.285434
2400  0.285434
2410  0.285211
2420  0.285211
2430  0.285007
2440  0.285007
2450  0.285007
2460  0.285007
2470  0.284338
2480  0.284338
2490  0.283763
2500  0.283562
2510  0.283104
2520  0.282893
2530  0.28282
2540  0.282689
2550  0.282689
2560  0.282689
2570  0.282421
2580  0.281605
2590  0.281342
2600  0.281276
2610  0.280476
2620  0.27949
2630  0.27949
2640  0.279092
2650  0.278538
2660  0.278538
2670  0.277798
2680  0.277722
2690  0.277368
2700  0.2754
2710  0.274209
2720  0.273882
2730  0.273882
2740  0.273013
2750  0.272842
2760  0.272521
2770  0.272521
2780  0.272521
2790  0.272415
2800  0.272415
2810  0.272415
2820  0.272387
2830  0.272352
2840  0.272352
2850  0.272098
2860  0.272081
2870  0.272081
2880  0.271366
2890  0.271366
2900  0.271366
2910  0.271294
2920  0.271201
2930  0.271201
2940  0.271201
2950  0.271119
2960  0.271119
2970  0.270761
2980  0.270761
2990  0.2707
3000  0.270266
3010  0.270266
3020  0.270179
3030  0.270119
3040  0.269757
3050  0.269757
3060  0.269757
3070  0.269757
3080  0.269276
3090  0.269276
3100  0.269276
3110  0.269276
3120  0.269276
3130  0.269276
3140  0.269276
3150  0.269131
3160  0.269131
3170  0.269131
3180  0.26882
3190  0.268769
3200  0.268473
3210  0.268473
3220  0.268308
3230  0.268308
3240  0.268308
3250  0.267986
3260  0.267986
3270  0.267986
3280  0.267986
3290  0.267877
3300  0.267375
3310  0.267123
3320  0.267123
3330  0.267068
3340  0.267068
3350  0.267068
3360  0.267068
3370  0.267057
3380  0.266925
3390  0.266925
3400  0.266925
3410  0.266925
3420  0.266925
3430  0.266925
3440  0.266787
3450  0.266787
3460  0.266787
3470  0.266761
3480  0.266761
3490  0.266692
3500  0.266675
3510  0.266677
3520  0.266677
3530  0.266677
3540  0.266677
3550  0.266677
3560  0.266677
3570  0.26663
3580  0.26663
3590  0.266557
3600  0.266557
3610  0.266476
3620  0.266364
3630  0.266364
3640  0.266364
3650  0.266237
3660  0.266237
3670  0.266237
3680  0.266237
3690  0.266237
3700  0.266237
3710  0.266237
3720  0.266237
3730  0.266237
3740  0.266237
3750  0.266237
3760  0.266237
3770  0.266237
3780  0.266075
3790  0.266075
3800  0.266075
3810  0.26585
3820  0.26585
3830  0.265221
3840  0.265221
3850  0.265071
