Step  Penalty
100  0.561052
200  0.55043
300  0.546289
400  0.543176
500  0.541547
600  0.538581
700  0.536637
800  0.535585
900  0.534919
1000  0.534919
1100  0.534881
1200  0.533796
1300  0.53379
1400  0.533033
1500  0.532622
1600  0.532328
1700  0.531531
1800  0.531108
1900  0.529885
2000  0.529617
2100  0.529617
2200  0.528926
2300  0.528849
2400  0.528766
2500  0.528011
2600  0.527889
2700  0.527544
2800  0.527544
2900  0.527109
3000  0.526296
3100  0.526264
3200  0.52609
3300  0.525675
3400  0.525675
3500  0.524839
3600  0.524839
3700  0.524522
3800  0.524522
3900  0.524368
4000  0.524311
4100  0.524175
4200  0.523828
4300  0.523828
4400  0.523677
4500  0.523524
4600  0.523127
4700  0.522361
4800  0.521293
4900  0.520586
5000  0.519899
5100  0.517909
5200  0.517719
5300  0.516509
5400  0.514445
5500  0.513655
5600  0.511715
5700  0.507367
5800  0.504592
5900  0.501635
6000  0.4985
6100  0.495886
6200  0.493081
6300  0.489694
6400  0.48781
6500  0.485706
6600  0.484742
6700  0.483605
6800  0.482384
6900  0.481068
7000  0.479625
7100  0.479122
7200  0.478472
7300  0.478046
7400  0.477173
7500  0.47589
7600  0.475025
7700  0.474309
7800  0.473835
7900  0.473258
8000  0.472229
8100  0.471568
8200  0.470878
8300  0.470249
8400  0.469372
8500  0.468164
8600  0.468021
8700  0.467128
8800  0.466776
8900  0.466154
9000  0.465564
9100  0.465269
9200  0.465107
9300  0.464762
9400  0.464312
9500  0.463943
9600  0.463749
9700  0.46324
9800  0.462955
9900  0.461972
10000  0.461318
10100  0.460524
10200  0.459914
10300  0.459717
10400  0.459502
10500  0.459192
10600  0.458703
10700  0.457762
10800  0.456821
10900  0.456504
11000  0.455227
11100  0.454561
11200  0.454052
11300  0.453378
11400  0.452557
11500  0.451866
11600  0.451357
11700  0.450855
11800  0.450337
11900  0.449809
12000  0.449161
12100  0.448391
12200  0.447316
12300  0.446376
12400  0.445786
12500  0.4452
12600  0.444448
12700  0.443747
12800  0.442733
12900  0.441606
13000  0.441069
13100  0.440507
13200  0.440028
13300  0.438964
13400  0.438432
13500  0.43729
13600  0.436593
13700  0.435727
13800  0.435186
13900  0.434363
14000  0.433908
14100  0.433196
14200  0.432626
14300  0.431892
14400  0.431536
14500  0.430653
14600  0.43001
14700  0.429207
14800  0.428112
14900  0.427443
15000  0.427018
15100  0.426662
15200  0.426518
15300  0.426367
15400  0.425657
15500  0.425382
15600  0.424846
15700  0.424325
15800  0.423636
15900  0.422843
16000  0.421508
16100  0.420441
16200  0.419863
16300  0.418763
16400  0.417742
16500  0.415781
16600  0.41452
16700  0.413385
16800  0.411451
16900  0.410889
17000  0.40963
17100  0.408623
17200  0.407168
17300  0.406127
17400  0.404999
17500  0.404106
17600  0.402947
17700  0.401879
17800  0.401
17900  0.399704
18000  0.399084
18100  0.398575
18200  0.398016
18300  0.397675
18400  0.396793
18500  0.396281
18600  0.395422
18700  0.394209
18800  0.393813
18900  0.392711
19000  0.391589
19100  0.39097
19200  0.390075
19300  0.38946
19400  0.389204
19500  0.388636
19600  0.388183
19700  0.387806
19800  0.386929
19900  0.386301
20000  0.385941
20100  0.385524
20200  0.385139
20300  0.384392
20400  0.383643
20500  0.383181
20600  0.382958
20700  0.382665
20800  0.382129
20900  0.381762
21000  0.381339
21100  0.380761
21200  0.38015
21300  0.379692
21400  0.3789
