Step  Penalty
10  48.4075
20  47.3284
30  46.6726
40  46.6569
50  46.4035
60  46.3635
70  46.3578
80  46.2491
90  46.185
100  46.1647
110  46.0829
120  45.9686
130  45.9042
140  45.7919
150  45.6743
160  45.6203
170  45.4759
180  45.4089
190  45.2968
200  45.2024
210  45.1305
220  45.0161
230  44.9735
240  44.9646
250  44.9442
260  44.9433
270  44.8978
280  44.896
290  44.8842
300  44.8842
310  44.867
320  44.8631
330  44.8569
340  44.8404
350  44.8004
360  44.7971
370  44.7927
380  44.7716
390  44.7712
400  44.7687
410  44.7687
420  44.7579
430  44.7339
440  44.7339
450  44.7339
460  44.7339
470  44.7339
480  44.7169
490  44.7169
500  44.7169
510  44.716
520  44.716
530  44.7158
540  44.7148
550  44.7148
560  44.7083
570  44.7083
580  44.7049
590  44.6998
600  44.6918
610  44.6918
620  44.6777
630  44.6777
640  44.6705
650  44.6705
660  44.6705
670  44.6693
680  44.6693
690  44.6685
700  44.6661
710  44.6661
720  44.657
730  44.657
740  44.6547
750  44.6547
760  44.6541
770  44.6541
780  44.6509
790  44.6494
800  44.6487
810  44.648
820  44.648
830  44.648
840  44.648
850  44.648
860  44.648
870  44.648
880  44.6398
890  44.6398
900  44.6398
910  44.6398
920  44.6385
930  44.6383
940  44.6383
950  44.6383
960  44.6383
970  44.6383
980  44.6383
990  44.6383
1000  44.6383
1010  44.6383
1020  44.6381
1030  44.6381
1040  44.6381
1050  44.6327
1060  44.6327
1070  44.6327
1080  44.6318
1090  44.6267
1100  44.6267
1110  44.6267
1120  44.6257
1130  44.6257
1140  44.6257
1150  44.6257
1160  44.6257
1170  44.6213
1180  44.6213
1190  44.6213
1200  44.6213
1210  44.6213
1220  44.6211
1230  44.6211
1240  44.6211
1250  44.6211
1260  44.6211
1270  44.6211
1280  44.6211
1290  44.6211
1300  44.6211
1310  44.6211
1320  44.6211
1330  44.6211
1340  44.6211
1350  44.6211
1360  44.6211
1370  44.6211
1380  44.6204
1390  44.6204
1400  44.6204
1410  44.6204
1420  44.6204
1430  44.6204
1440  44.6204
1450  44.6204
1460  44.6204
1470  44.6172
1480  44.6172
1490  44.6172
1500  44.6156
1510  44.6156
1520  44.6156
1530  44.6156
1540  44.6156
1550  44.6156
1560  44.6156
1570  44.6156
1580  44.6156
1590  44.6156
1600  44.6156
1610  44.6156
1620  44.6156
1630  44.6156
1640  44.6153
1650  44.6153
1660  44.6153
1670  44.6153
1680  44.6153
1690  44.6153
1700  44.6153
1710  44.6153
1720  44.6153
1730  44.6153
1740  44.6153
1750  44.6153
1760  44.6153
1770  44.6153
1780  44.6153
1790  44.6153
1800  44.6153
1810  44.6153
1820  44.6153
1830  44.6153
1840  44.6153
1850  44.6153
1860  44.6153
1870  44.6153
1880  44.6153
1890  44.6153
1900  44.6153
1910  44.6153
1920  44.6153
1930  44.6148
1940  44.6148
1950  44.6148
1960  44.6148
1970  44.6148
1980  44.6148
1990  44.6148
2000  44.6148
2010  44.6148
2020  44.6148
2030  44.6148
2040  44.6148
2050  44.6148
2060  44.6148
2070  44.6148
2080  44.6148
2090  44.6148
2100  44.6148
2110  44.6148
2120  44.6148
2130  44.6148
2140  44.6148
2150  44.6148
2160  44.6148
2170  44.6148
2180  44.6148
2190  44.6148
2200  44.6148
2210  44.6148
2220  44.6148
2230  44.6148
2240  44.6148
2250  44.6148
2260  44.6148
2270  44.6148
2280  44.6148
2290  44.6148
2300  44.6148
2310  44.6148
2320  44.6148
2330  44.6148
2340  44.6148
2350  44.6148
2360  44.6148
2370  44.6148
2380  44.6148
2390  44.6148
2400  44.6148
2410  44.6148
2420  44.6148
2430  44.6148
2440  44.6148
2450  44.6148
2460  44.6148
2470  44.6148
2480  44.6148
2490  44.6148
2500  44.6148
2510  44.6148
2520  44.6148
2530  44.6148
2540  44.6148
2550  44.6148
2560  44.6148
2570  44.6148
2580  44.6148
2590  44.6148
2600  44.6148
2610  44.6148
2620  44.6148
2630  44.6148
2640  44.6148
2650  44.6148
2660  44.6148
2670  44.6148
2680  44.6148
2690  44.6148
2700  44.6148
2710  44.6148
2720  44.6148
2730  44.6148
2740  44.6148
2750  44.6148
2760  44.6148
2770  44.6148
2780  44.6148
2790  44.6148
2800  44.6148
2810  44.6148
2820  44.6148
2830  44.6148
2840  44.6148
2850  44.6148
2860  44.6148
2870  44.6148
2880  44.6148
2890  44.6148
2900  44.6148
2910  44.6148
2920  44.6148
2930  44.6148
2940  44.6148
2950  44.6148
2960  44.6148
2970  44.6148
2980  44.6148
2990  44.6148
3000  44.6148
3010  44.6148
3020  44.6148
3030  44.6148
3040  44.6148
3050  44.6148
3060  44.6148
3070  44.6148
3080  44.6148
3090  44.6148
3100  44.6148
3110  44.6148
