Step  Penalty
10  51.4519
20  50.0404
30  48.8956
40  47.9362
50  47.5084
60  47.3073
70  47.2605
80  47.0883
90  47.0602
100  47.0168
110  46.9605
120  46.9034
130  46.8604
140  46.8604
150  46.8186
160  46.7927
170  46.7466
180  46.7253
190  46.7011
200  46.7011
210  46.6768
220  46.6768
230  46.6768
240  46.6768
250  46.6768
260  46.6683
270  46.6555
280  46.6461
290  46.632
300  46.632
310  46.632
320  46.632
330  46.632
340  46.632
350  46.621
360  46.621
370  46.621
380  46.621
390  46.621
400  46.621
410  46.621
420  46.621
430  46.621
440  46.6141
450  46.6141
460  46.6141
470  46.6141
480  46.6141
490  46.6141
500  46.6141
510  46.6141
520  46.6141
530  46.6141
540  46.6141
550  46.6141
560  46.5984
570  46.5984
580  46.5984
590  46.5984
600  46.5984
610  46.5984
620  46.5984
630  46.5984
640  46.5984
650  46.5984
660  46.5984
670  46.5984
680  46.5984
690  46.5984
700  46.5984
710  46.5984
720  46.5984
730  46.5984
740  46.5984
750  46.5984
760  46.5984
770  46.5984
780  46.5984
790  46.5928
800  46.5928
810  46.5877
820  46.5873
830  46.5873
840  46.5873
850  46.5873
860  46.5869
870  46.5869
880  46.5869
890  46.5869
900  46.5869
910  46.5869
920  46.5869
930  46.5869
940  46.5822
950  46.5822
960  46.5822
970  46.5822
980  46.5822
990  46.5822
1000  46.5822
1010  46.5822
1020  46.5822
1030  46.5822
1040  46.5822
1050  46.5822
1060  46.5822
1070  46.5822
1080  46.5822
1090  46.5822
1100  46.5822
1110  46.5822
1120  46.5822
1130  46.5822
1140  46.5822
1150  46.5822
1160  46.5822
1170  46.5822
1180  46.5822
1190  46.5822
1200  46.5822
1210  46.5822
1220  46.5822
1230  46.5822
1240  46.5822
1250  46.5822
1260  46.5822
1270  46.5822
1280  46.5822
1290  46.5822
1300  46.5822
1310  46.5822
1320  46.5822
1330  46.5822
1340  46.5822
1350  46.5822
1360  46.5822
1370  46.5822
1380  46.5822
1390  46.5822
1400  46.5822
1410  46.5822
1420  46.5822
1430  46.5822
1440  46.5822
1450  46.5822
1460  46.5822
1470  46.5822
1480  46.5822
1490  46.5822
1500  46.5822
1510  46.5822
1520  46.5822
1530  46.5822
1540  46.5822
1550  46.5822
1560  46.5822
1570  46.5822
1580  46.5822
1590  46.5822
1600  46.5822
1610  46.5822
1620  46.5822
1630  46.5822
1640  46.5822
1650  46.5822
1660  46.5822
1670  46.5822
1680  46.5822
1690  46.5822
1700  46.5822
1710  46.5822
1720  46.5822
1730  46.5822
1740  46.5822
1750  46.5822
1760  46.5822
1770  46.5822
1780  46.5822
1790  46.5822
1800  46.5822
1810  46.5822
1820  46.5822
1830  46.5822
1840  46.5822
1850  46.5822
1860  46.5822
1870  46.5822
1880  46.5822
1890  46.5822
1900  46.5822
1910  46.5822
1920  46.5822
1930  46.5822
1940  46.5822
1950  46.5822
1960  46.5822
1970  46.5822
1980  46.5822
1990  46.5822
2000  46.5822
2010  46.5822
2020  46.5822
2030  46.5822
2040  46.5822
2050  46.5822
2060  46.5822
2070  46.5822
2080  46.5822
2090  46.5822
2100  46.5822
2110  46.5822
2120  46.5822
2130  46.5822
2140  46.5822
2150  46.5822
2160  46.5822
2170  46.5822
2180  46.5822
2190  46.5822
