Step  Penalty
10  47.3768
20  47.3768
30  47.1723
40  47.1723
50  47.0871
60  47.0871
70  47.0871
80  46.742
90  46.742
100  46.742
110  46.742
120  46.6994
130  46.6397
140  46.6397
150  46.6397
160  46.6397
170  46.6397
180  46.6397
190  46.6227
200  46.6227
210  46.5545
220  46.5545
230  46.5545
240  46.5545
250  46.5545
260  46.5545
270  46.5545
280  46.5545
290  46.5545
300  46.5545
310  46.5545
320  46.5545
330  46.5545
340  46.5545
350  46.5545
360  46.5545
370  46.5545
380  46.5545
390  46.5545
400  46.5545
410  46.5545
420  46.5545
430  46.5545
440  46.5545
450  46.5545
460  46.5545
470  46.5545
480  46.5545
490  46.5545
500  46.5545
510  46.5545
520  46.5545
530  46.5545
540  46.5545
550  46.5545
560  46.5545
570  46.5545
580  46.5545
590  46.5545
600  46.5545
610  46.5545
620  46.5545
630  46.5545
640  46.5545
650  46.5545
660  46.5545
670  46.5545
680  46.5545
690  46.5545
700  46.5545
710  46.5545
720  46.5545
730  46.5545
740  46.5545
750  46.5545
760  46.5545
770  46.5545
780  46.5545
790  46.5545
800  46.5545
810  46.5545
820  46.5545
830  46.5545
840  46.5545
850  46.5545
860  46.5545
870  46.5545
880  46.5545
890  46.5545
900  46.5545
910  46.5545
920  46.5545
930  46.5545
940  46.5545
950  46.5545
960  46.5545
970  46.5545
980  46.5545
990  46.5545
1000  46.5545
1010  46.5545
1020  46.5545
1030  46.5545
1040  46.5545
1050  46.5545
1060  46.5545
1070  46.5545
1080  46.5545
1090  46.5545
1100  46.5545
1110  46.5545
1120  46.5545
1130  46.5545
1140  46.5545
1150  46.5545
1160  46.5545
1170  46.5545
1180  46.5545
1190  46.5545
1200  46.5545
1210  46.5545
1220  46.5545
1230  46.5545
1240  46.5545
1250  46.5545
1260  46.5545
1270  46.5545
1280  46.5545
1290  46.5545
1300  46.5545
1310  46.5545
1320  46.5545
1330  46.5545
1340  46.5545
1350  46.5545
1360  46.5545
1370  46.5545
1380  46.5545
1390  46.5545
1400  46.5545
1410  46.5545
1420  46.5545
1430  46.5545
1440  46.5545
1450  46.5545
1460  46.5545
1470  46.5545
1480  46.5545
1490  46.5545
1500  46.5545
1510  46.5545
1520  46.5545
1530  46.5545
1540  46.5545
1550  46.5545
1560  46.5545
1570  46.5545
1580  46.5545
1590  46.5545
1600  46.5545
1610  46.5545
1620  46.5545
1630  46.5545
1640  46.5545
1650  46.5545
1660  46.5545
1670  46.5545
1680  46.5545
1690  46.5545
1700  46.5545
1710  46.5545
1720  46.5545
1730  46.5545
1740  46.5545
1750  46.5545
1760  46.5545
1770  46.5545
1780  46.5545
1790  46.5545
1800  46.5545
1810  46.5545
1820  46.5545
1830  46.5545
1840  46.5545
1850  46.5545
1860  46.5545
1870  46.5545
1880  46.5545
1890  46.5545
1900  46.5545
1910  46.5545
1920  46.5545
1930  46.5545
1940  46.5545
1950  46.5545
1960  46.5545
1970  46.5545
1980  46.5545
1990  46.5545
2000  46.5545
2010  46.5545
2020  46.5545
2030  46.5545
2040  46.5545
2050  46.5545
2060  46.5545
2070  46.5545
2080  46.5545
2090  46.5545
2100  46.5545
2110  46.5545
2120  46.5545
2130  46.5545
2140  46.5545
2150  46.5545
2160  46.5545
2170  46.5545
2180  46.5545
2190  46.5545
