x  y  z   error
0.0392699  0.0392699  0.0392699  -0.0010404
0.0392699  0.0392699  0.11781  -0.0011699
0.0392699  0.0392699  0.19635  -0.0015584
0.0392699  0.0392699  0.274889  -0.000651901
0.0392699  0.0392699  0.353429  -0.000910901
0.0392699  0.0392699  0.431969  -0.0001339
0.0392699  0.0392699  0.510509  -4.40013e-06
0.0392699  0.0392699  0.589049  -0.000522401
0.0392699  0.0392699  0.667588  -0.0001339
0.0392699  0.0392699  0.746128  -0.0002634
0.0392699  0.0392699  0.824668  0.0001251
0.0392699  0.0392699  0.903208  -0.0001339
0.0392699  0.0392699  0.981748  0.0001251
0.0392699  0.0392699  1.06029  -0.0002634
0.0392699  0.0392699  1.13883  -4.40013e-06
0.0392699  0.0392699  1.21737  -0.0001339
0.0392699  0.0392699  1.29591  -0.0001339
0.0392699  0.0392699  1.37445  -4.40013e-06
0.0392699  0.0392699  1.45299  -4.40013e-06
0.0392699  0.0392699  1.53153  -4.40013e-06
0.0392699  0.11781  0.0392699  -0.000910901
0.0392699  0.11781  0.11781  -0.0001339
0.0392699  0.11781  0.19635  -0.000910901
0.0392699  0.11781  0.274889  -0.000522401
0.0392699  0.11781  0.353429  -0.000910901
0.0392699  0.11781  0.431969  -0.000781401
0.0392699  0.11781  0.510509  -0.000781401
0.0392699  0.11781  0.589049  -0.000781401
0.0392699  0.11781  0.667588  -4.40013e-06
0.0392699  0.11781  0.746128  -0.000522401
0.0392699  0.11781  0.824668  0.0001251
0.0392699  0.11781  0.903208  -0.000392901
0.0392699  0.11781  0.981748  -0.000651901
0.0392699  0.11781  1.06029  -0.0002634
0.0392699  0.11781  1.13883  -4.40013e-06
0.0392699  0.11781  1.21737  -0.0001339
0.0392699  0.11781  1.29591  -4.40013e-06
0.0392699  0.11781  1.37445  -4.40013e-06
0.0392699  0.11781  1.45299  0.0001251
0.0392699  0.11781  1.53153  0.0001251
0.0392699  0.19635  0.0392699  -0.000651901
0.0392699  0.19635  0.11781  -0.000392901
0.0392699  0.19635  0.19635  -0.000392901
0.0392699  0.19635  0.274889  -0.0002634
0.0392699  0.19635  0.353429  -0.000522401
0.0392699  0.19635  0.431969  -0.0002634
0.0392699  0.19635  0.510509  -0.000651901
0.0392699  0.19635  0.589049  -0.000781401
0.0392699  0.19635  0.667588  0.0001251
0.0392699  0.19635  0.746128  -0.000392901
0.0392699  0.19635  0.824668  0.0001251
0.0392699  0.19635  0.903208  0.0001251
0.0392699  0.19635  0.981748  -4.40013e-06
0.0392699  0.19635  1.06029  -0.0001339
0.0392699  0.19635  1.13883  -0.000392901
0.0392699  0.19635  1.21737  -4.40013e-06
0.0392699  0.19635  1.29591  -4.40013e-06
0.0392699  0.19635  1.37445  0.0001251
0.0392699  0.19635  1.45299  -4.40013e-06
0.0392699  0.19635  1.53153  0.0001251
0.0392699  0.274889  0.0392699  -0.000651901
0.0392699  0.274889  0.11781  -0.000392901
0.0392699  0.274889  0.19635  -4.40013e-06
0.0392699  0.274889  0.274889  -0.000651901
0.0392699  0.274889  0.353429  -0.0011699
