Size(A)  Probability_real    Probability_expected
0.0125  0  8.34836e-33 8.34836e-33 
0.0375  0  2.35732e-18 2.35732e-18 
0.0625  0  4.30835e-13 4.30835e-13 
0.0875  0  3.93431e-10 3.93431e-10 
0.1125  0  3.50175e-08 3.50175e-08 
0.1375  0  8.7114e-07 8.7114e-07 
0.1625  0  9.84398e-06 9.84398e-06 
0.1875  0  6.55512e-05 6.55512e-05 
0.2125  0  0.000300094 0.000300094 
0.2375  0  0.00104173 0.00104173 
0.2625  0  0.00292835 0.00292835 
0.2875  0  0.00697934 0.00697934 
0.3125  0  0.0145803 0.0145803 
0.3375  0  0.0273655 0.0273655 
0.3625  0  0.0470213 0.0470213 
0.3875  0  0.0750529 0.0750529 
0.4125  0  0.112569 0.112569 
0.4375  0.4  0.160123 0.239877 
0.4625  0  0.217625 0.217625 
0.4875  0.2  0.284348 0.0843478 
0.5125  0.2  0.358989 0.158989 
0.5375  0.2  0.439791 0.239791 
0.5625  0.6  0.524688 0.0753122 
0.5875  0.8  0.611456 0.188544 
0.6125  0.4  0.697861 0.297861 
0.6375  1  0.781778 0.218222 
0.6625  1.4  0.861291 0.538709 
0.6875  1  0.934761 0.0652391 
0.7125  1.2  1.00086 0.199138 
0.7375  1.2  1.0586 0.141397 
0.7625  1  1.10732 0.107316 
0.7875  1.4  1.14664 0.253356 
0.8125  1.2  1.1765 0.0234964 
0.8375  1.4  1.19705 0.202949 
0.8625  1.6  1.20864 0.39136 
0.8875  1.4  1.21178 0.188217 
0.9125  1.2  1.20711 0.00710886 
0.9375  0.8  1.19533 0.395329 
0.9625  1.2  1.1772 0.022796 
0.9875  0.4  1.15352 0.753518 
1.0125  1.2  1.12505 0.0749458 
1.0375  2.2  1.09258 1.10742 
1.0625  0.8  1.05681 0.256813 
1.0875  1.2  1.01845 0.181549 
1.1125  0.8  0.978126 0.178126 
1.1375  1.2  0.936416 0.263584 
1.1625  1  0.89384 0.10616 
1.1875  1.2  0.85086 0.34914 
1.2125  1.4  0.807881 0.592119 
1.2375  1.2  0.765251 0.434749 
1.2625  0.8  0.723267 0.0767329 
1.2875  0.6  0.682177 0.0821773 
1.3125  0.6  0.642185 0.0421852 
1.3375  0.8  0.603454 0.196546 
1.3625  0.6  0.56611 0.0338899 
1.3875  0.6  0.530248 0.0697518 
1.4125  0.2  0.495934 0.295934 
1.4375  0.4  0.46321 0.0632101 
1.4625  0.8  0.432096 0.367904 
1.4875  0.6  0.402593 0.197407 
1.5125  0.2  0.374689 0.174689 
1.5375  0.2  0.348359 0.148359 
1.5625  0.2  0.323566 0.123566 
1.5875  0.2  0.300267 0.100267 
1.6125  0  0.278412 0.278412 
1.6375  0.4  0.257944 0.142056 
1.6625  0.2  0.238807 0.0388071 
1.6875  0  0.220939 0.220939 
1.7125  0  0.204278 0.204278 
1.7375  0  0.188762 0.188762 
1.7625  0.2  0.174328 0.0256718 
1.7875  0  0.160916 0.160916 
1.8125  0  0.148466 0.148466 
1.8375  0  0.136918 0.136918 
1.8625  0  0.126218 0.126218 
1.8875  0  0.11631 0.11631 
1.9125  0  0.107142 0.107142 
1.9375  0  0.0986658 0.0986658 
1.9625  0  0.0908333 0.0908333 
1.9875  0  0.0836 0.0836 
2.0125  0  0.0769238 0.0769238 
2.0375  0  0.0707649 0.0707649 
2.0625  0  0.0650858 0.0650858 
2.0875  0  0.0598514 0.0598514 
2.1125  0  0.0550289 0.0550289 
2.1375  0  0.0505874 0.0505874 
2.1625  0  0.0464983 0.0464983 
2.1875  0  0.0427348 0.0427348 
2.2125  0  0.0392719 0.0392719 
2.2375  0  0.0360865 0.0360865 
2.2625  0  0.033157 0.033157 
2.2875  0  0.0304635 0.0304635 
2.3125  0  0.0279874 0.0279874 
2.3375  0  0.0257116 0.0257116 
2.3625  0  0.0236203 0.0236203 
2.3875  0  0.0216987 0.0216987 
2.4125  0  0.0199333 0.0199333 
2.4375  0  0.0183116 0.0183116 
2.4625  0  0.016822 0.016822 
2.4875  0  0.0154539 0.0154539 
