Size(A)  Probability_real    Probability_expected
0.0125  0  8.34836e-33 8.34836e-33 
0.0375  0  2.35732e-18 2.35732e-18 
0.0625  0  4.30835e-13 4.30835e-13 
0.0875  0  3.93431e-10 3.93431e-10 
0.1125  0  3.50175e-08 3.50175e-08 
0.1375  0  8.7114e-07 8.7114e-07 
0.1625  0  9.84398e-06 9.84398e-06 
0.1875  0  6.55512e-05 6.55512e-05 
0.2125  0  0.000300094 0.000300094 
0.2375  0  0.00104173 0.00104173 
0.2625  0  0.00292835 0.00292835 
0.2875  0  0.00697934 0.00697934 
0.3125  0  0.0145803 0.0145803 
0.3375  0  0.0273655 0.0273655 
0.3625  0  0.0470213 0.0470213 
0.3875  0  0.0750529 0.0750529 
0.4125  0.4  0.112569 0.287431 
0.4375  0  0.160123 0.160123 
0.4625  0.2  0.217625 0.017625 
0.4875  0  0.284348 0.284348 
0.5125  0.8  0.358989 0.441011 
0.5375  1.6  0.439791 1.16021 
0.5625  0.8  0.524688 0.275312 
0.5875  0.4  0.611456 0.211456 
0.6125  0.4  0.697861 0.297861 
0.6375  0.4  0.781778 0.381778 
0.6625  1  0.861291 0.138709 
0.6875  1.4  0.934761 0.465239 
0.7125  0.8  1.00086 0.200862 
0.7375  1.4  1.0586 0.341397 
0.7625  0.8  1.10732 0.307316 
0.7875  1.2  1.14664 0.053356 
0.8125  1.4  1.1765 0.223496 
0.8375  1.4  1.19705 0.202949 
0.8625  1.2  1.20864 0.00864042 
0.8875  1.6  1.21178 0.388217 
0.9125  1.2  1.20711 0.00710886 
0.9375  1.2  1.19533 0.0046713 
0.9625  1.2  1.1772 0.022796 
0.9875  1.8  1.15352 0.646482 
1.0125  0.8  1.12505 0.325054 
1.0375  1  1.09258 0.0925757 
1.0625  0.8  1.05681 0.256813 
1.0875  0.6  1.01845 0.418451 
1.1125  1.4  0.978126 0.421874 
1.1375  0.8  0.936416 0.136416 
1.1625  0.4  0.89384 0.49384 
1.1875  0.8  0.85086 0.0508601 
1.2125  0.8  0.807881 0.00788095 
1.2375  0.6  0.765251 0.165251 
1.2625  0.6  0.723267 0.123267 
1.2875  1.2  0.682177 0.517823 
1.3125  1  0.642185 0.357815 
1.3375  0.6  0.603454 0.0034539 
1.3625  0.8  0.56611 0.23389 
1.3875  0.4  0.530248 0.130248 
1.4125  0.2  0.495934 0.295934 
1.4375  0.6  0.46321 0.13679 
1.4625  0.4  0.432096 0.0320956 
1.4875  0.2  0.402593 0.202593 
1.5125  0.4  0.374689 0.0253107 
1.5375  0.4  0.348359 0.051641 
1.5625  0.4  0.323566 0.0764337 
1.5875  0.6  0.300267 0.299733 
1.6125  0.2  0.278412 0.0784117 
1.6375  0.2  0.257944 0.0579445 
1.6625  0.2  0.238807 0.0388071 
1.6875  0.4  0.220939 0.179061 
1.7125  0.2  0.204278 0.00427788 
1.7375  0.2  0.188762 0.0112383 
1.7625  0  0.174328 0.174328 
1.7875  0  0.160916 0.160916 
1.8125  0  0.148466 0.148466 
1.8375  0  0.136918 0.136918 
1.8625  0  0.126218 0.126218 
1.8875  0  0.11631 0.11631 
1.9125  0.2  0.107142 0.0928577 
1.9375  0  0.0986658 0.0986658 
1.9625  0  0.0908333 0.0908333 
1.9875  0  0.0836 0.0836 
2.0125  0  0.0769238 0.0769238 
2.0375  0  0.0707649 0.0707649 
2.0625  0  0.0650858 0.0650858 
2.0875  0  0.0598514 0.0598514 
2.1125  0  0.0550289 0.0550289 
2.1375  0  0.0505874 0.0505874 
2.1625  0  0.0464983 0.0464983 
2.1875  0  0.0427348 0.0427348 
2.2125  0  0.0392719 0.0392719 
2.2375  0  0.0360865 0.0360865 
2.2625  0  0.033157 0.033157 
2.2875  0  0.0304635 0.0304635 
2.3125  0  0.0279874 0.0279874 
2.3375  0  0.0257116 0.0257116 
2.3625  0  0.0236203 0.0236203 
2.3875  0  0.0216987 0.0216987 
2.4125  0  0.0199333 0.0199333 
2.4375  0  0.0183116 0.0183116 
2.4625  0  0.016822 0.016822 
2.4875  0  0.0154539 0.0154539 
